source_id,region,x,y,text
T001,R01,1011.7812643516218,10.0,composite key
T002,R01,3986.184191316817,138.37567814007798,entity example
T003,R01,2872.8508579834825,206.4709162353156,ef core example
T004,R01,1145.5310021902696,1155.016829821513,why a composite key
T005,R02,1215.4991607305406,2908.9378023731315,------what it leads to------
T006,R02,1027.721450769603,3040.048921961348,to find entity need to pass all keys
T007,R02,1385.4991607305406,3942.271135706465,foreign keys
T008,R02,1459.2029096454708,4825.974901575606,need to actually add hasforignkey
T009,R02,1139.7052963617589,5170.137729169558,just about the
T010,R02,1139.7052963617589,5170.137729169558,fact that we need
T011,R02,1139.7052963617589,5170.137729169558,to point at
T012,R02,1139.7052963617589,5170.137729169558,2 elements
T013,R02,1139.7052963617589,5170.137729169558,everywhere
T014,R03,1408.7267482336401,5351.689187289891,null if any part is null
T015,R03,2649.28843554211,5557.657698814313,!!!
T016,R03,1403.0124625193544,6066.927311592346,uniqueness applies to comb
T017,R03,1365.869605376497,6512.6415973066305,indexes over composite keys
T018,R03,1145.803573185636,6612.253673823193,???
