source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,1,15a12266f36c727a280182d59b856d5d470c9e6c,15a12266f3,3204.004,224.716,1065.0,392.0,0.0,1,R01-application-model-conventions-overview-attributes,P01-R01R02-overview-and-convention-interfaces,"Overview, attributes, use-or-not decision, accessing nested models from outer conventions.",L-017: use or not | L-018: can access nested models | L-019: in outer convention | L-002: app model,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-002,2,4c9b3258602288333c8e7bba34724eb180465cf5,4c9b325860,3909.577,1873.171,7236.0,716.0,0.0,1,R01-application-model-conventions-overview-attributes,P01-R01R02-overview-and-convention-interfaces,"Overview, attributes, use-or-not decision, accessing nested models from outer conventions.",L-017: use or not | L-002: app model | L-003: Controller model | L-019: in outer convention,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-003,3,6422b889fd60cbd22cf3d053c844f3b4a02b9a71,6422b889fd,3907.798,2645.631,7850.0,489.0,0.0,1,R01-application-model-conventions-overview-attributes,P01-R01R02-overview-and-convention-interfaces,"Overview, attributes, use-or-not decision, accessing nested models from outer conventions.",L-017: use or not | L-002: app model | L-003: Controller model | L-004: Action model,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-004,4,5b9dad750dbe76aa38f3e8d45dc3378707af28e8,5b9dad750d,3871.674,3221.598,9345.0,538.0,0.0,1,R01-application-model-conventions-overview-attributes,P01-R01R02-overview-and-convention-interfaces,"Overview, attributes, use-or-not decision, accessing nested models from outer conventions.",L-017: use or not | L-003: Controller model | L-002: app model | L-004: Action model,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-005,5,c1fab80ffe1f40bf629101724b46d89777ccda6e,c1fab80ffe,3853.157,3790.086,7244.0,459.0,0.0,1,R01-application-model-conventions-overview-attributes,P01-R01R02-overview-and-convention-interfaces,"Overview, attributes, use-or-not decision, accessing nested models from outer conventions.",L-004: Action model | L-003: Controller model | L-002: app model | L-005: Parameter model,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-006,6,394ba04946531f9088b5ece2f15cf02b250cf474,394ba04946,3857.057,4345.309,8348.0,508.0,0.0,1,R01-application-model-conventions-overview-attributes,P01-R01R02-overview-and-convention-interfaces,"Overview, attributes, use-or-not decision, accessing nested models from outer conventions.",L-004: Action model | L-005: Parameter model | L-003: Controller model | L-002: app model,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-007,7,1f86c7996a6d6f18eabc16582642bb627236419e,1f86c7996a,3838.538,4881.316,8788.0,626.0,0.0,1,R01-application-model-conventions-overview-attributes,P01-R01R02-overview-and-convention-interfaces,"Overview, attributes, use-or-not decision, accessing nested models from outer conventions.",L-005: Parameter model | L-004: Action model | L-006: Parameter model base | L-003: Controller model,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-008,8,082dd3001acc11cd2a06bf046bff4c21e1ccd61b,082dd3001a,3866.236,5651.95,7234.0,420.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-005: Parameter model | L-006: Parameter model base | L-004: Action model | L-007: Property model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-009,9,d511c90e1b1d5ac1d66646da812575cd4808ecca,d511c90e1b,3876.011,6166.793,7605.0,596.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-006: Parameter model base | L-005: Parameter model | L-007: Property model | L-008: selector model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-010,10,8f81d2ad6ff3dd00af3a4040e5b8a04dc7bbca45,8f81d2ad6f,3941.182,6839.675,8192.0,587.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-006: Parameter model base | L-007: Property model | L-005: Parameter model | L-008: selector model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-011,11,010d97e3ca79f9aab5e83abd5890b30f5c45eaff,010d97e3ca,2153.135,2605.025,874.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-002: app model | L-003: Controller model | L-004: Action model | L-019: in outer convention,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
