source_id,sha10,x,y,w,h,px_w,px_h,image_use_id,status
S-001,6a8d8da30b,3204.003517072472,224.7155616824712,1065.0,392.0,1065,392,IU-001,processed-near-literal-v002
S-002,db019d0ddc,3909.576927954374,1873.170944983256,7236.0,716.0,809,80,IU-002,processed-near-literal-v002
S-003,ff4067eae3,3907.797642748763,2645.631250333423,7850.0,489.0,803,50,IU-003,processed-near-literal-v002
S-004,95ef630cd2,3871.673815424004,3221.597854335097,9345.0,538.0,956,55,IU-004,processed-near-literal-v002
S-005,0ccc7ca839,3853.157178577186,3790.086474579453,7244.0,459.0,741,47,IU-005,processed-near-literal-v002
S-006,4cd9211762,3857.057179084965,4345.3087113426045,8348.0,508.0,854,52,IU-006,processed-near-literal-v002
S-007,d2ab33f05c,3838.537558990245,4881.315817160157,8788.0,626.0,899,64,IU-007,processed-near-literal-v002
S-008,8cf677126c,3866.2358224683103,5651.950354515047,7234.0,420.0,740,43,IU-008,processed-near-literal-v002
S-009,fc47a62d09,3876.011329196111,6166.793460241817,7605.0,596.0,778,61,IU-009,processed-near-literal-v002
S-010,05f50083ed,3941.18187125609,6839.675167754642,8192.0,587.0,838,60,IU-010,processed-near-literal-v002
S-011,da27015cc5,2153.1350704628703,2605.024733328839,874.0,482.0,1066,588,IU-011,processed-near-literal-v002
S-012,7641a9bffe,2162.039978133212,3203.913588309308,713.0,482.0,949,642,IU-012,processed-near-literal-v002
S-013,882c7bc951,2158.638899579667,3691.6408679723854,888.0,482.0,1003,545,IU-013,processed-near-literal-v002
S-014,101809e6b6,2168.156304778312,4363.156037983037,898.0,482.0,979,526,IU-014,processed-near-literal-v002
S-015,8b4690daf4,2157.5306918528504,4872.160754336019,965.0,434.0,965,434,IU-015,processed-near-literal-v002
S-016,f08c6cbddd,2158.9700118102364,5337.766833437578,950.0,264.0,950,264,IU-016,processed-near-literal-v002
S-017,a312327aa7,2134.3202264193906,5770.428709769247,827.0,482.0,993,579,IU-017,processed-near-literal-v002
S-018,15a21f0fba,2110.4094427406358,6273.14558432535,955.0,449.0,955,449,IU-018,processed-near-literal-v002
S-019,0e300adc32,2122.651940965065,6726.085015255747,979.0,251.0,979,251,IU-019,processed-near-literal-v002
S-020,3b136a085e,2109.9245572647824,7158.433481608718,1019.0,436.0,1019,436,IU-020,processed-near-literal-v002
S-021,11f7ab355a,2102.2123990616574,7753.978936154177,1032.0,394.0,1032,394,IU-021,processed-near-literal-v002
S-022,ce24684ea7,2101.4316657632544,8290.428765255732,777.0,482.0,1016,631,IU-022,processed-near-literal-v002
S-023,addb389b1b,2090.788249114924,8806.903141587401,970.0,293.0,970,293,IU-023,processed-near-literal-v002
S-024,3961f55333,2103.3638772221684,9291.463766143508,940.0,376.0,940,376,IU-024,processed-near-literal-v002
S-025,5368402157,2121.282811645323,9694.065128892087,827.0,482.0,1006,587,IU-025,processed-near-literal-v002
S-026,07de1c51ea,2088.2276245588155,10341.600129779872,963.0,283.0,963,283,IU-026,processed-near-literal-v002
S-027,9f95d69dab,2080.4245572647824,10649.160754335982,998.0,400.0,998,400,IU-027,processed-near-literal-v002
S-028,104c9667ba,2081.1063754466004,11234.706208881438,953.0,378.0,953,378,IU-028,processed-near-literal-v002
S-029,fcd62490f1,2074.4178273071857,11625.259213825982,995.0,431.0,995,431,IU-029,processed-near-literal-v002
S-030,46c91663f7,205.16000355136111,2171.590748490224,919.0,482.0,947,497,IU-030,processed-near-literal-v002
S-031,4a51a2b918,207.24483101333408,2684.979938693348,827.0,482.0,993,579,IU-031,processed-near-literal-v002
S-032,35753e3c8d,211.4704109709428,3199.4695405221755,986.0,360.0,986,360,IU-032,processed-near-literal-v002
S-033,3a42d2478e,190.4704664574465,3762.742212308393,948.0,288.0,948,288,IU-033,processed-near-literal-v002
S-034,c3690dd7af,210.15228463926636,4038.030109591768,945.0,455.0,945,455,IU-034,processed-near-literal-v002
S-035,a7fa5177cc,215.8491618587259,4500.151358703984,953.0,435.0,953,435,IU-035,processed-near-literal-v002
S-036,58b8649d99,223.13711462861195,4933.3027813779845,936.0,279.0,936,279,IU-036,processed-near-literal-v002
S-037,78aa80c71c,211.5559724682689,5342.650430447375,970.0,271.0,970,271,IU-037,processed-near-literal-v002
S-038,bf916ffc99,208.8227603084515,5621.236623185294,978.0,482.0,1032,509,IU-038,processed-near-literal-v002
S-039,940120638f,197.8742652594601,6114.029209078399,961.0,384.0,961,384,IU-039,processed-near-literal-v002
S-040,dcebd96b52,200.82869974099503,6495.847418639834,1006.0,304.0,1006,304,IU-040,processed-near-literal-v002
S-041,881fbdb7f9,201.67711060747297,6939.574635880599,934.0,282.0,934,282,IU-041,processed-near-literal-v002
S-042,1c585518cb,192.43483432906305,7225.120145912551,984.0,460.0,984,460,IU-042,processed-near-literal-v002
S-043,886cb42677,166.17733255349503,7701.074691367095,1005.0,439.0,1005,439,IU-043,processed-near-literal-v002
S-044,2dec0bb572,172.31358521684797,8140.408043195926,1000.0,307.0,1000,307,IU-044,processed-near-literal-v002
S-045,5306fbc72e,190.2992344305212,8591.994187383167,857.0,482.0,988,556,IU-045,processed-near-literal-v002
S-046,a2f19fed9b,2144.458648132665,177.73588650876263,902.0,482.0,993,531,IU-046,processed-near-literal-v002
S-047,bef3a696e2,2104.9901853772144,697.6143248225708,992.0,367.0,992,367,IU-047,processed-near-literal-v002
S-048,b051b2a7ee,2070.378735181902,1216.39208564613,959.0,465.0,959,465,IU-048,processed-near-literal-v002
S-049,fd953cb44b,2060.712119377865,1693.3365639990006,1005.0,440.0,1005,440,IU-049,processed-near-literal-v002
S-050,5d80b3d202,918.2504049346762,206.9774812128344,989.0,437.0,989,437,IU-050,processed-near-literal-v002
