region,source_id,image_use_id,file_sha,x,y,width,height,stage1_status,theme
R01,S-001,IU-001,dd26655d72,2227.61,1046.73,838.0,209.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-002,IU-002,8c5ace9f4d,1168.49,1078.31,960.0,430.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-003,IU-003,f26e1b7db0,3425.23,1110.24,833.0,418.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-004,IU-004,7804ac3653,2244.29,1252.12,665.0,254.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-005,IU-005,2195e76bbf,33.1,1490.63,966.0,482.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-006,IU-006,4c1b9e88ed,1195.89,1591.31,767.0,124.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-007,IU-007,df57ae401f,2264.05,1636.87,772.0,355.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-008,IU-008,7cc71102ad,1208.5,1833.39,733.0,482.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-009,IU-009,a455ceba74,21.21,1997.45,895.0,357.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-010,IU-010,100e3a1bb6,2197.77,2005.86,1011.0,482.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-011,IU-011,89beb7951e,4636.1,2184.04,899.0,234.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-012,IU-012,b931399f71,7996.89,2242.2,927.0,377.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-013,IU-013,fdddd2aca5,4654.58,2445.99,939.0,294.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-014,IU-014,812a04a0af,10.0,2492.55,908.0,106.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-015,IU-015,2d8210a84b,7994.36,2637.69,955.0,333.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-016,IU-016,45dfafabaf,4650.91,2775.65,787.0,361.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-017,IU-017,030aec3431,1800.0,2829.8,1041.0,221.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-018,IU-018,c37b711810,7969.31,2988.37,992.0,395.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-019,IU-019,4cfdc8a4b0,4584.96,3155.23,877.0,241.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-020,IU-020,1c6ebbe47b,7975.93,3396.16,946.0,464.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
R01,S-021,IU-021,328cb242d6,4712.84,3464.04,989.0,167.0,verified-semantic-transcript,"site-key delivery, loading reCAPTCHA scripts, v2/v3 client flow, token insertion/submission, expected action and initial verification/hostname notes"
