idx,x,y,text,label_id,region_candidate,stage1_status
1,5920.415627804766,3704.5662409192046,"<script src=""https://www.google.com/recaptcha/api.js"" async defer></script>
<form asp-action=""Register"" method=""post"">
<input type=""email"" name=""Email"" required />
<input type=""password"" name=""Password"" required />
<div class=""g-recaptcha"" data-sitekey=""@ViewBag.RecaptchaSiteKey""></div>
<button type=""submit"">Submit</button>
</form>",T-001,R02,closed-by-stage1
2,6001.1563233342795,5080.121728657865,"public sealed class RecaptchaVerifyResponse
{
public bool success { get; set; }
public string[]? error-codes { get; set; } // google uses this name in JSON sometimes
public List<string>? error_codes { get; set; } // in case serializer maps differently
public double score { get; set; } // v3 only
public string? action { get; set; } // v3 only
public string? hostname { get; set; }
}",T-002,R02,closed-by-stage1
3,6110.045347856848,5530.492076422615,"using System.Net.Http;
using System.Text.Json;
using Microsoft.AspNetCore.WebUtilities;
public interface IRecaptchaVerifier
{
Task<bool> VerifyV2Async(string token, string? remoteIp = null);
}
public class GoogleRecaptchaVerifier : IRecaptchaVerifier
{
private readonly HttpClient _http;
private readonly IConfiguration _config;
public GoogleRecaptchaVerifier(HttpClient http, IConfiguration config)
{
_http = http;
_config = config;
}
public async Task<bool> VerifyV2Async(string token, string? remoteIp = null)
{
if (string.IsNullOrWhiteSpace(token)) return false;
var secret = _config[""Recaptcha:SecretKey""];
if (string.IsNullOrWhiteSpace(secret))
throw new InvalidOperationException(""Recaptcha:SecretKey is not configured."");
// POST https://www.google.com/recaptcha/api/siteverify
// with form fields: secret, response, remoteip(optional)
var data = new Dictionary<string, string>
{
[""secret""] = secret,
[""response""] = token
};
if (!string.IsNullOrWhiteSpace(remoteIp))
data[""remoteip""] = remoteIp;
using var content = new FormUrlEncodedContent(data);
using var resp = await _http.PostAsync(""https://www.google.com/recaptcha/api/siteverify"", content);
resp.EnsureSuccessStatusCode();
var json = await resp.Content.ReadAsStringAsync();
var result = JsonSerializer.Deserialize<RecaptchaVerifyResponse>(json);
return result?.success == true;
}
}",T-003,R02,closed-by-stage1
4,6133.7489611381,7174.936520867053,"public class RegisterVm
{
public string Email { get; set; } = """";
public string Password { get; set; } = """";
// name must match form field for model binding:
public string? g_recaptcha_response { get; set; } // for manual binding (see note below)
}",T-004,R02,closed-by-stage1
5,6220.415627804766,7603.084714226399,"using Microsoft.AspNetCore.Mvc;
public class AccountController : Controller
{
private readonly IRecaptchaVerifier _recaptcha;
private readonly IConfiguration _config;
public AccountController(IRecaptchaVerifier recaptcha, IConfiguration config)
{
_recaptcha = recaptcha;
_config = config;
}
[HttpGet]
public IActionResult Register()
{
ViewBag.RecaptchaSiteKey = _config[""Recaptcha:SiteKey""];
return View();
}
[HttpPost]
[ValidateAntiForgeryToken]
public async Task<IActionResult> Register(RegisterVm vm)
{
var token = Request.Form[""g-recaptcha-response""].ToString();
var ip = HttpContext.Connection.RemoteIpAddress?.ToString();
var ok = await _recaptcha.VerifyV2Async(token, ip);
if (!ok)
{
ModelState.AddModelError("""", ""reCAPTCHA failed. Please try again."");
ViewBag.RecaptchaSiteKey = _config[""Recaptcha:SiteKey""];
return View(vm);
}
// reCAPTCHA passed -> proceed with registration
// create user, hash password, etc.
return RedirectToAction(""RegisterSuccess"");
}
}",T-005,R02,closed-by-stage1
6,819.8901346668763,3941.9655582295127,"import React, { useRef, useState } from ""react"";
import ReCAPTCHA from ""react-google-recaptcha"";
const SITE_KEY = import.meta.env.VITE_RECAPTCHA_SITE_KEY; // or REACT_APP_...
export default function RegisterV2() {
const recaptchaRef = useRef(null);
const [email, setEmail] = useState("""");
const [password, setPassword] = useState("""");
const [status, setStatus] = useState("""");
const onSubmit = async (e) => {
e.preventDefault();
setStatus("""");
const token = recaptchaRef.current?.getValue();
if (!token) {
setStatus(""Please complete reCAPTCHA."");
return;
}
const resp = await fetch(""/api/auth/register"", {
method: ""POST"",
headers: { ""Content-Type"": ""application/json"" },
body: JSON.stringify({ email, password, recaptchaToken: token })
});
if (!resp.ok) {
setStatus(await resp.text());
recaptchaRef.current?.reset(); // token is single-use-ish; reset after failure
return;
}
setStatus(""Registered!"");
};
return (
<form onSubmit={onSubmit}>
<input type=""email"" value={email} onChange={e => setEmail(e.target.value)} required />
<input type=""password"" value={password} onChange={e => setPassword(e.target.value)} required />
<ReCAPTCHA sitekey={SITE_KEY} ref={recaptchaRef} />
<button type=""submit"">Register</button>
<div>{status}</div>
</form>
);
}",T-006,R02,closed-by-stage1
7,738.9688465655663,5875.92873521295,"import React, { useEffect, useRef, useState } from ""react"";
const SITE_KEY = import.meta.env.VITE_RECAPTCHA_SITE_KEY;
function loadScript(src) {
return new Promise((resolve, reject) => {
const existing = document.querySelector(`script[src=""${src}""]`);
if (existing) return resolve();
const s = document.createElement(""script"");
s.src = src;
s.async = true;
s.defer = true;
s.onload = resolve;
s.onerror = reject;
document.head.appendChild(s);
});
}
export default function RegisterV2NoLib() {
const captchaDivRef = useRef(null);
const widgetIdRef = useRef(null);
const [email, setEmail] = useState("""");
const [password, setPassword] = useState("""");
const [status, setStatus] = useState("""");
useEffect(() => {
const src = ""https://www.google.com/recaptcha/api.js?render=explicit"";
loadScript(src).then(() => {
// Wait until grecaptcha is ready
window.grecaptcha.ready(() => {
if (widgetIdRef.current !== null) return; // already rendered
widgetIdRef.current = window.grecaptcha.render(captchaDivRef.current, {
sitekey: SITE_KEY,
theme: ""light"",
// callback: () => {}, // optional: called on success
// ""expired-callback"": () => {}, // optional: called on expiration
});
});
});
}, []);
const onSubmit = async (e) => {
e.preventDefault();
setStatus("""");
const widgetId = widgetIdRef.current;
// If you rendered explicitly, prefer getResponse(widgetId)
const token =
widgetId !== null
? window.grecaptcha.getResponse(widgetId)
: window.grecaptcha.getResponse(); // fallback
if (!token) {
setStatus(""Please complete reCAPTCHA."");
return;
}
const resp = await fetch(""/api/auth/register"", {
method: ""POST"",
headers: { ""Content-Type"": ""application/json"" },
body: JSON.stringify({ email, password, recaptchaToken: token }),
});
if (!resp.ok) {
setStatus(await resp.text());
// Let user retry (token may be consumed/expired)
if (widgetId !== null) window.grecaptcha.reset(widgetId);
else window.grecaptcha.reset();
return;
}
setStatus(""Registered!"");
};
return (
<form onSubmit={onSubmit}>
<input type=""email"" value={email} onChange={(e) => setEmail(e.target.value)} required />
<input type=""password"" value={password} onChange={(e) => setPassword(e.target.value)} required />
<div ref={captchaDivRef} />
<button type=""submit"">Register</button>
<div>{status}</div>
</form>
);
}",T-007,R02,closed-by-stage1
8,4171.175476658488,11364.450927459697,controller,T-008,R03,closed-by-stage1
9,3856.8636389517624,5372.311146785887,v3 must check action and score,T-009,R02,closed-by-stage1
10,3857.926486819634,5723.02665429749,combined v2 and v3,T-010,R02,closed-by-stage1
