idx,symbol_id,file_sha,x,y,w,h,rot,cx,cy,source_id,image_use_id,region_candidate
72,image-cf2ee1745640bce17769605fb286536993b505f1,dd26655d72,2227.6141540299877,1046.729369203691,838.0,209.0,0.0,419.0,104.5,S-001,IU-001,R01
67,image-74198633188b91d3d1287c41fe52c310b6dfeed8,8c5ace9f4d,1168.4880362429813,1078.3056188600967,960.0,430.0,0.0,480.0,215.0,S-002,IU-002,R01
73,image-1442f15f8ad747800b3772d841365a7308552402,f26e1b7db0,3425.2252697661133,1110.2354418321847,833.0,418.0,0.0,416.5,209.0,S-003,IU-003,R01
71,image-b571fc93fa14169bba813a2b9c53059f49bbde9b,7804ac3653,2244.2938298278887,1252.118590844948,665.0,254.0,0.0,332.29442974687754,126.79187244361037,S-004,IU-004,R01
75,image-06fe7ea8d0af0d542e7a4a91ca9582427796dc7f,2195e76bbf,33.10148407519591,1490.6345439738288,966.0,482.0,0.0,482.8046556122449,241.15625,S-005,IU-005,R01
69,image-5f3b130830c76acf21273f376d9ecbbdfd93d8e1,4c1b9e88ed,1195.8859353359512,1591.3119393122324,767.0,124.0,0.0,383.5,62.0,S-006,IU-006,R01
70,image-11c2c536aebde7decb4ac927bbb024bcad7c7f51,df57ae401f,2264.0501394397434,1636.8690462925806,772.0,355.0,0.0,385.9238780092969,177.2817814404234,S-007,IU-007,R01
68,image-022046bc2896e806af78a5569606c1f3ee9938c8,7cc71102ad,1208.5008725383395,1833.388571100717,733.0,482.0,0.0,366.51338605182923,241.15625,S-008,IU-008,R01
76,image-fd3a0c5a43c7e95d1c310afcf1157e6159cbe382,a455ceba74,21.21408716974838,1997.4521067741298,895.0,357.0,0.0,447.5,178.5,S-009,IU-009,R01
74,image-db9c65bbe3649f64ab307aae35443322beac1e39,100e3a1bb6,2197.7692839276133,2005.859716753097,1011.0,482.0,0.0,505.46350000000007,241.15625,S-010,IU-010,R01
2,image-e8160cb40f66946f7f24580a1a05e872f52a11bc,89beb7951e,4636.104967367041,2184.0392679057004,899.0,234.0,0.0,449.5,117.0,S-011,IU-011,R01
59,image-d93e896685c6f178a5591c4abcccf2528b001bcf,b931399f71,7996.893757147433,2242.1958788047014,927.0,377.0,0.0,463.5,188.5,S-012,IU-012,R01
1,image-f9658bba7edb3e014028f0d9869ed7997a2b28a9,fdddd2aca5,4654.583793254088,2445.986442583471,939.0,294.0,0.0,469.5,147.0,S-013,IU-013,R01
77,image-faf2b79fdd017adf77657de048a3e3a1bef7194a,812a04a0af,10.0,2492.5546736291435,908.0,106.0,0.0,454.0,53.0,S-014,IU-014,R01
60,image-4cc3af8814f806f9a4b606524542a1dce3f98f31,2d8210a84b,7994.360457501664,2637.686021904421,955.0,333.0,0.0,477.5,166.5,S-015,IU-015,R01
18,image-9284bbd1a39585b853ae6a825caa161f227808ce,45dfafabaf,4650.910177752837,2775.6534771116603,787.0,361.0,0.0,393.49999999999994,180.5,S-016,IU-016,R01
66,image-808ad7a5b6047332f9508cfba70cf4f38254c9a6,030aec3431,1800.002571971654,2829.7974046509044,1041.0,221.0,0.0,520.5,110.5,S-017,IU-017,R01
61,image-330d4855292d96a3af4bfa5f245a6befb7e0e792,c37b711810,7969.30795017507,2988.3666116950735,992.0,395.0,0.0,496.0,197.5,S-018,IU-018,R01
17,image-2223732f3870b863f742600632f411565d0b2e37,4cfdc8a4b0,4584.957961498497,3155.2302370555735,877.0,241.0,0.0,438.5,120.5,S-019,IU-019,R01
62,image-e75d68b5ededb1d154b634f46f43dee2ad943624,1c6ebbe47b,7975.926756845507,3396.1574818286463,946.0,464.0,0.0,473.0,232.0,S-020,IU-020,R01
16,image-4ca6ce2a73aead9c53f719aa81654a6400293a83,328cb242d6,4712.83733176541,3464.0354042055587,989.0,167.0,0.0,494.5,83.5,S-021,IU-021,R01
15,image-74198633188b91d3d1287c41fe52c310b6dfeed8,8c5ace9f4d,4689.549432205659,3663.760272309246,960.0,430.0,0.0,480.0,215.0,S-022,IU-022,R02
23,image-f6ad5f530d94f356e53a65ebb0e5fe22b7f122c6,cbb378d01c,2163.785984631736,3684.888963489564,1000.0,295.0,0.0,500.0,147.5,S-023,IU-023,R02
63,image-81987b324db6e4c3ca1759396524431e9e58366d,0763e52edc,7961.669935823806,3894.0865162873306,1004.0,356.0,0.0,502.0,178.0,S-024,IU-024,R02
22,image-12d765e0aa0d93c2cadba01bb2a95b4fbce709d6,59a582131a,2277.0559613202304,4030.4713864559053,753.0,482.0,0.0,376.53529050736506,241.15625,S-025,IU-025,R02
14,image-491e6ead16a2dda74ff2529ef7cb65cc5f2c28ce,9a5a2281aa,4718.934141490513,4107.64488769387,932.0,373.0,0.0,466.0,186.5,S-026,IU-026,R02
64,image-54feca23b3d34c83cba8fb6429596fe0e9076502,9336f74dd5,7936.012563817869,4283.601132757609,1016.0,455.0,0.0,508.0,227.5,S-027,IU-027,R02
13,image-17dbcfec02f470e411851b72dbffc884a9e58818,4a0a4fe857,4794.3604003597275,4499.6552730604635,799.0,482.0,0.0,399.7247431506849,241.15625,S-028,IU-028,R02
21,image-ed2562ff650a90a6da4177e8c45df20ac846511a,96c8ccb8d1,2292.871554208078,4507.292746358031,854.0,352.0,0.0,427.0,176.0,S-029,IU-029,R02
65,image-7b96c085226f4955817c6c1359ec164eef8c1f43,c432f8372e,7927.788742494244,4790.563316888216,1039.0,306.0,0.0,519.5,153.0,S-030,IU-030,R02
20,image-36f3511602c8ad2b0730ee9469431b01af585736,9a8d45aa02,2307.918391318607,4894.079201065357,911.0,306.0,0.0,455.5,153.0,S-031,IU-031,R02
12,image-441acaa09716b78371f3623c8ed4176d5e2f4ea0,2c5f9ed0ce,4801.651009583359,5006.867953172132,919.0,389.0,0.0,459.5,194.5,S-032,IU-032,R02
19,image-7b6a52510df556d16ab5bbb94d084e69d4c4d7c1,ca2d3c0b13,2307.2299140696714,5214.886840291383,968.0,311.0,0.0,484.0,155.5,S-033,IU-033,R02
11,image-6fe4a9a901f981a2120cddcc3555b37d40187833,b25784452f,4896.023464090048,5426.869921262874,762.0,482.0,0.0,381.0604856271777,241.15625,S-034,IU-034,R02
40,image-922655f7ebe92d0a41127588631570495580ea15,15d24ad6c7,3697.2740088248092,5454.836866061731,892.0,187.0,0.0,446.00000000000006,93.5,S-035,IU-035,R02
31,image-93bcb6a0f47393b80c4f7c952a6a82952d35a225,5da041b31b,2284.826559450338,5599.70288278384,510.0,313.0,0.0,255.15134845914622,156.40149771321262,S-036,IU-036,R02
43,image-7e069c249a4c1e7c48e62e23ca91208d06da236a,11fc080f47,3531.4316113066916,5885.816938821696,414.0,122.0,0.0,207.0,61.0,S-037,IU-037,R02
30,image-e5e67961df1f793f0a9a8eaddef39558a393dd35,52141b802e,2293.6268185242325,5929.207071077897,698.0,423.0,0.0,349.09966896268315,211.297168056361,S-038,IU-038,R02
10,image-e44c43b1e3aa174e960baa077b4ab1f495a49f60,6f6c3d4a3c,4898.790309580508,5945.531583288863,907.0,473.0,0.0,453.5,236.5,S-039,IU-039,R02
29,image-8a78d8a2e77e3435fa861fcfee444e4d62dc7bdc,bddd8f8e92,2291.820880891669,6361.629182449051,788.0,423.0,0.0,393.96060773125237,211.297168056361,S-040,IU-040,R02
9,image-aacb674df1e0b118ae48880065e33cbd04731391,0141590fba,4910.467706808932,6509.983780167011,901.0,266.0,0.0,450.5,133.0,S-041,IU-041,R02
42,image-08335898c54c5ff18ed25ce4d0d2e02e022a4781,e34d6afec6,3590.2650463652853,6732.816938821696,173.0,78.0,0.0,86.5,39.0,S-042,IU-042,R02
28,image-c8ad56551810478d1a6e85b44e207c602626bfd9,3e4d21be77,2300.2413085906146,6769.041071369986,758.0,464.0,0.0,379.0,232.0,S-043,IU-043,R02
8,image-a66355c0f6d70ce96429734b50d7d7adcafa1578,a7912ea4a4,4944.356460064139,6823.409819120981,931.0,211.0,0.0,465.49999999999994,105.5,S-044,IU-044,R02
7,image-fd486671e1f8ec7d4e6a3108450f9f26e3bcba5b,4acb682d74,4999.245348953028,7052.854195748576,919.0,481.0,0.0,459.5,240.5,S-045,IU-045,R02
41,image-c9634f8ae42246278cd7bd0750b1268d835df2fa,62dbbe6062,3559.550760650999,7176.078760023553,283.0,101.0,0.0,141.5,50.5,S-046,IU-046,R02
27,image-5df0120e54993e09c63915046d4ef129385d0548,837fa0ffe1,2287.280808936409,7253.240914530648,943.0,322.0,0.0,471.5,161.0,S-047,IU-047,R02
6,image-b820a46564f075a5f67da108af9da540965fb724,dbdf2bbb26,5109.458228727332,7552.901601415364,691.0,482.0,0.0,345.65729166666665,241.15625,S-048,IU-048,R02
26,image-4045ab3e38488e412fa7d60ba56f4a3fbda459e7,791c425190,2337.323212257751,7588.860259966172,869.0,227.0,0.0,434.5,113.5,S-049,IU-049,R02
25,image-71ca45a8cbed2618114e7b23d06563d94bab2666,b1903ff30b,2329.862400844996,7828.9170015419695,958.0,456.0,0.0,479.0,228.0,S-050,IU-050,R02
5,image-f75da5c7b121fecf74b539047860a96226990a65,23754adf3c,5125.5035017522305,8036.753455527771,735.0,482.0,0.0,367.6861288848263,241.15625,S-051,IU-051,R02
24,image-57543bdebbed040cf96e2be644dcb26fd772ed5a,62792cf795,2469.973514128559,8302.71931652926,618.0,230.0,0.0,309.0,115.0,S-052,IU-052,R02
4,image-8a25bf12749b800bd1ab773a73a3264acbdf35db,90b34e969c,5119.263703096442,8505.626543092894,866.0,297.0,0.0,433.0,148.5,S-053,IU-053,R02
