source_id,image_use,file_sha,x,y,width,height,candidate_region,status,notes
S-001,IU-001,40c29939b1,50.110819065824444,10.0,564.0,482.0,R01,pending-transcript,
S-002,IU-002,22e7c3bbff,65.648193359375,510.804334852437,432.0,81.0,R01,pending-transcript,
S-003,IU-003,5ff686bb95,43.55363209250072,609.4073215060635,574.0,482.0,R01,pending-transcript,
S-004,IU-004,6b1dafd276,10.314995659722172,1094.637668185751,916.0,380.0,R01,pending-transcript,
S-005,IU-005,6afec9fef5,10.0,1482.452528211783,727.0,434.0,R01,pending-transcript,
S-006,IU-006,e822a4eb77,20.37041558159717,1935.1562093098764,887.0,296.0,R01,pending-transcript,
S-007,IU-007,2821433ac5,1388.2779134114583,2081.32280815969,886.0,217.0,R02,pending-transcript,
S-008,IU-008,8c50df3ec0,1373.8519422743057,2319.489474826376,903.0,274.0,R02,pending-transcript,
S-009,IU-009,c0ea5b93f5,1373.1851399739585,2592.6377360025945,771.0,424.0,R02,pending-transcript,
S-010,IU-010,63248a02a5,1368.8888888888887,3037.582112630189,907.0,423.0,R02,pending-transcript,
