symbol_id,file_sha,x,y,w,h,rot,cx,cy,idx,source_id,image_use
image-7ce6c21b3b9c8a229de161cdda6f77f9725d4aea,40c29939b1,50.110819065824444,10.0,564.0,482.0,0.0,282.20412234042556,241.15625,1,S-001,IU-001
image-8c0a62602fca3b6bb12154b38bd49a13dabb35a1,22e7c3bbff,65.648193359375,510.804334852437,432.0,81.0,0.0,216.0,40.5,2,S-002,IU-002
image-07414a42db82ed9157334a4102de9c38d1449dd0,5ff686bb95,43.55363209250072,609.4073215060635,574.0,482.0,0.0,286.9834501557632,241.15625,3,S-003,IU-003
image-3825b19584fd7af94fba0bbf4b756d46fafa7a21,6b1dafd276,10.314995659722172,1094.637668185751,916.0,380.0,0.0,458.0,190.0,4,S-004,IU-004
image-f56d8ff00e62d4241f405983bf8675dd047f98ac,6afec9fef5,10.0,1482.452528211783,727.0,434.0,0.0,363.5,217.0,5,S-005,IU-005
image-2112eb1ddc97c641a10d798f443bd309efeea0f3,e822a4eb77,20.37041558159717,1935.1562093098764,887.0,296.0,0.0,443.5,148.0,6,S-006,IU-006
image-e3728d89a085f3bcef397a8d7d7c36845ad1aabb,2821433ac5,1388.2779134114583,2081.32280815969,886.0,217.0,0.0,443.0000000000001,108.5,7,S-007,IU-007
image-ba65d8531d07887da77303e136d02e93975eb14c,8c50df3ec0,1373.8519422743057,2319.489474826376,903.0,274.0,0.0,451.5,137.0,8,S-008,IU-008
image-ba0322c5fed4747a021a5bd7af8df58b908bbbe2,c0ea5b93f5,1373.1851399739585,2592.6377360025945,771.0,424.0,0.0,385.5,212.0,9,S-009,IU-009
image-e1c0b8d52c94f409d1cbec75eb7e777777dc0173,63248a02a5,1368.8888888888887,3037.582112630189,907.0,423.0,0.0,453.5,211.5,10,S-010,IU-010
