source_id,sha256,width,height,region_file,near_literal_transcript,concrete_examples_preserved,recall_questions,status
S-001,0022d947eac20504ee38b28084099c9bcc93ff1ee097066b33515036e57b6ee5,943,125,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-002,25efdd2e9962bb14e561e212bd963766a8f6e67dc9f489af0d5596896e2ac840,927,141,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-003,f5392df4d2a89270a69fbf00a7a308601ff19d39402d3fed101e7c39741e3e53,915,118,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-004,f8516f15af1b240e73aa27de2bdbcf2ef5bbe2b0d2c4a6b1198af4c7c60dcc5f,912,130,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-005,74b7c45ebcec43480dfe850b18b709ac11883189c0ffab44a4ac94757f589217,949,118,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-006,2ba271cee783ce44ba18e8405077d75beedf55544ef6227424e5eb2561a00792,954,134,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-007,25f07946a5b9dbfbc5494639750f9f740ad3c1282634a9d63d9b6fb53af0bd23,991,136,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-008,27fd4c12469afe5fd6518b7b7b54bdd6756c49a3c39c7d7e4cc04f8a5b3e46e2,541,225,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-009,7ebd7ae6c4e020df74866b42ebdb3d5f0a31abbbdcbb85fc9015b8b0749a416c,897,81,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-010,bd8fa0982d606586f5134eae06fbd6382ff03f53833c5b71f875aa3dd566fb5d,901,504,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-011,66db9669e787ed743286fef3b24cd1fab42fe9db53e3b40c5fab80a15d0d6bf7,964,289,R01-finite-server-resources-and-saturation.md,yes,yes,yes,complete
S-012,b4319de2596479ab4e81f9ec0a90c9d6975bcd1045f7f9d614b02e5236167131,919,273,R02-network-bandwidth-and-early-rejection.md,yes,yes,yes,complete
S-013,b7168acb77266ef953186b9b349387d117481861861c12c513ebe2b6c0c340ef,916,565,R02-network-bandwidth-and-early-rejection.md,yes,yes,yes,complete
S-014,95a6c40bd032de361487ab206d9a147ef457a9150920b0e7781b0b13191784e6,920,348,R02-network-bandwidth-and-early-rejection.md,yes,yes,yes,complete
S-015,6bcae3bfe1101d531ca60290e1ff9371bd93873fc86b7e37df158168a61cb755,837,404,R02-network-bandwidth-and-early-rejection.md,yes,yes,yes,complete
S-016,c89f3f71f0193adfe6c695a76c7f0056742d5b355a4a2042ed6f4ae1045e7af5,942,308,R02-network-bandwidth-and-early-rejection.md,yes,yes,yes,complete
S-017,922ca319104d49b19f78be2f3bdfb023a3d2e3244d13c872114e74247b32d57b,823,378,R02-network-bandwidth-and-early-rejection.md,yes,yes,yes,complete
S-018,2b0ca2e26aa69cc11100b796f945e7bec26a94b3c6aa249f9d6ed241e233eed3,787,238,R02-network-bandwidth-and-early-rejection.md,yes,yes,yes,complete
S-019,b52e448bc6e5f99547f8a7813472c2a92124285dc4166fbd803e6d5b4005519e,1007,398,R03-cpu-sharing-scheduling-and-saturation.md,yes,yes,yes,complete
S-020,bbe5887002d42c0ea724bd80568a8780fdb039c1b7e8b603a50d67a275baedcd,775,475,R03-cpu-sharing-scheduling-and-saturation.md,yes,yes,yes,complete
S-021,cc369223c3a604e45d41898e6d3f1f296c0662b4d4d1fee6c41c0abc68f95bb8,905,486,R03-cpu-sharing-scheduling-and-saturation.md,yes,yes,yes,complete
S-022,327bea0e8c6c679856f3f72afe99ddbe7d3d75d6dbc1c5356055b0172c662f3d,943,430,R03-cpu-sharing-scheduling-and-saturation.md,yes,yes,yes,complete
S-023,c16ae3b19f153c4b39d6ba6b7313434f24c9773fa22b90f7244ed5fda5290344,955,460,R03-cpu-sharing-scheduling-and-saturation.md,yes,yes,yes,complete
S-024,74cfe216be9dc29b86a86a2cda20344338cd73067ae0760a6da98c533549b543,843,292,R03-cpu-sharing-scheduling-and-saturation.md,yes,yes,yes,complete
S-025,bd3d2450ead526cc080b86c390d24dc3c12447054f880586b0d5877b1c379aba,971,587,R04-scale-up-scale-out-and-externalized-state.md,yes,yes,yes,complete
S-026,3c7629d0b622a5a3f941f62aa97b44e5267fa8e035908f4cbcc3cfd58ea3e752,964,546,R04-scale-up-scale-out-and-externalized-state.md,yes,yes,yes,complete
S-027,333925f5a4a9ecc54f2b0e6bb2fc843719f91ecb5827b7c8965f7cbdd4a84f44,935,392,R04-scale-up-scale-out-and-externalized-state.md,yes,yes,yes,complete
S-028,d84f012488b7c8ca35e11619764f7cd013e20cf82920cdab2fd6695075cefd8f,908,393,R04-scale-up-scale-out-and-externalized-state.md,yes,yes,yes,complete
S-029,18f6d9ef2cbd0f5cb9a50e8b63d3c640d51945a16d83f671cb0ee89067b44587,938,230,R05-microservices-versus-scaled-monolith.md,yes,yes,yes,complete
S-030,66861775ce09233c0fa728ba238e80cd4e0cb7b10a7e3eed181fb400481ded69,945,426,R05-microservices-versus-scaled-monolith.md,yes,yes,yes,complete
