source_id,image_use,symbol_id,x,y,width,height,asset_sha1,region
S-001,U-001,image-7035d4966dedbf6662dbd304fd11372402fcca72,7506.54091,593.274333,766.0,305.0,aa4b301f8b5af5b44f60dc48c13dd9a278d2e322,R01
S-002,U-002,image-cb065eefb946c7ba2ac3776fdb0795d42fc56d28,7502.525796,925.971266,711.0,379.0,b698166eb6c3c6eee725da3a5ae99b2ecab49e8e,R01
S-003,U-003,image-5506c4f626ee247a8a89ec68810187e655abf3d6,7435.616594,1362.501606,823.0,352.0,2ddbe3258319980c6f06c4b09a97c690c11a5af0,R01
S-004,U-004,image-a1f38712aeed6fd83f60f7570dc9b5ccfb33ee4c,4581.037544,3474.986605,859.0,444.0,849a26b8050d199c7e2da8ab13eed5ea0e0b7e61,R01
S-005,U-005,image-e4e2a781ead2e449519fbcd5304178d3f3c4f049,4465.259008,16085.83726,632.0,346.0,bff6d1852239e830fa947184c73c343b838e85b5,R03
S-006,U-006,image-8043397ddfc11798cd58de4738578753dc8e6f1d,4481.616325,16452.813509,645.0,233.0,43d24f5a90a6062a8694df7e52dc8911fb531ba2,R03
S-007,U-007,image-ff7a65552b334fa86cd2b6bf6abada3c743d3a97,4525.487988,3956.266931,618.0,194.0,baee1379a70665644a6e3717af8cf549206af3d2,R01
S-008,U-008,image-6fe72c698352d1e9ecb174538877b6dce79f2ff5,4547.635433,4583.930587,749.0,306.0,58503e3acbf25a6a637d045e16620ee422e9b2e2,R01
S-009,U-009,image-ecb07f1568d2705c00b08e38b0a71f852f44d8a2,4537.746578,6479.526293,971.0,247.0,311bc5427edc77662dbfa10c7bfacf8fc07aa999,R02
S-010,U-010,image-2870682f58598a5a37c6ff3837b52bd35ade9285,4536.983333,5974.462661,835.0,482.0,d3986d5cdddda09d7101b6c6b129a35c769ab2bb,R02
S-011,U-011,image-ecd95c25fa4f34e4ddb272408ec3c816330b290d,4549.484615,5431.978659,818.0,464.0,190aa380a92d2dc4efbc58b9405ff9a2dcb93975,R02
S-012,U-012,image-ef7939097cd097aef5e78452a3343948c0c10d93,4554.570994,4935.203216,808.0,482.0,45976ec2a2d5bee355841a9358c0aa2ea0d8b232,R02
S-013,U-013,image-ebd55638868b87d26bb85d204e340a406657aac0,5659.436223,5367.722199,764.0,153.0,85d7de717749ff9507fabea5b3b258b5a533de7c,R02
S-014,U-014,image-bfdc0a57ab2dbe0d2948bd7b4e3c9bd74110b0ec,5611.298347,5517.139978,893.0,482.0,269893af456f1ea47d75ebfb0af250e1da6c08f9,R02
S-015,U-015,image-9ad1243feaac640e8e3672dd7cdfd7eaad4d66be,5805.916073,6079.891307,666.0,482.0,06dcbf7c0f5311d322c21b7d794744f9276ac833,R02
S-016,U-016,image-02d7391b33527c590f80c6c51d0f0c569fc738ef,5763.719337,6576.976128,773.0,391.0,e4b0f4d9bc474a036f43f5327ca617caf5a3f0ac,R02
S-017,U-017,image-8937c8cf0f827cfde3f638f6f0c8b78c10597f22,5803.515955,6975.129431,644.0,482.0,1bea3b4d5868b2301f80cfc596ddd58539ae6257,R02
S-018,U-018,image-227c3117ddf39c0b2319d66aab530fb2b4043ee6,4472.631403,4179.539817,865.0,352.0,6bc804c62dc79f10c575fcff7dac1cdfc3f873c2,R01
S-019,U-019,image-409089d60d26bc251cb0fa19f7699a1c81dbce67,5255.96836,14384.828086,655.0,482.0,01b164a24b89d0b876ab107680048245e29a0290,R03
S-020,U-020,image-705806e5ba178f57b097bb3166ccf68e5c8248c4,5203.909438,14883.928936,598.0,261.0,f114173ba3261b8539f22dc687e55095755d6b5a,R03
S-021,U-021,image-229fd38b4c60560a2fd3f019c5d4417d801f6d56,5232.733675,13868.605908,648.0,482.0,3a5f0c65b94649f95ed287714f3caf727236eb2e,R03
S-022,U-022,image-6276ecdfc5698b80a18ca32fc995a889101083ae,5231.137331,13393.050284,687.0,482.0,3684c68324aa9f0f7c597a2ecc8d1ef5cd05b2f9,R03
S-023,U-023,image-d289933296a3b0f513b9d8864c72e0acb03f1ee2,5209.211838,12881.939241,802.0,482.0,6428a53363ffa541671bed073497a263d328b4e9,R03
S-024,U-024,image-8da7371ee7327957aac575a1e7a75be06c4c8681,5230.350952,12358.605882,605.0,482.0,a2f086f8e4500510ad2a1d906e780fb675e32062,R03
S-025,U-025,image-b57144be037bb862c9233ec7209286f2249e83e9,3829.505184,13913.986672,711.0,482.0,081e348ba10ce2203fbca4b3aba2a10e18a2d0da,R03
S-026,U-026,image-3708baeb3c6232552fcc30480edc46555890536a,4453.575456,960.887459,833.0,425.0,8575d50386ee03955de0d4587b7a8104288e695c,R01
S-027,U-027,image-e56d05440b95f4f43b3409cbb9662fe6772ba108,4448.075456,1405.947973,684.0,267.0,e01bf0fb1365721cd384b13143281291fe3c1d5c,R01
S-028,U-028,image-aa7cf2a85093048636e54040551215987d763ac5,4406.423867,1811.210705,825.0,341.0,de83a1beee08914c5be22b22f0fba4d20ddc0b90,R01
S-029,U-029,image-07dcba8e7acafdcc364eb719bad75f2b8a05b58c,4398.12586,2185.493465,706.0,81.0,7d3aabd01308111928a14309eb515686f454d6a1,R01
S-030,U-030,image-9359c4c770c025eb314a4832ed18445db9142e58,4463.676457,1717.453052,481.0,65.0,fb597dadfdddad399e6695c6911c44266a34dbb7,R01
S-031,U-031,image-c16e8ee38ad24a84ef121d094d505689b55a057a,1203.009665,813.708271,784.0,179.0,520c49fed0dd2048c6b8a0c6a10aca3b7696dd62,R01
S-032,U-032,image-58cb3e2144894714fa8fa54478ce697f1dc19ba0,1207.223951,1538.565588,707.0,215.0,9a53087e541832cbb08f69c95b78457818997b29,R01
S-033,U-033,image-a7cecfe246df77fbefa432043a9f7cc6889fe2f9,1164.2002,1827.422644,854.0,163.0,43819a233c386a63c96d5dd58e9816de9e1c1c2e,R01
S-034,U-034,image-587409d7710fb0a59219284abae3264241a095e7,1186.366808,2006.970321,703.0,482.0,e4855de28c4b38faab2c7ff563f4dde995566aae,R01
S-035,U-035,image-0dcd1c17486cc521c9102eb5dbd62232c0cd68db,1188.320253,1009.988626,662.0,482.0,bce8ff1681d7cc31d396f7626402e2b70bca5a96,R01
S-036,U-036,image-37a55397f1693449cc3dd4a3c885aa924e7d0e7a,296.099959,985.805682,668.0,463.0,1577fc900636c6871275489dbdab4e6c291f36fd,R01
S-037,U-037,image-8983ea60679500b488691d6e4e08e851576f64c0,289.417052,1487.85232,639.0,336.0,754bc9e44fa9e213e204288c9d87885990feaa2a,R01
S-038,U-038,image-d0a170d7ebae6a513b825031fe2f9577195dc94e,236.068641,1828.140217,736.0,373.0,f848124d051b79aeea8a08958d8f1ff497279c2b,R01
S-039,U-039,image-1e4bd191917e1030918918ea0e0992c2c33ef4f4,162.507961,2194.034138,791.0,320.0,d354b194a08afd1fd95d92d4214cef7da3b44e16,R01
S-040,U-040,image-7ec5579097b291e7492db0af9f1b5f95f1b450c0,2238.58425,1820.756695,733.0,482.0,4ed724faf84b33cddccb8468dfc273068352fe16,R01
S-041,U-041,image-02bc935ca0209885872438019bda408444317b1e,2254.992957,2340.397775,703.0,180.0,d1f5a985390d19bdc608005e55b827e5e96934e0,R01
S-042,U-042,image-891368fd26c04efc8e912a1a3f9fd877f6e722f6,3157.455563,602.127868,915.0,475.0,e6ff81bf2e1989c64dd39b6ee1b2aa1ddcea3df9,R01
S-043,U-043,image-0ac06196ccd18cd211b64c93a28710ba50d32934,3152.212954,1104.41571,717.0,188.0,a672b4e3465f38972740b130ce3095015d8e79ec,R01
S-044,U-044,image-e8fadbb6190240da4597fcf5508bf9e6e2db1467,3154.398683,1335.441278,696.0,482.0,2b80aa1603031edb89556967a6fa1a41e2462026,R01
S-045,U-045,image-932354a11caa5a12714dfbb52a37875571e16e93,5846.678766,8182.287833,783.0,382.0,9c498bac6bdbd57ca495e7b7eff027f468cd7a7e,R02
S-046,U-046,image-af02c0b4821db376f8c6d203a76df7e5765ef662,5851.752795,9076.08422,761.0,387.0,bd14a853db1d293dc66cba39a7302b452a43df22,R02
S-047,U-047,image-0c44d155c70abf1d59f42c8ad5a910152220765e,5864.123482,9479.602761,757.0,297.0,aede0740cca357f116a8ed0888e890ab4faf8d36,R02
S-048,U-048,image-992e16866ddc57cf6f764efddb93d1804ada6480,5756.475153,9817.824915,868.0,433.0,507f0e859f79932c272cebbd363307e30dcc412e,R02
S-049,U-049,image-2499154ef91866cc9bed47e25c855c73ba30b7e3,5866.104873,8590.436026,756.0,422.0,533eb4f7d5e99fa4dc918febc186b93b8d0bfa16,R02
S-050,U-050,image-3627be0035f84a228296404f48c5f66fefc5f7a3,4390.792909,8115.157171,822.0,176.0,121c6ea4474dea38249883df0f888a76b2b8b91d,R02
S-051,U-051,image-072d76a994795ad3989a272315a8e4aeecd41010,4354.248698,8336.333011,1033.0,388.0,2ff21887907cc6afa27857c7d2cdaa66188b4dea,R02
S-052,U-052,image-f3ca12e1b0e894986fe05dc4cac101454d444a4d,4363.137441,8743.777449,927.0,356.0,513a13a5a57887d25f18c2b4dd68636bbb0c3e65,R02
S-053,U-053,image-87039ed7a59a20436ca1f9761c0976ea31424792,4661.483198,10808.601047,978.0,416.0,db65d688eaf76e5cb66710d5d498b4720dccfebb,R03
S-054,U-054,image-f239497ff6ef8a5fdd5bc6209badf6e052e19582,4661.273028,11238.442206,746.0,412.0,8715486cf6ef7618d3f02d19a20c35844b37d84d,R03
S-055,U-055,image-ec4efdbdca95e8b248b079b89f05381dc391a6b3,4684.545254,11677.67224,624.0,482.0,0f28b0473fb06a0fa79efda0a41006632976cc87,R03
S-056,U-056,image-d20b8120607c2a14b91a07c1e8e32253fb2ffa08,4332.42454,13391.09042,657.0,482.0,fd52aa4d58eb771282df9af7b329c8ae30fc4cc4,R03
S-057,U-057,image-acdfd5d9c5d1cf3ab70d294ac542e24b77921055,4266.280217,12918.784037,660.0,482.0,5dffbd963a24c954fdcea865b75d2a56837b04ae,R03
