text_id,text,x,y,font_size,region
T-001,some problems with implementation,5430.325112,5302.582826,20px,R02
T-002,"about leaveopen false and ownershitp, disposal responsibility(!!!!!!!!!!!!)",4476.25089,7895.117886,145.3332519531249px,R02
T-003,using System.IO;,3007.798151,12245.826626,20px,R03
T-004,public interface IRequestBodyDecompressor,3007.798151,12295.826626,20px,R03
T-005,{,3007.798151,12320.826626,20px,R03
T-006,string EncodingName { get; },3007.798151,12345.826626,20px,R03
T-007,Stream WrapDecompressionStream(Stream input);,3007.798151,12395.826626,20px,R03
T-008,},3007.798151,12420.826626,20px,R03
T-009,using System.IO;,3034.464817,12554.715481,20px,R03
T-010,using System.IO.Compression;,3034.464817,12579.715481,20px,R03
T-011,public sealed class GzipRequestBodyDecompressor,3034.464817,12629.715481,20px,R03
T-012,: IRequestBodyDecompressor,3034.464817,12654.715481,20px,R03
T-013,{,3034.464817,12679.715481,20px,R03
T-014,"public string EncodingName => ""gzip"";",3034.464817,12704.715481,20px,R03
T-015,public Stream WrapDecompressionStream(Stream input),3034.464817,12754.715481,20px,R03
T-016,{,3034.464817,12779.715481,20px,R03
T-017,return new GZipStream(,3034.464817,12804.715481,20px,R03
T-018,"input,",3034.464817,12829.715481,20px,R03
T-019,"CompressionMode.Decompress,",3034.464817,12854.715481,20px,R03
T-020,leaveOpen: true);,3034.464817,12879.715481,20px,R03
T-021,},3034.464817,12904.715481,20px,R03
T-022,},3034.464817,12929.715481,20px,R03
T-023,public sealed class BrotliRequestBodyDecompressor,3034.464817,12979.715481,20px,R03
T-024,: IRequestBodyDecompressor,3034.464817,13004.715481,20px,R03
T-025,{,3034.464817,13029.715481,20px,R03
T-026,"public string EncodingName => ""br"";",3034.464817,13054.715481,20px,R03
T-027,public Stream WrapDecompressionStream(Stream input),3034.464817,13104.715481,20px,R03
T-028,{,3034.464817,13129.715481,20px,R03
T-029,return new BrotliStream(,3034.464817,13154.715481,20px,R03
T-030,"input,",3034.464817,13179.715481,20px,R03
T-031,"CompressionMode.Decompress,",3034.464817,13204.715481,20px,R03
T-032,leaveOpen: true);,3034.464817,13229.715481,20px,R03
T-033,},3034.464817,13254.715481,20px,R03
