idx,text,x,y,font_size,region,status
1,how retry after works for rate limiting,10.0,67.2392277580377,64.97074660390204px,R01,closed-by-stage1-final-coverage
2,manual account lockout + retry after manually,1366.5259521725256,71.39979073610306,65.33331298828122px,R01,closed-by-stage1-final-coverage
3,rate limiting + lockout patterns,7858.271107121404,139.67144400398624,101.60205675934124px,R01,closed-by-stage1-final-coverage
4,its just for client to show ui and not allow normal users to do requests,391.61078147145236,153.8650263084138,20px,R01,closed-by-stage1-final-coverage
5,you should rate limit on server to avoid problems,391.61078147145236,178.8650263084138,20px,R01,closed-by-stage1-final-coverage
6,and examples,7858.271107121404,266.6740149531628,101.60205675934124px,R01,closed-by-stage1-final-coverage
7,lockout with identity,10377.898843353898,288.0041942379968,113.3333740234375px,R01,closed-by-stage1-final-coverage
8,limiter types,3999.529491059371,315.44946403743484,136.84838867187494px,R01,closed-by-stage1-final-coverage
9,rate limiter middleware,4979.303763858723,317.7026800096136,101.26978120349811px,R01,closed-by-stage1-final-coverage
10,"pattern 2, add ratelimiter for all requests and cache based service to",7709.00397377631,721.238741498323,40.800000000000004px,R01,closed-by-stage1-final-coverage
11,score failed attempts,7709.00397377631,772.238741498323,40.800000000000004px,R01,closed-by-stage1-final-coverage
12,using custom middleware (bad),6684.118319706163,1528.6153904468017,52.9696821732941px,R01,closed-by-stage1-final-coverage
13,it seems great for ip only throttles but to create ip + email,6688.889552751707,1577.276818293457,20px,R01,closed-by-stage1-final-coverage
14,we need to read the request which is stream and it can cause issues,6688.889552751707,1602.276818293457,20px,R01,closed-by-stage1-final-coverage
15,we will need some manual buffering and at hot paths better to avoid it,6688.889552751707,1627.276818293457,20px,R01,closed-by-stage1-final-coverage
16,with action service we can grab email from the deserialized payload easily,6688.889552751707,1652.276818293457,20px,R01,closed-by-stage1-final-coverage
17,combined key for rate limiting,5231.129707353474,1995.6141742654788,43.11110723586364px,R01,closed-by-stage1-final-coverage
18,attacker changes ips,5231.129707353474,2049.5030583103085,43.11110723586364px,R01,closed-by-stage1-final-coverage
19,locking other people's accounts,5231.129707353474,2103.391942355138,43.11110723586364px,R01,closed-by-stage1-final-coverage
20,context.lease,2905.641657885938,2360.309302639301,112px,R01,closed-by-stage1-final-coverage
21,new key - set expiration,7595.440183164493,2420.9801053085603,20px,R01,closed-by-stage1-final-coverage
22,for it only when count is 1,7595.440183164493,2445.9801053085603,20px,R01,closed-by-stage1-final-coverage
23,redis through idistributed cache vs,10002.731235339346,2919.8875966729606,142.60444146164812px,R01,closed-by-stage1-final-coverage
24,multiplexer + idatabase,10002.731235339346,3098.1431485000207,142.60444146164812px,R01,closed-by-stage1-final-coverage
25,retry after from lease by limiter type,2984.006672974664,3611.915537077601,41.333356584823925px,R01,closed-by-stage1-final-coverage
26,multiplexer,9021.567458984355,3882.569300819298,57.92594401041567px,R01,closed-by-stage1-final-coverage
27,so the most secure approaches,6850.2363878400065,4784.698285699006,68px,R01,closed-by-stage1-final-coverage
28,per ip attempts,7487.680856020344,4886.688087212678,20px,R01,closed-by-stage1-final-coverage
29,global limiter,5193.066224574866,5265.9881437198665,62.074083116318796px,R01,closed-by-stage1-final-coverage
30,multiple limiters for one policy,5193.066224574866,5343.580747615265,62.074083116318796px,R01,closed-by-stage1-final-coverage
31,applying limiters via attributes,5193.066224574866,5421.173351510663,62.074083116318796px,R01,closed-by-stage1-final-coverage
32,"what lease CAN include, how to discover it",2912.654195035395,5613.9021178101375,55.2px,R01,closed-by-stage1-final-coverage
33,"atomic counters, race conditions with idatabase",8719.292158456756,6105.046980423956,50.66665649414062px,R01,closed-by-stage1-final-coverage
34,and idistributedcache,8719.292158456756,6168.380301041631,50.66665649414062px,R01,closed-by-stage1-final-coverage
35,"this is about data being lost,",8900.210359525363,6232.330057495695,20px,R01,closed-by-stage1-final-coverage
36,multiple concurrent requests,8900.210359525363,6257.330057495695,20px,R01,closed-by-stage1-final-coverage
37,one gets  5,8900.210359525363,6282.330057495695,20px,R01,closed-by-stage1-final-coverage
38,another sets  5 +1,8900.210359525363,6307.330057495695,20px,R01,closed-by-stage1-final-coverage
39,the first sets 5 + 1,8900.210359525363,6332.330057495695,20px,R01,closed-by-stage1-final-coverage
40,we have 6 instead of 7,8900.210359525363,6357.330057495695,20px,R01,closed-by-stage1-final-coverage
41,"stampede protection,",10231.94673384869,7672.074007963904,64px,R01,closed-by-stage1-final-coverage
42,1 single instance,10231.94673384869,7752.074007963904,64px,R01,closed-by-stage1-final-coverage
43,2 multiple with redis lock,10231.94673384869,7832.074007963904,64px,R01,closed-by-stage1-final-coverage
44,closer to end about redis lock and redlock for stronger guarantee,10317.65239370126,8849.138879169339,20px,R01,closed-by-stage1-final-coverage
45,"some lua script shit, not interested rught now",10317.65239370126,8874.138879169339,20px,R01,closed-by-stage1-final-coverage
46,where does ratelimiter stores attempt counts,5740.82070975257,9699.52999600646,67.38654729769914px,R01,closed-by-stage1-final-coverage
47,how ratelimiter behaves with multiple instances,5740.82070975257,9783.763180128584,67.38654729769914px,R01,closed-by-stage1-final-coverage
48,accessing redis in ratelimiter,3883.917332004747,10300.235325114969,64.00000000000001px,R01,closed-by-stage1-final-coverage
