source_id,stage0_group,stage1_region,decision,status,reason,notes
S-001,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-002,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-003,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-004,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-005,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-006,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-007,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-008,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-009,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-010,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-011,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-012,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-013,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-014,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-015,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-016,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
S-018,B32SEC-R01-random-secret-bytes-base32-encoding,B32SEC-R01,included-in-b32sec-r01-stage1-v001,verified-visible-semantic-transcript,"Creating a Base32 secret: cryptographically random bytes, Base32 encoding alphabet, no padding/normalization, storage, and display/copy rules.",Included after Stage0 candidate split and Stage1 source-level semantic review.
