source_id,image_use_id,fileId_short,region,subregion,coverage_status,decision_is_final,audit_result,review_notes
S-001,IU-001,02307d2224,RIQ03,RIQ03B,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,efe1175e62,RIQ03,RIQ03B,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,07ccbc5f6c,RIQ03,RIQ03B,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,c29fe45e34,RIQ03,RIQ03B,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,b87c0d3981,RIQ03,RIQ03B,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
S-006,IU-006,3d2e1aae93,RIQ03,RIQ03A,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,c687e670b4,RIQ03,RIQ03A,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,27f7cb860c,RIQ03,RIQ03A,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
S-009,IU-009,ce1689bd76,RIQ03,RIQ03A,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
S-010,IU-010,569c17e142,RIQ03,RIQ03A,processed-in-riq03-v001,yes-for-riq03-v001-boundary,ok-processed,Included in RIQ03 v001 after NEXT01 visual/semantic transcript pass.
