text_id,text,theme
T-001,so when we return ienumerable without tolist,canvas text label / local note
T-002,Had to call tolist above to do select,canvas text label / local note
T-003,client should keep in mind,canvas text label / local note
T-004,So there is no limitation on linq expressions,canvas text label / local note
T-005,When you return IEnumerable it is not,canvas text label / local note
T-006,"When you call toList(), expression start to",canvas text label / local note
T-007,disposing db context inside method,canvas text label / local note
T-008,hidden db query outside rep boundary,canvas text label / local note
T-009,sometimes partial enumeration can,canvas text label / local note
T-010,repeated side effects,canvas text label / local note
T-011,dif results on each enumeration,canvas text label / local note
T-012,so we have 2 types of scenarios,canvas text label / local note
T-013,what if we have called to list,canvas text label / local note
T-014,what about async enumerable,canvas text label / local note
T-015,"just not an immediate cleanup, nothing immportant",canvas text label / local note
T-016,getrnumerator,canvas text label / local note
T-017,!!!,canvas text label / local note
