line_id,x,y,text
L-001,10386.684300585099,782.1217682735542,implementing full identity
L-002,1581.67457620824,144.93235391600592,manual hashing
L-003,2713.5659232674216,723.2549596770941,In ddd style
L-004,2150.8124715223967,1385.7534131473694,Doesnt depends on how long it takes
L-005,2150.8124715223967,1385.7534131473694,to actually verify password
L-006,2721.0332805562375,2945.165155044956,using System.Security.Cryptography;
L-007,2721.0332805562375,2945.165155044956,public static class PasswordKdf
L-008,2721.0332805562375,2945.165155044956,{
L-009,2721.0332805562375,2945.165155044956,// tune this based on perf tests
L-010,2721.0332805562375,2945.165155044956,private const int Iterations = 210_000;
L-011,2721.0332805562375,2945.165155044956,private const int SaltSize = 16; // 128-bit
L-012,2721.0332805562375,2945.165155044956,private const int KeySize = 32; // 256-bit
L-013,2721.0332805562375,2945.165155044956,"private const string Algo = ""PBKDF2-SHA256"";"
L-014,2721.0332805562375,2945.165155044956,private const int Version = 1;
L-015,2721.0332805562375,2945.165155044956,public static string Hash(string password)
L-016,2721.0332805562375,2945.165155044956,{
L-017,2721.0332805562375,2945.165155044956,byte[] salt = RandomNumberGenerator.GetBytes(SaltSize);
L-018,2721.0332805562375,2945.165155044956,byte[] key = Rfc2898DeriveBytes.Pbkdf2(
L-019,2721.0332805562375,2945.165155044956,"password,"
L-020,2721.0332805562375,2945.165155044956,"salt,"
L-021,2721.0332805562375,2945.165155044956,"Iterations,"
L-022,2721.0332805562375,2945.165155044956,"HashAlgorithmName.SHA256,"
L-023,2721.0332805562375,2945.165155044956,KeySize);
L-024,2721.0332805562375,2945.165155044956,// Store: v:algo:iter:saltB64:hashB64
L-025,2721.0332805562375,2945.165155044956,"return $""{Version}:{Algo}:{Iterations}:{Convert.ToBase64String(salt)}:{Convert.ToBase64String(key)}"";"
L-026,2721.0332805562375,2945.165155044956,}
L-027,2721.0332805562375,2945.165155044956,"public static bool Verify(string password, string stored)"
L-028,2721.0332805562375,2945.165155044956,{
L-029,2721.0332805562375,2945.165155044956,var parts = stored.Split(':');
L-030,2721.0332805562375,2945.165155044956,if (parts.Length != 5) return false;
L-031,2721.0332805562375,2945.165155044956,"if (!int.TryParse(parts[0], out var version) || version != Version) return false;"
L-032,2721.0332805562375,2945.165155044956,var algo = parts[1];
L-033,2721.0332805562375,2945.165155044956,if (algo != Algo) return false;
L-034,2721.0332805562375,2945.165155044956,"if (!int.TryParse(parts[2], out var iterations)) return false;"
L-035,2721.0332805562375,2945.165155044956,byte[] salt = Convert.FromBase64String(parts[3]);
L-036,2721.0332805562375,2945.165155044956,byte[] expected = Convert.FromBase64String(parts[4]);
L-037,2721.0332805562375,2945.165155044956,byte[] actual = Rfc2898DeriveBytes.Pbkdf2(
L-038,2721.0332805562375,2945.165155044956,"password,"
L-039,2721.0332805562375,2945.165155044956,"salt,"
L-040,2721.0332805562375,2945.165155044956,"iterations,"
L-041,2721.0332805562375,2945.165155044956,"HashAlgorithmName.SHA256,"
L-042,2721.0332805562375,2945.165155044956,expected.Length);
L-043,2721.0332805562375,2945.165155044956,"return CryptographicOperations.FixedTimeEquals(actual, expected);"
L-044,2721.0332805562375,2945.165155044956,}
L-045,2721.0332805562375,2945.165155044956,}
L-046,13967.311732851162,1302.5987428394683,how key stretching works
L-047,14566.823347277068,1857.4958469854273,"basically kdf is a deterministic functions, it produces same hash on each input"
L-048,14566.823347277068,1857.4958469854273,and when you hash with iterations - you always will get same hash for each input
L-049,14566.823347277068,1857.4958469854273,", psw -> hash1 -> hash2 -> hash300000"
L-050,16360.445652157718,286.0565963458821,hasging
L-051,18280.7629768415,571.2952438068269,flow
L-052,18986.23932571845,240.26323014076024,what we are storing in db
L-053,18986.23932571845,240.26323014076024,how it looks
L-054,18986.23932571845,240.26323014076024,why do we store it in one place
L-055,18986.23932571845,240.26323014076024,for what salt
L-056,13761.725895562045,1526.8827878393286,different algorythms cost params
L-057,6645.989142040501,10.0,implementations->theo
L-058,4539.164205400808,2842.5394112723225,version
L-059,16545.422438365218,3928.2648392934616,cost params values
L-060,3251.4432738123223,7152.453651747484,migrating to automatic versioning with password hasher
L-061,5925.212431982811,2867.7583941580624,does identityhash adds literal string verion
L-062,5925.212431982811,2867.7583941580624,rehashis needed from identity hasher
L-063,45.20497347935634,5070.225455671074,fixed time equals
L-064,105.10154522464109,2859.969042806324,pbkdf
L-065,7546.802843697145,796.5002769446683,PASSWORDHASHER
L-066,5871.1795869456,4211.967522491509,rehashneeded
L-067,10719.24357504084,3529.4914046762187,about user arg
L-068,10401.886882765986,4860.876719455427,"why is user there, what to do?"
L-069,10856.788867485655,5109.111941767008,"can pot, create excplicit hasher class that uses the default"
L-070,10856.788867485655,5109.111941767008,hasher and doesnt need user
