text_id,text,x,y,font_size,region,transcript,review_status,review_basis
T-001,implementing full identity,10386.684300585099,896.8476416459466,130.2223307291628px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-002,manual hashing,1581.67457620824,330.52965140135757,210.66662597656264px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-003,In ddd style,2713.5659232674216,740.8749596770941,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-004,Doesnt depends on how long it takes,2150.8124715223967,1403.3734131473693,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-005,to actually verify password,2150.8124715223967,1428.3734131473693,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-006,using System.Security.Cryptography;,2721.0332805562375,2962.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-007,,2721.0332805562375,2987.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-008,public static class PasswordKdf,2721.0332805562375,3012.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-009,{,2721.0332805562375,3037.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-010,    // tune this based on perf tests,2721.0332805562375,3062.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-011,    private const int Iterations = 210_000;,2721.0332805562375,3087.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-012,    private const int SaltSize = 16;     // 128-bit,2721.0332805562375,3112.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-013,    private const int KeySize = 32;      // 256-bit,2721.0332805562375,3137.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-014,"    private const string Algo = ""PBKDF2-SHA256"";",2721.0332805562375,3162.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-015,    private const int Version = 1;,2721.0332805562375,3187.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-016,,2721.0332805562375,3212.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-017,    public static string Hash(string password),2721.0332805562375,3237.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-018,    {,2721.0332805562375,3262.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-019,        byte[] salt = RandomNumberGenerator.GetBytes(SaltSize);,2721.0332805562375,3287.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-020,,2721.0332805562375,3312.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-021,        byte[] key = Rfc2898DeriveBytes.Pbkdf2(,2721.0332805562375,3337.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-022,"            password,",2721.0332805562375,3362.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-023,"            salt,",2721.0332805562375,3387.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-024,"            Iterations,",2721.0332805562375,3412.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-025,"            HashAlgorithmName.SHA256,",2721.0332805562375,3437.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-026,            KeySize);,2721.0332805562375,3462.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-027,,2721.0332805562375,3487.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-028,        // Store: v:algo:iter:saltB64:hashB64,2721.0332805562375,3512.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-029,"        return $""{Version}:{Algo}:{Iterations}:{Convert.ToBase64String(salt)}:{Convert.ToBase64String(key)}"";",2721.0332805562375,3537.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-030,    },2721.0332805562375,3562.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-031,,2721.0332805562375,3587.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-032,"    public static bool Verify(string password, string stored)",2721.0332805562375,3612.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-033,    {,2721.0332805562375,3637.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-034,        var parts = stored.Split(':');,2721.0332805562375,3662.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-035,        if (parts.Length != 5) return false;,2721.0332805562375,3687.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-036,,2721.0332805562375,3712.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-037,"        if (!int.TryParse(parts[0], out var version) || version != Version) return false;",2721.0332805562375,3737.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
