source_id,sha256,sha256_12,placements,region_id,image_file,transcript_file,status
S-001,07584e3877ba0a25d5c1aaaf975428e80ca8c8b2711edc87696e58b82d43e8ad,07584e3877ba,1,R01,source/images-near-literal-v001/S-001__07584e3877ba.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
S-002,8de9c0f00f3c501f07618d9632a87cd090d6a172f266d68ccaf07e73464fd0aa,8de9c0f00f3c,1,R01,source/images-near-literal-v001/S-002__8de9c0f00f3c.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
S-003,bf838ec7d2bae5b93c179c647edf6c8926f4a8fee92a146c8125c26fb3c600be,bf838ec7d2ba,1,R01,source/images-near-literal-v001/S-003__bf838ec7d2ba.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
S-004,6586a0f7e74726b321f1f045f338639875975a013af08e1bede872c5b1e33ea1,6586a0f7e747,1,R01,source/images-near-literal-v001/S-004__6586a0f7e747.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
S-005,9bba872419537c62509730828a61c6c8f42aa6d0f3f0f5ad95daeecb1bebf4c6,9bba87241953,1,R01,source/images-near-literal-v001/S-005__9bba87241953.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
S-006,81614ff3a90de78f2cc5ca037a96f474b80830f70c58e3c1535f9032a07f3dfa,81614ff3a90d,1,R01,source/images-near-literal-v001/S-006__81614ff3a90d.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
S-007,1dfca64550d5684d6803d95c9f5e786e909321c71be57630ed05b2d6d0ef382b,1dfca64550d5,1,R01,source/images-near-literal-v001/S-007__1dfca64550d5.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
S-008,19e6c0f73f27d0a8023aa1954493123a77d23a5c9e44774c887fa197e52c6801,19e6c0f73f27,1,R01,source/images-near-literal-v001/S-008__19e6c0f73f27.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
S-009,4d2f2d451b506c36ab05c375397db0fa1fbeb0bab33268678743fc0516d3ef24,4d2f2d451b50,1,R01,source/images-near-literal-v001/S-009__4d2f2d451b50.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
S-010,def9b67bd7be097ba6402ae05964ecaa7c69ea834492dff3a7bf622152626b42,def9b67bd7be,1,R01,source/images-near-literal-v001/S-010__def9b67bd7be.png,10-full-source-preserving-transcript-v001.md,closed-near-literal-v001
