source_id,region,x,y,width,height,symbol_id,sha256,file
I001,R01,1096.5953056563267,532.2132125984881,805.0,447.0,image-3710ca8272c1f3d9c6a7d4c590e992559504cb75,38fa7ce4e9abd65ab31bd434a22bd1751730ec10fdc6d1a2cdc66c2b765d6ef5,source/images/image-3710ca8272c1f3d9c6a7d4c590e992559504cb75.png
I002,R01,1068.3466736188757,1011.3349573901523,787.0,395.0,image-4e35b1cbc9934429c0cd8079ae69a2a49dd4ca29,796437ed22842e0d3c562ceb3c6a7531c085459fc810f7e626f0be5cc58dcff8,source/images/image-4e35b1cbc9934429c0cd8079ae69a2a49dd4ca29.png
I003,R01,1046.6084621233404,1436.3825473734141,800.0,223.0,image-b7164244ce7dec37e2e2e5c83a86e10438119523,16c7bac5095bd21b16391c5bfc3493da7cbeb0a5e3319fb58e5363f29676b228,source/images/image-b7164244ce7dec37e2e2e5c83a86e10438119523.png
I004,R01,1057.7275504324925,1704.787201740044,897.0,482.0,image-a9bd2293fc248ae07c1173e461985575a8632271,c30b842ff1a10b3c190456d0fc39a12648966ebb00b110307530c6ecb200ad9b,source/images/image-a9bd2293fc248ae07c1173e461985575a8632271.png
I005,R03,5432.242124867734,7255.3267528164615,975.0,373.0,image-056e4fefe5c2572c2b7b66d3c882f35dec288c38,2e0989615e25536e2edd4b2650b69421ea8ba6141c3c60a134eae4db0c83ee19,source/images/image-056e4fefe5c2572c2b7b66d3c882f35dec288c38.png
I006,R03,4175.942404839499,7284.192994622168,962.0,411.0,image-f4607cf32cc1dffc6dc350cda8e2c74b89727a62,244f51c8659bbc869261a54b9ac2f19abd30c0f9f89700e60702e14bef91abc8,source/images/image-f4607cf32cc1dffc6dc350cda8e2c74b89727a62.png
I007,R03,3034.845694369783,7314.804875286707,880.0,482.0,image-1e94621611e97994d9c16c55b9b38115742bc1fe,4f758da135f12b93fa3656c8a8fe7594a22e225648c53e0df63c0c9905c62d27,source/images/image-1e94621611e97994d9c16c55b9b38115742bc1fe.png
I008,R03,5447.908750844296,7657.8267528164615,957.0,360.0,image-d197e219eca82c17b39333fe4a5456c265b517d6,d16506eb190b1be3e5d75d4b16670b2002dd52b6bbfc8f5bf78d68cfccef7c0a,source/images/image-d197e219eca82c17b39333fe4a5456c265b517d6.png
I009,R03,4165.405119140714,7716.026175367606,969.0,354.0,image-4cc33634dc088092fe7e587bdcb80392042864db,9f7606f2a21ce617c1e53beacc9a8e4deda5ead173249cfbf967b0f37789be85,source/images/image-4cc33634dc088092fe7e587bdcb80392042864db.png
I010,R03,5450.575498891171,8023.660126839899,965.0,327.0,image-fd4a0dc1e585d85f4a749d9e2c47caccb5bef358,974639cf260f9199dad7d3e90463a3cd8b5aa2c3212af5e402385650695c2e3e,source/images/image-fd4a0dc1e585d85f4a749d9e2c47caccb5bef358.png
I011,R03,4160.905322591235,8087.915021870958,918.0,358.0,image-af02526ffb2b64145dcbd783b7c5053d0929c829,52bae106722632e224e09a5afd679438f07274243652df342de150f0098cfe19,source/images/image-af02526ffb2b64145dcbd783b7c5053d0929c829.png
I012,R03,2487.8057261759195,8412.843410318066,938.0,177.0,image-9472679ba0e5865384f1f858a82bcc796ab1c37d,e974c94d816e4fc5430f06d448e6a6b64ab16a6caf201915ad578ca3e3f33c60,source/images/image-9472679ba0e5865384f1f858a82bcc796ab1c37d.png
I013,R03,4158.368375976652,8447.45210411921,929.0,273.0,image-d09912616c18e9474589656ad43a25f79af63bdf,fb06daf286a2b0c74879225f16798eec78c34f6eb353b6efff03e4058c2d1f81,source/images/image-d09912616c18e9474589656ad43a25f79af63bdf.png
I014,R03,2449.9723928425865,8661.676794514005,947.0,366.0,image-90e41a6b1d84787f1128b6d22c998eeeb2d0eb47,0cc265f55dc559f4e6b8c35a8b48a718a8ebf50a9d276fe3c50c53d88ae63586,source/images/image-90e41a6b1d84787f1128b6d22c998eeeb2d0eb47.png
I015,R03,4147.46087814679,8711.674326341428,936.0,349.0,image-f9eb8dfba85bfae9dcdefc4bb93b37d0bf0589c7,537fa36b058fb8db12692da2f0204be181d8ee2931f06a2663bc5e69f8d13b9b,source/images/image-f9eb8dfba85bfae9dcdefc4bb93b37d0bf0589c7.png
I016,R03,4156.1090715061655,9076.45210411921,975.0,295.0,image-3d1f30420be14877c04426e9696d08d1dadb952d,6a170439e14ba8695db7ec70c88db48c07a478aa53988ea2c9d0aaa238b2e090,source/images/image-3d1f30420be14877c04426e9696d08d1dadb952d.png
I017,R03,2410.194581156389,9104.62122200424,951.0,389.0,image-9b076d48d0de7a69074fa70b625260c2063a6844,20ae65f925448b5c17ccd8df724ef8e61384c855d25d337bcf234d25759e74f4,source/images/image-9b076d48d0de7a69074fa70b625260c2063a6844.png
I018,R03,4153.220182617276,9381.82245188396,963.0,265.0,image-cf67614c6127baf44a7add42b8dc0f11e518af28,d28d478b057a0cc58075b62834ae89a1a7e3371045edfa01e0055201e9e33a68,source/images/image-cf67614c6127baf44a7add42b8dc0f11e518af28.png
