region,source_id,image_use,file_sha,x,y,width,height,stage1_status,theme
R01,S-001,U-001,3f489f49ce004e8ab59fa8703a94a6727429620e,10.0,164.11,851.0,248.0,verified-semantic-transcript,"database-backed enrichment, tenant information, claim normalization, and legacy claim aliases"
R01,S-002,U-002,5f30ff37bfda076969946fd0cc2e63b9afd43031,1117.04,220.93,964.0,340.0,verified-semantic-transcript,"database-backed enrichment, tenant information, claim normalization, and legacy claim aliases"
R01,S-007,U-007,3c5b513b554d40151398095d4d6bb837f70fbc62,1103.14,694.71,972.0,228.0,verified-semantic-transcript,"database-backed enrichment, tenant information, claim normalization, and legacy claim aliases"
R01,S-010,U-010,233b3092409b98d3f5b37ab30321c1417152d7ef,1112.3,1077.86,806.0,482.0,verified-semantic-transcript,"database-backed enrichment, tenant information, claim normalization, and legacy claim aliases"
R01,S-015,U-015,c0d92f31b51a821207e7b53d06f491ec1f39c096,1112.68,1831.8,861.0,482.0,verified-semantic-transcript,"database-backed enrichment, tenant information, claim normalization, and legacy claim aliases"
R02,S-003,U-003,12f8c0d943cb56ae6c3afdee5314ea780592a9c1,2203.54,263.39,914.0,463.0,verified-semantic-transcript,"IClaimsTransformation purpose, service implementation, registration, and TransformAsync behavior"
R02,S-005,U-005,bcd59e21931949039a5b71f4341ea2d6969ca658,3226.96,268.69,963.0,252.0,verified-semantic-transcript,"IClaimsTransformation purpose, service implementation, registration, and TransformAsync behavior"
R02,S-006,U-006,e865e7a7a4404ace9d9c104182ebf6ab706f4701,3206.05,585.25,943.0,311.0,verified-semantic-transcript,"IClaimsTransformation purpose, service implementation, registration, and TransformAsync behavior"
R02,S-008,U-008,9b1f2465707499c4dea93c867ef8b3425bc587b2,3179.17,935.92,941.0,143.0,verified-semantic-transcript,"IClaimsTransformation purpose, service implementation, registration, and TransformAsync behavior"
R02,S-011,U-011,b926d9c3b21fb83207fa59798ce20cf439d57c31,3194.35,1181.15,797.0,482.0,verified-semantic-transcript,"IClaimsTransformation purpose, service implementation, registration, and TransformAsync behavior"
R02,S-014,U-014,904d12b18c0151466821acbcfe94a3bbec39165b,3145.85,1724.14,969.0,159.0,verified-semantic-transcript,"IClaimsTransformation purpose, service implementation, registration, and TransformAsync behavior"
R03,S-004,U-004,3f7773d66b9a82d35288f8d1a660726be8adec0e,4497.86,268.22,968.0,482.0,verified-semantic-transcript,"when transformation runs, repeated execution guards, marker claims, current-principal scope, and persistence limits"
R03,S-009,U-009,ced652fbb02070fe90988b88a665485cd9c69c4c,4528.65,1026.57,919.0,296.0,verified-semantic-transcript,"when transformation runs, repeated execution guards, marker claims, current-principal scope, and persistence limits"
R03,S-012,U-012,6695cb8ac852553faac13ca1245afb754eefef06,4535.2,1386.57,896.0,135.0,verified-semantic-transcript,"when transformation runs, repeated execution guards, marker claims, current-principal scope, and persistence limits"
R03,S-013,U-013,650d948d51145dc1eda092a116c847e6a6e1ef42,4532.29,1601.78,1022.0,376.0,verified-semantic-transcript,"when transformation runs, repeated execution guards, marker claims, current-principal scope, and persistence limits"
R03,S-016,U-016,cbc8bc2e05465ffd9d631764d9bec26d0f01dc35,4547.37,1979.57,1045.0,209.0,verified-semantic-transcript,"when transformation runs, repeated execution guards, marker claims, current-principal scope, and persistence limits"
R03,S-017,U-017,0b7c52976ae992c481a14fa49c9ad2a989facc4d,4559.09,2349.46,931.0,175.0,verified-semantic-transcript,"when transformation runs, repeated execution guards, marker claims, current-principal scope, and persistence limits"
R03,S-018,U-018,36e513d709f99ffadad89c79afc646c02459a691,4462.56,3038.74,1082.0,300.0,verified-semantic-transcript,"when transformation runs, repeated execution guards, marker claims, current-principal scope, and persistence limits"
R03,S-019,U-019,951f97ac1a1af2f0476125e5b6441e6d17fb1220,4519.89,3401.41,944.0,108.0,verified-semantic-transcript,"when transformation runs, repeated execution guards, marker claims, current-principal scope, and persistence limits"
