source_id,region,coverage_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-003,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-005,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-007,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-008,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-011,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-012,RAWCONN-R01,processed-in-rawconn-r01-v001,yes-for-rawconn-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-014,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-016,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-017,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-018,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-019,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-020,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-021,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-022,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-023,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-024,RAWCONN-R02,processed-in-rawconn-r02-v001,yes-for-rawconn-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-025,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-026,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-027,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-028,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-029,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-030,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-031,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-032,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-033,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-034,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-035,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-036,RAWCONN-R03,processed-in-rawconn-r03-v001,yes-for-rawconn-r03-stage1,no-for-stage1-semantic-transcript,no,yes
