source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,region_id,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,1,c2472bd871f0138d7a28b63122c267e63120d386,c2472bd871,1787.444,10.0,527.0,482.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.",L-195: candidate | L-003: using Microsoft.Net.Http.Headers; | L-004: using Microsoft.Extensions.Primitives; | L-005: public static class AcceptHeaderSelectionHelper,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-002,2,368a68c1d0300f174ac00dd18125375e028e7fa7,368a68c1d0,1705.332,1008.489,745.0,272.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.",L-195: candidate | L-024: /// <summary> | L-023: ); | L-025: /// Picks the best matching media type from Accept header using:,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-003,3,857e5e341cc5e3484c02bf3bd7f3a64b80c11de1,857e5e341c,1723.797,835.191,605.0,115.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.","L-195: candidate | L-015: ""application/json"", | L-016: ""application/*"", | L-014: ""application/vnd.marvin.author.friendly+json"",",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-004,4,7b3a3d2ac41295807cbde0ab21242e94164fcfbe,7b3a3d2ac4,1729.98,1288.722,496.0,168.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.","L-195: candidate | L-032: StringValues acceptHeader, | L-033: out NegotiationResult? result) | L-031: public static bool TrySelect(",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-005,5,80f9d68e3ebc015e799479933b61320c761a8ea7,80f9d68e3e,1680.594,1481.346,625.0,128.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.",L-195: candidate | L-038: { | L-039: // choose your default representation here | L-037: if (StringValues.IsNullOrEmpty(acceptHeader)),candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-006,6,c7c9a9fa1563cfb7a5b1ad014969fb731727eb80,c7c9a9fa15,1692.906,1633.314,561.0,86.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.","L-195: candidate | L-043: } | L-044: if (!MediaTypeHeaderValue.TryParseList(acceptHeader, out var parsedList)) | L-042: return true;",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-007,7,81e8a6d18bebf72a2ef78d3a99e39827d0dc3b7d,81e8a6d18b,1638.46,1748.2,606.0,191.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.","L-195: candidate | L-048: // Build candidates from Accept values | L-049: var candidates = parsedList | L-050: .Select((mt, index) => new Candidate(mt, index))",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-008,8,08253e3b616b6071a7c75fdd99295fda8a645ad7,08253e3b61,1691.785,1972.406,457.0,311.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.","L-195: candidate | L-196: matches | L-058: // - exact match in SupportedByPreference | L-057: // For each Accept candidate, find best supported match based on:",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-009,9,8eac95711c4f10609dbbda76f57451793b815ff5,8eac95711c,2448.033,1934.053,471.0,311.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.","L-195: candidate | L-196: matches | L-001: !!! | L-057: // For each Accept candidate, find best supported match based on:",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-010,10,ff861a3a69ad0e7b4de2aab2af20928b1730e41d,ff861a3a69,3589.762,1829.584,896.0,445.0,0.0,1,R02,tryselect-parsing-candidates-and-matching,P01-R01-R02,"TrySelect flow: missing Accept fallback, parsing, invalid syntax, q=0 filtering, candidate list and supported match creation.",L-195: candidate | L-001: !!! | L-196: matches | L-194: negotiationresult biuldresult,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,tryselect-parsing-candidates-and-matching,yes
S-011,11,27dadd6791078f45898873a03b9d5a14bb04f459,27dadd6791,3618.797,2299.057,669.0,472.0,0.0,1,R02,tryselect-parsing-candidates-and-matching,P01-R01-R02,"TrySelect flow: missing Accept fallback, parsing, invalid syntax, q=0 filtering, candidate list and supported match creation.",L-001: !!! | L-195: candidate | L-196: matches | L-194: negotiationresult biuldresult,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,tryselect-parsing-candidates-and-matching,yes
