id,text,x,y,transform
T-001,symmetric/ assymetric keys,0,97.49733333333342,
T-002,KID,0,95.038342447804,
T-003,"END TO END JWT, REFRESH",0,87.42874142020095,
T-004,REACT,0,211.47633140345997,
T-005,react implementation,0,169.99093495396428,
T-006,if there is an existing promise,0,17.619999999999997,
T-007,we just return it,0,42.62,
T-008,react query with singletone query client,0,135.08670251464855,
T-010,// src/auth/tokenCache.ts,0,17.619999999999997,
T-011,"import { queryClient, TOKEN_KEY } from ""../queryClient"";",0,42.62,
T-013,export function getAccessToken(): string | null {,0,92.62,
T-014,return (queryClient.getQueryData(TOKEN_KEY) as string | null) ?? null;,0,117.62,
T-015,},0,142.62,
T-017,export function setAccessToken(token: string | null) {,0,192.62,
T-018,"queryClient.setQueryData(TOKEN_KEY, token);",0,217.62,
T-019,},0,242.62,
T-020,// src/auth/refresh.ts,0,17.619999999999997,
T-021,"import { setAccessToken } from ""./tokenCache"";",0,42.62,
T-023,export async function refreshAccessToken(): Promise<string> {,0,92.62,
T-024,"const res = await fetch(""/api/auth/refresh"", {",0,117.62,
T-025,"method: ""POST"",",0,142.62,
T-026,"credentials: ""include"", // sends refresh cookie",0,167.62,
T-027,});,0,192.62,
T-029,"if (!res.ok) throw new Error(""Refresh failed"");",0,242.62,
T-031,const data = (await res.json()) as { accessToken: string };,0,292.62,
T-032,setAccessToken(data.accessToken); // <-- update React Query cache,0,317.62,
T-033,return data.accessToken;,0,342.62,
T-034,},0,367.62,
T-035,// src/api/fetchWithAuth.ts,0,17.619999999999997,
T-036,"import { getAccessToken, setAccessToken } from ""../auth/tokenCache"";",0,42.62,
T-037,"import { refreshAccessToken } from ""../auth/refresh"";",0,67.62,
T-039,let refreshPromise: Promise<string> | null = null;,0,117.62,
T-041,async function refreshOnce(): Promise<string> {,0,167.62,
T-042,if (!refreshPromise) {,0,192.62,
T-043,refreshPromise = refreshAccessToken().finally(() => {,0,217.62,
T-044,refreshPromise = null;,0,242.62,
T-045,});,0,267.62,
T-046,},0,292.62,
T-047,return refreshPromise;,0,317.62,
T-048,},0,342.62,
T-050,"export async function fetchWithAuth(input: RequestInfo, init: RequestInit = {}) {",0,392.62,
T-051,const headers = new Headers(init.headers);,0,417.62,
T-053,const token = getAccessToken(); // <-- read from React Query cache,0,467.62,
T-054,"if (token) headers.set(""Authorization"", `Bearer ${token}`);",0,492.62,
T-056,const doReq = () =>,0,542.62,
T-057,"fetch(input, { ...init, headers, credentials: ""include"" });",0,567.62,
T-059,let res = await doReq();,0,617.62,
T-060,if (res.status !== 401) return res;,0,642.62,
T-062,// 401 -> refresh -> retry once,0,692.62,
T-063,try {,0,717.62,
T-064,const fresh = await refreshOnce();,0,742.62,
T-065,"headers.set(""Authorization"", `Bearer ${fresh}`);",0,767.62,
T-066,res = await doReq();,0,792.62,
T-067,return res;,0,817.62,
T-068,} catch {,0,842.62,
T-069,// Refresh failed: clear token so UI switches to login,0,867.62,
T-070,setAccessToken(null);,0,892.62,
T-071,return res; // still 401,0,917.62,
T-072,},0,942.62,
T-073,},0,967.62,
T-074,// src/auth/login.ts,0,17.619999999999997,
T-075,"import { setAccessToken } from ""./tokenCache"";",0,42.62,
T-077,"export async function login(username: string, password: string) {",0,92.62,
T-078,"const res = await fetch(""/api/auth/login"", {",0,117.62,
T-079,"method: ""POST"",",0,142.62,
T-080,"credentials: ""include"",",0,167.62,
T-081,"headers: { ""Content-Type"": ""application/json"" },",0,192.62,
T-082,"body: JSON.stringify({ username, password }),",0,217.62,
T-083,});,0,242.62,
T-085,if (!res.ok) throw new Error(await res.text());,0,292.62,
T-087,const data = (await res.json()) as { accessToken: string };,0,342.62,
T-088,setAccessToken(data.accessToken); // updates cache -> UI re-renders,0,367.62,
T-089,},0,392.62,
T-090,// src/auth/logout.ts,0,17.619999999999997,
T-091,"import { setAccessToken } from ""./tokenCache"";",0,42.62,
T-092,"import { queryClient } from ""../queryClient"";",0,67.62,
T-094,export async function logout() {,0,117.62,
T-095,"await fetch(""/api/auth/logout"", { method: ""POST"", credentials: ""include"" });",0,142.62,
T-096,setAccessToken(null);,0,167.62,
T-097,queryClient.clear(); // optional: clear all cached server data,0,192.62,
T-098,},0,217.62,
T-099,jwt auth and token descriptor,0,105.3283966471353,
T-100,!,0,17.619999999999997,
T-101,jwtsecuritytoken,0,130.38799999999998,
T-102,jwt token handler,0,144.48400000000004,
T-103,jwt headers,0,98.28043249511728,
T-104,jwt headers vs payload/claims vs signature,0,95.48358319963573,
T-105,we should refresh if,0,17.619999999999997,
T-106,there is no token or,0,42.62,
T-107,if there is some problem,0,67.62,
T-108,(401),0,92.62,
T-109,example flows with redis,0,74.00399999999871,
T-110,why revoke the whole familiy,0,87.16026666666686,
T-111,what does the use of an old token tells us,0,50.82392067057284,
T-112,setnx,0,66.05239922626237,
T-113,refresh tokens strategies,0,155.7085945841472,
T-114,token family,0,376.6345233357748,
T-115,redis,0,597.5604520874025,
T-116,how can theft happen,0,54.03467562866213,
T-117,and only of the old token?,0,130.7013550109864,
T-118,rotation pattern,0,68.22103115609973,
T-119,flow,0,165.01591077599153,
T-120,refresh token family,0,136.0264,
T-121,!!!!,0,149.85388427734364,
T-122,!!!,0,108.98297889539937,
T-123,mb make sense to,0,17.619999999999997,
T-124,check if token was revoked,0,42.62,
T-125,and store revoked tokens,0,67.62,
T-126,there(or at least not too old,0,92.62,
T-127,revoked tokens),0,117.62,
T-128,return issuccesss,0,17.619999999999997,
T-129,the value to store,0,17.619999999999997,
