source_id,decision,region,subregion,reason
S-008,processed-in-aem02-v001,AEM02,AEM02A,Endpoint metadata overview
S-009,processed-in-aem02-v001,AEM02,AEM02A,Endpoint metadata lookup by type
S-010,processed-in-aem02-v001,AEM02,AEM02A,Endpoint metadata can include MVC action-related data
S-011,processed-in-aem02-v001,AEM02,AEM02B,Minimal API endpoint metadata
S-012,processed-in-aem02-v001,AEM02,AEM02B,Endpoint.Metadata as a unified metadata bag
S-013,processed-in-aem02-v001,AEM02,AEM02B,Endpoint metadata versus action descriptor metadata
S-014,processed-in-aem02-v001,AEM02,AEM02B,Reading endpoint metadata in middleware
S-015,processed-in-aem02-v001,AEM02,AEM02B,Metadata added by attributes and conventions
S-016,processed-in-aem02-v001,AEM02,AEM02B,Endpoint metadata practical uses
S-026,processed-in-aem02-v001,AEM02,AEM02C,IApiEndpointMetadata overview
S-027,processed-in-aem02-v001,AEM02,AEM02C,IApiEndpointMetadata in endpoint metadata collection
S-028,processed-in-aem02-v001,AEM02,AEM02C,API metadata produced by minimal APIs/MVC
S-029,processed-in-aem02-v001,AEM02,AEM02C,Endpoint metadata and API Explorer/OpenAPI
S-030,processed-in-aem02-v001,AEM02,AEM02C,Minimal APIs rely more directly on endpoint metadata
S-031,processed-in-aem02-v001,AEM02,AEM02C,MVC endpoint metadata can bridge to MVC concepts
S-032,processed-in-aem03-v001,AEM03,AEM03A,Ordered metadata overview
S-033,processed-in-aem03-v001,AEM03,AEM03A,GetMetadata returns last/highest-priority metadata
S-034,processed-in-aem03-v001,AEM03,AEM03A,GetOrderedMetadata returns all relevant metadata in order
S-035,processed-in-aem03-v001,AEM03,AEM03B,Order matters for auth/CORS/custom metadata
S-036,processed-in-aem03-v001,AEM03,AEM03B,Practical ordered metadata mental model
