text_id,text,x,y,font_size,sha256,region_id,node_kind,coverage_status,assignment_count
T-001,REQUEST CACHE CONTROL,604.3772508187558,115.65816789165282,119.92981599506562px,778a93f8f1e8bf2623aba3ba0b812f86063457015565d4b6a0d6670aa17354b5,R01,semantic,processed-semantic-transcript,1
T-002,directives,12688.548961937573,216.9080498707094,64.79999999999997px,c032d87b14925f326903c890af27ecce48a1a8a8d1a5cede07ec2eeb7f020676,R05,semantic,processed-semantic-transcript,1
T-003,SOME CACHE CONTROL - ETAG FLOWS,6543.735118240775,252.1331629644595,153.33337402343747px,337b7e27ddaeb5cf03a903c7e0d292d6c1563b5135a430ca1d5ec820fae20494,R03,semantic,processed-semantic-transcript,1
T-004,some useful flows for clarification,14269.591122692356,276.9744123910496,47.73330078124998px,ad3693c522e820cc2122d624cd3fad562e657c38ed2ca877fb34adc899fcd9c6,R07,semantic,processed-semantic-transcript,1
T-005,PUBLIC/PRIVATE CACHES,2821.1737388044003,365.7741588322587,174.66668701171872px,c59e214610cf26fbbee79868f7364651b7e81d7c885f84e644311c5a2d992ee5,R04,semantic,processed-semantic-transcript,1
T-006,NO CACHE CONTROL,7715.713948741156,521.0240508468055,63.42857142857138px,ee9d40fc38677147adf01415364c19f0a02db7b6720c0780d02ea69383cf7a8f,R02,semantic,processed-semantic-transcript,1
T-007,etag + no cache,6414.074022477073,537.0632000669552,67.66667175292966px,5952dc827606d67977d49c6e45749b595edc19dba758127971699a7ab1fd265c,R03,semantic,processed-semantic-transcript,1
T-008,BUT WITH ETAG/LASTMOD,7715.713948741156,600.3097651325197,63.42857142857138px,1fac2989c234f657f6e55496e51686bd1c534290fdebba40a1ca9f9cfac22631,R03,semantic,processed-semantic-transcript,1
T-009,for just etag revalidation,6414.074022477073,621.6465397581173,67.66667175292966px,f10080bdb71e852310196a177c1caab07e8d036eae1968e040c54a48503d3ffa,R03,semantic,processed-semantic-transcript,1
T-010,how does the browser dicides when,9178.986918895538,625.243595331195,46.25641025640992px,8dd2062be9e87f1da423898d69ff7af3f10bfc042037b9ce1e79962910825619,R02,semantic,processed-semantic-transcript,1
T-011,output cache can be,2777.859252151149,676.0770411641395,59.61876860119141px,adaafc99d5667267c4b5be1c54803d3b003f294c18e370ca335e4c2d0716736b,R06,semantic,processed-semantic-transcript,1
T-012,it needs to revalidate/cache lifetime,9178.986918895538,683.0641081517074,46.25641025640992px,2fadebf22c9a5fd8f182595f6d24a4dbb124fd998f0fb55307249db9609aebe6,R02,semantic,processed-semantic-transcript,1
T-013,output cache,3863.919932193763,716.0770134208867,59.61876860119141px,d132460a0ce02335f854741566ae8c05a5dc22cee6d7f659e75397359d45d0a3,R06,semantic,processed-semantic-transcript,1
T-014,when we havent setage or no cache (gandon),9178.986918895538,740.8846209722199,46.25641025640992px,4dbc2ab3f7c9d548779686f0359b367e392056a3d8b28191838378e953b5f309,R02,semantic,processed-semantic-transcript,1
