source_id,image_use_id,symbol_id,sha256,sha1,x,y,width,height,pixel_width,pixel_height,region_id,restored,coverage_status,assignment_count,asset_path,description,nearest_text_nodes_hint_only
S-001,IU-001,image-6cb60d9180e1ed6e04f690946331ab68d5f5c6f8,2d4613f7e7ff6d83137ec8969db89428c8f6350cd3f44cac4358e4ed69e26874,0895e475125d552854e801d9f7e32ed8b49eba5b,10.0,278.72333799866374,869.0,482.0,906,503,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-001__2d4613f7e7.png,Browser-generated request Cache-Control max-age=0 versus application-generated request headers.,"[{""text_id"": ""T-001"", ""text"": ""REQUEST CACHE CONTROL""}, {""text_id"": ""T-017"", ""text"": ""REQUEST AND RESPONSE CACHE CONTROL""}, {""text_id"": ""T-018"", ""text"": ""APPLYING TO CACHE ENTRY""}, {""text_id"": ""T-019"", ""text"": ""COMBINATION""}, {""text_id"": ""T-020"", ""text"": ""OVERRIDING,MERGING""}]"
S-002,IU-002,image-2b5802638012dd43ec87d3b9ec5be53948da680a,fc01d79549049302a21573b073bc9b216a7e106a724ed8d69e0aaa26af963c8f,de2df479706943f5efa23f850ed949083f3b8031,986.3398886471241,282.17700721758774,960.0,461.0,960,461,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-002__fc01d79549.png,"Client request directives: max-age, max-stale, min-fresh, no-cache, no-store, and only-if-cached.","[{""text_id"": ""T-017"", ""text"": ""REQUEST AND RESPONSE CACHE CONTROL""}, {""text_id"": ""T-018"", ""text"": ""APPLYING TO CACHE ENTRY""}, {""text_id"": ""T-019"", ""text"": ""COMBINATION""}, {""text_id"": ""T-020"", ""text"": ""OVERRIDING,MERGING""}, {""text_id"": ""T-001"", ""text"": ""REQUEST CACHE CONTROL""}]"
S-003,IU-003,image-0a0147ced3ed0e25941eaeb3a0c6a841bf47b356,9f0511a395d5233bf7bc9069dd72aeb61fdfe2e9902fa11d3baceac958a9a892,b28d342437952a311ea38724fa5704bd64e0335c,12495.481664765653,353.65328556493205,925.0,373.0,925,373,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-003__9f0511a395.png,Overview of Cache-Control on requests and responses across private and shared caches.,"[{""text_id"": ""T-002"", ""text"": ""directives""}, {""text_id"": ""T-004"", ""text"": ""some useful flows for clarification""}, {""text_id"": ""T-010"", ""text"": ""how does the browser dicides when""}, {""text_id"": ""T-012"", ""text"": ""it needs to revalidate/cache lifetime""}, {""text_id"": ""T-014"", ""text"": ""when we havent setage or no cache (gandon)""}]"
S-004,IU-004,image-d87cdacdb96132f89c6c3f721cadd81ca0efae21,94e193f6f0fd62f04d3c43413737196c69603baed07b0618c21ca3b85a6bb12f,cd2eb691d7dd9343b08ea87f7f2612ee0b13ea23,14258.400157681932,391.95099306322936,795.0,482.0,826,501,R02,True,processed-semantic-transcript,1,assets/source-images-v001/S-004__94e193f6f0.png,"Freshness flow for public max-age=60 across first, fresh, and stale requests.","[{""text_id"": ""T-004"", ""text"": ""some useful flows for clarification""}, {""text_id"": ""T-002"", ""text"": ""directives""}, {""text_id"": ""T-010"", ""text"": ""how does the browser dicides when""}, {""text_id"": ""T-012"", ""text"": ""it needs to revalidate/cache lifetime""}, {""text_id"": ""T-014"", ""text"": ""when we havent setage or no cache (gandon)""}]"
S-005,IU-005,image-70add8d785c0fa89043bd86e33170496e4916cd1,395590526c55662db468d23c40ef786671fce6c0c772cbce7dde5ffea0da8deb,9544119e1f3db3c6f795885b5c3dcbf5d67828e6,7717.7647738785545,690.4766468092284,795.0,482.0,997,605,R03,True,processed-semantic-transcript,1,assets/source-images-v001/S-005__395590526c.png,ETag or Last-Modified without explicit Cache-Control may still permit heuristic storage and later validation.,"[{""text_id"": ""T-008"", ""text"": ""BUT WITH ETAG/LASTMOD""}, {""text_id"": ""T-022"", ""text"": ""NO ETAG""}, {""text_id"": ""T-006"", ""text"": ""NO CACHE CONTROL""}, {""text_id"": ""T-023"", ""text"": ""WITH CACHE CONTROL""}, {""text_id"": ""T-026"", ""text"": ""ETAG AND CACHE CONTROL""}]"
S-006,IU-006,image-254a64fdc304ed29f956e98b4c027751e10a1375,f4b75da0d363bd74501ebb0b1e33dd5652cdc60287ac78d2de7f5b7a97a1b377,8631419a00da4ebd81db494ef7bed5d0e9fc5d05,6442.02318817949,732.5545089417365,627.0,168.0,627,168,R03,True,processed-semantic-transcript,1,assets/source-images-v001/S-006__f4b75da0d3.png,Always-revalidate pattern: validator plus Cache-Control no-cache.,"[{""text_id"": ""T-009"", ""text"": ""for just etag revalidation""}, {""text_id"": ""T-007"", ""text"": ""etag + no cache""}, {""text_id"": ""T-003"", ""text"": ""SOME CACHE CONTROL - ETAG FLOWS""}, {""text_id"": ""T-008"", ""text"": ""BUT WITH ETAG/LASTMOD""}, {""text_id"": ""T-022"", ""text"": ""NO ETAG""}]"
S-007,IU-007,image-6794b5b7a7050d4f1cc0c287d503eb91f09157c6,4377b7cac1370799b4da6f9f0fa852af0840514f05e72443d7c5adb5a0062cab,75e7efb7ee518c152b3d31313bfc8954d1d04948,9136.431562225283,778.2295080843769,978.0,468.0,978,468,R02,True,processed-semantic-transcript,1,assets/source-images-v001/S-007__4377b7cac1.png,Browser heuristic decisions when validators exist but explicit freshness does not.,"[{""text_id"": ""T-014"", ""text"": ""when we havent setage or no cache (gandon)""}, {""text_id"": ""T-012"", ""text"": ""it needs to revalidate/cache lifetime""}, {""text_id"": ""T-010"", ""text"": ""how does the browser dicides when""}, {""text_id"": ""T-008"", ""text"": ""BUT WITH ETAG/LASTMOD""}, {""text_id"": ""T-006"", ""text"": ""NO CACHE CONTROL""}]"
S-008,IU-008,image-b25bed1de2add6acad629821cc8baf7b9e5aad0e,5e4956c7fed264b1706b965ccb1f8720fba04df806ddbe7daf30ef740978e2b3,4af57828f1f135a0949f7fd7d0cc85b4904cb6ac,12505.959783777547,778.997035564932,812.0,482.0,1039,617,R04,True,processed-semantic-transcript,1,assets/source-images-v001/S-008__5e4956c7fe.png,no-store as the primary directive for sensitive data.,"[{""text_id"": ""T-002"", ""text"": ""directives""}, {""text_id"": ""T-004"", ""text"": ""some useful flows for clarification""}, {""text_id"": ""T-014"", ""text"": ""when we havent setage or no cache (gandon)""}, {""text_id"": ""T-012"", ""text"": ""it needs to revalidate/cache lifetime""}, {""text_id"": ""T-010"", ""text"": ""how does the browser dicides when""}]"
S-009,IU-009,image-64b121b3447dc5c1330e8908b7e0c296d7922c4b,79af126eef6d231932abecf1aeea56b98ab92a5eef2c58d97ca0a21c7c7d3ad3,12d439aa82b187f62e3f6fd75256f86338d8f8b9,3713.691922726497,807.8632301506923,909.0,379.0,909,379,R06,True,processed-semantic-transcript,1,assets/source-images-v001/S-009__79af126eef.png,Output Cache described as server-side shared caching whose key and policies must prevent personalized leaks.,"[{""text_id"": ""T-013"", ""text"": ""output cache""}, {""text_id"": ""T-024"", ""text"": ""browser cache""}, {""text_id"": ""T-015"", ""text"": ""GUIDANCE""}, {""text_id"": ""T-027"", ""text"": ""shared proxy/cdn/resp cache middleware""}, {""text_id"": ""T-016"", ""text"": ""private, but""}]"
S-010,IU-010,image-01a9816e060948dd947459b2b611c6c8ee30359d,e9dac0146f59f966762c5f832330787e8414863eaaaf90d119ec45ab5ae8d4e1,4e30c24088781ccf4dc7aed159657ae138b56620,2721.7171741602124,823.9846901116371,824.0,482.0,938,549,R06,True,processed-semantic-transcript,1,assets/source-images-v001/S-010__e9dac0146f.png,Nuance that Output Cache is shared server-side caching even though policies can vary by dimensions.,"[{""text_id"": ""T-016"", ""text"": ""private, but""}, {""text_id"": ""T-021"", ""text"": ""!!!""}, {""text_id"": ""T-011"", ""text"": ""output cache can be""}, {""text_id"": ""T-005"", ""text"": ""PUBLIC/PRIVATE CACHES""}, {""text_id"": ""T-024"", ""text"": ""browser cache""}]"
