label_id,text,x,y,font_size,candidate_region,status,notes
T-001,so when i have multiple migrations that wasnt,898.841208695701,1925.8973349289936,36.80807587594709px,R01,pending-transcript,
T-002,applied or i have some strange changes that wasnt applied,898.841208695701,1925.8973349289936,36.80807587594709px,R01,pending-transcript,
T-003,"there and here, everything will be ok unless i delete some interm migration",898.841208695701,1925.8973349289936,36.80807587594709px,R01,pending-transcript,
T-004,"it creates sql, not migration",2011.1204458349553,4167.158406499378,20px,R02,pending-transcript,
T-005,script doesnt create migration,2011.1204458349553,4167.158406499378,20px,R02,pending-transcript,
T-006,it creates sql,2011.1204458349553,4167.158406499378,20px,R02,pending-transcript,
T-007,applying migrations,2421.2315299638576,10.0,85.90475027901807px,R01,pending-transcript,
T-008,from code,2421.2315299638576,10.0,85.90475027901807px,R01,pending-transcript,
T-009,Add migration,2345.993405661402,1283.3333478655154,85.90475027901807px,R01,pending-transcript,
T-010,Migration bundles,2276.0632674402477,5134.895082436284,85.90475027901807px,R02,pending-transcript,
T-011,dotnet-counters,2390.7297713464977,7754.006176593186,85.90475027901807px,R03,pending-transcript,
T-012,queries count,2364.0631786618387,9114.006176593186,85.90475027901807px,R03,pending-transcript,
T-013,query cache hit rate,2417.3964750041687,9522.491034325787,85.90475027901807px,R03,pending-transcript,
T-014,optim concur failures,2385.8812495070097,10402.491034325787,85.90475027901807px,R03,pending-transcript,
T-015,pid,1709.517613143373,7934.612283438,85.90475027901807px,R03,pending-transcript,
T-016,principle of work,1356.0631148523573,5106.561723671635,85.90475027901807px,R02,pending-transcript,
T-017,bundlee flow,101.24839045999624,5124.339501449414,85.90475027901807px,R02,pending-transcript,
T-018,Apply migrations,2399.3267099303753,1975.714329310827,85.90475027901807px,R01,pending-transcript,
T-019,Remove last migration,2403.136175611179,2498.6905615670353,85.90475027901807px,R01,pending-transcript,
T-020,list migrations,2393.8028015877417,2917.357187543598,85.90475027901807px,R01,pending-transcript,
T-021,migration scripts(sql),2367.3265820471906,3419.6640577770427,85.90475027901807px,R02,pending-transcript,
T-022,Idempotent migr scripts,2329.335665472717,4430.716495211163,85.90475027901807px,R02,pending-transcript,
T-023,checking history,2329.335665472717,4430.716495211163,85.90475027901807px,R02,pending-transcript,
T-024,Maybe you dont need,1277.3906281593627,17.834792171977824,85.90475027901807px,R01,pending-transcript,
T-025,to run migrations in your,1277.3906281593627,17.834792171977824,85.90475027901807px,R01,pending-transcript,
T-026,code,1277.3906281593627,17.834792171977824,85.90475027901807px,R01,pending-transcript,
T-027,!!!,1189.2576687373062,2400.789951864046,63.921587775735304px,R01,pending-transcript,
