item_type,item_id,secondary_id,sha256,region_id,status,previously_present,restored,assignment_count,evidence
image_use,S-001,IU-001,ae6f16568a448324befe4e35214039363ddb098c31d42f4924b680211da8e0db,R01,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R01: Applying migrations from code and production safety
image_use,S-002,IU-002,40bd9ca5a36e0f5990c93040e17c39b1b6cc7136455bda8dee2b371eace231e2,R01,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R01: Applying migrations from code and production safety
image_use,S-003,IU-003,37640af419a7e47f593321a2af93f6a20b34a49f198be496838658754a9a8c04,R01,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R01: Applying migrations from code and production safety
image_use,S-004,IU-004,c81e2dfdb2a382c8350ac7cc6766e30c3d78241056de92a6205541733039e91e,R01,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R01: Applying migrations from code and production safety
image_use,S-005,IU-005,6b27249c7d6c34e90a41314a2298d84d5e3219ac50580ac9545eabac1136f4e6,R01,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R01: Applying migrations from code and production safety
image_use,S-006,IU-006,d949b4d93f437dc747346c1a45e9081ff93141538dade0176a001d377ccaec3a,R01,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R01: Applying migrations from code and production safety
image_use,S-007,IU-007,7aeed26b81eff35f465d8618ced3069384fa809a0824057e2239db9435f68f8a,R02,processed-semantic-transcript,False,True,1,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
image_use,S-008,IU-008,0998501ea99aec01c164ab57f34dee4d460d64d8ce4be779ee353e2a8eeac6ca,R02,processed-semantic-transcript,False,True,1,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
image_use,S-009,IU-009,5181f72c4d23fe1dc31eaddff24ea4eae3f1c5e7b77ac65e878f0a26577141f8,R02,processed-semantic-transcript,False,True,1,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
image_use,S-010,IU-010,a47ba4225d914c32a8cd727b09442e94864ca81f5a22713bd943fe947b433c0f,R02,processed-semantic-transcript,False,True,1,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
image_use,S-011,IU-011,c78f51281a1db865cf386a51188fa6ba3c5729f3e5d76d8283c6253ce8f4dfb6,R02,processed-semantic-transcript,False,True,1,"Visually reviewed and assigned to R02: EF migration CLI workflow: add, update, remove, and list"
image_use,S-012,IU-012,b99b9b73e6ce79a15d5272dce1939d5b150e145653c6863071af43704d63c6ac,R03,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R03: SQL migration scripts and idempotent deployment
image_use,S-013,IU-013,47fb9e73e730d5df44771e7a4d583632c918eb4da8b94bc146d7aea96eda1f92,R03,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R03: SQL migration scripts and idempotent deployment
image_use,S-014,IU-014,cce73b9f1845e56f1fb49ade6044e949841e5ea36f5fcc8c7ff6007997b9ba11,R03,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R03: SQL migration scripts and idempotent deployment
image_use,S-015,IU-015,7b517b440b95ee7fc52133a8bb31674a1bc800174b23b7dc226cee4cf796f85f,R03,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R03: SQL migration scripts and idempotent deployment
image_use,S-016,IU-016,f6b499eecf2b53d96b470cebec260e74109ecea4e8e32fc3602e526415e2038a,R03,processed-semantic-transcript,False,True,1,Visually reviewed and assigned to R03: SQL migration scripts and idempotent deployment
