label_id,text,candidate_region,final_region,status,transcript_file,open_issue
T-001,so when i have multiple migrations that wasnt,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-002,applied or i have some strange changes that wasnt applied,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-003,"there and here, everything will be ok unless i delete some interm migration",R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-007,applying migrations,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-008,from code,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-009,Add migration,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-018,Apply migrations,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-019,Remove last migration,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-020,list migrations,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-024,Maybe you dont need,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-025,to run migrations in your,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-026,code,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-027,!!!,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-004,"it creates sql, not migration",R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-005,script doesnt create migration,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-006,it creates sql,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-010,Migration bundles,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-016,principle of work,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-017,bundlee flow,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-021,migration scripts(sql),R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-022,Idempotent migr scripts,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-023,checking history,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-011,dotnet-counters,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-012,queries count,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-013,query cache hit rate,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-014,optim concur failures,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-015,pid,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
