label_id,text,x,y,font_size,region,status,transcript_status
T-001,server threads,12764.919475,293.094756,321.333435,R02,reviewed,closed
T-002,browser threads,8004.132821,661.286846,353.333191,R01,reviewed,closed
T-003,i/o completion/runtime managed infra,14753.74535,668.039513,122.564115,R02,reviewed,closed
T-004,everything by default,5902.614884,883.045396,94.119657,R01,reviewed,closed
T-005,main thread,7068.069263,970.731099,122.564115,R01,reviewed,closed
T-006,on main thread,5902.614884,1000.694968,94.119657,R01,reviewed,closed
T-007,worker threads,12070.735767,1117.397725,122.564115,R02,reviewed,closed
T-008,browser internal threads,10182.735767,1144.064473,122.564115,R01,reviewed,closed
T-009,background threads,14847.078683,1747.01384,122.564115,R02,reviewed,closed
T-010,visible failure ex,13554.857105,1878.125036,122.564115,R02,reviewed,closed
T-011,web workers,7215.948014,2019.215956,122.564115,R01,reviewed,closed
T-012,web workers,5944.836835,2551.067831,122.564115,R01,reviewed,closed
T-013,methods,3481.561302,2723.976197,119.555583,R01,reviewed,closed
T-014,what are they good/bad,4832.640866,2755.799809,78.222239,R01,reviewed,closed
T-015,for,4832.640866,2853.577608,78.222239,R01,reviewed,closed
T-016,memory idea server vs browser,10477.564949,2865.048131,181.777778,R03,reviewed,closed
T-017,"heap,shared bs local, gc pauses",10477.564949,3092.270353,181.777778,R03,reviewed,closed
T-018,object,4402.417771,3238.391763,20.0,R01,reviewed,closed
T-019,not args,4402.417771,3263.391763,20.0,R01,reviewed,closed
T-020,stackoverflow,10477.564949,3319.492575,181.777778,R03,reviewed,closed
T-021,server stackoverflow,12785.588743,3566.852751,136.148112,R03,reviewed,closed
T-022,extra cpu + memory ,2231.168609,3642.149793,42.09525,R01,reviewed,closed
T-023,best pattern - ,111.530229,4048.563647,51.030303,R01,reviewed,closed
T-024,react stackoverflow ,8825.358328,4091.148242,57.818182,R03,reviewed,closed
T-025,use onerror for unexpected errors,111.530229,4112.351526,51.030303,R01,reviewed,closed
T-026,examples,4995.565249,4125.976996,169.333398,R01,reviewed,closed
T-027,react stackoverflow,9722.148579,4148.824131,121.925944,R03,reviewed,closed
T-028,exception,8825.358328,4163.42097,57.818182,R03,reviewed,closed
T-029,onerror,1576.984775,4168.700343,134.424228,R01,reviewed,closed
T-030,(as usually),111.530229,4176.139405,51.030303,R01,reviewed,closed
T-031,process termination,12921.407799,4383.163832,110.666626,R03,reviewed,closed
T-032,worker.onerror on main,1433.913536,4674.757359,71.9111,R01,reviewed,closed
T-033,so the heap problems ,11416.79627,4775.178661,59.466671,R03,reviewed,closed
T-034,principle is the ,11416.79627,4849.512001,59.466671,R03,reviewed,closed
T-035,same,11416.79627,4923.84534,59.466671,R03,reviewed,closed
T-036,gc pauses create latency,11416.79627,5072.512018,59.466671,R03,reviewed,closed
T-037,need to closse workers,3209.206955,5435.760863,113.86665,R01,reviewed,closed
T-038,self.onerror inside worker,1421.792397,5867.484631,71.9111,R01,reviewed,closed
T-039,runtime,13442.049829,6319.75168,236.893044,R05,reviewed,closed
T-040,"import meta url, es ",3875.873826,6500.214359,300.533154,R04,reviewed,closed
T-041,runtime vs ,13442.049829,6615.867985,236.893044,R05,reviewed,closed
T-042,"compiler,sdk",13442.049829,6911.98429,236.893044,R05,reviewed,closed
T-043,!!!,13889.170625,7457.187087,70.666656,R05,reviewed,closed
T-044,!!!,13896.17942,7741.783972,98.431382,R05,reviewed,closed
