source_id,image_use,symbol_id,asset_sha1,region,x,y,width,height,center_x,center_y,mime,pixel_width,pixel_height,status,transcript_status
S-001,U-001,image-b1add917c9f5ed987f81322964554f8b8ff0386c,659b0d63db42627fb4716e4d694b48703fa5ed45,R02,15030.689436,776.493707,882.0,482.0,15471.689436,1017.493707,image/png,1033,565,reviewed,closed
S-002,U-002,image-2f7fa0e80c6881858d9981f779f1f176a3d18b75,2bfdef099f5d5f97faaaf9eddb982d43be3bd2e8,R01,7157.44573,1087.923255,990.0,211.0,7652.44573,1193.423255,image/png,990,211,reviewed,closed
S-003,U-003,image-fa4b6cb2550b9c388107d36fa1e2341a0df5f713,2852cef8fb0d3d1c5b9b9fae0b2e93fb5c7e9a3b,R01,5899.18303,1081.145853,1016.0,262.0,6407.18303,1212.145853,image/png,1016,262,reviewed,closed
S-004,U-004,image-b08f9f233c0e7141d4db10cefae342d2fdc9733e,9d0c15fb7c0afe08a8ebf6d7767f11d195446327,R01,10132.53847,1244.756622,1025.0,324.0,10645.03847,1406.756622,image/png,1025,324,reviewed,closed
S-005,U-005,image-27e61c76adc26f2150ffd10fa583d808afe37fc7,ba97292e7a674dd6c249c72e64ede4a96e0cc410,R01,8668.380369,1209.461997,973.0,435.0,9154.880369,1426.961997,image/png,973,435,reviewed,closed
S-006,U-006,image-adb14ec386644fd7131bd6e992d0d6059be1d55c,3b4b416392753b547cbba664c4d8cf8c45345411,R02,14997.822247,1280.501628,992.0,338.0,15493.822247,1449.501628,image/png,992,338,reviewed,closed
S-007,U-007,image-d006b56df444e04a98253a3a5d1ecaa322270c7b,e4f01105740009e6e6aac300c2c86524aa6e8e07,R02,12074.820625,1236.864072,874.0,482.0,12511.820625,1477.864072,image/png,1036,572,reviewed,closed
S-008,U-008,image-ba6eba862146785b0e5ac56fcaedc9cdc6b57a27,eb7e864deb600664a22f0d7684e7edb80e85f1b8,R02,13523.813411,1247.975122,811.0,482.0,13929.313411,1488.975122,image/png,1007,599,reviewed,closed
S-009,U-009,image-7e40ad66abb2cbf353171044142b1f43208f6cab,7deefa003019b0d1f8976b0059c36e56060eeeaf,R01,5903.683106,1360.81257,737.0,346.0,6272.183106,1533.81257,image/png,737,346,reviewed,closed
S-010,U-010,image-78891ceb1703f6e7965d8a0121ee605d596a423d,2ef801c94187220ee1b5f91b7f56521e03caa585,R01,7145.019793,1306.015858,1003.0,480.0,7646.519793,1546.015858,image/png,1003,480,reviewed,closed
S-011,U-011,image-982986699bec8e84bb3cba81319bffd83d2dafe6,5a3f87cda0bda567fe557335ea8cd7e8a60425aa,R01,10156.03847,1568.830719,978.0,224.0,10645.03847,1680.830719,image/png,978,224,reviewed,closed
S-012,U-012,image-5e605e24ee321997fe8d8c00fcfee009d1a5475f,607a2b3b5e736c80e593b4b006d46f3d4937e1bd,R01,5864.683106,1735.145853,1035.0,354.0,6382.183106,1912.145853,image/png,1035,354,reviewed,closed
S-013,U-013,image-20b647e9878b19564e380b6fc2dd57eee7a752cb,9827774e7c6cffc69e4dfb2a1745345a63d6b37d,R02,12012.618532,1775.298066,995.0,401.0,12510.118532,1975.798066,image/png,995,401,reviewed,closed
S-014,U-014,image-76843d3275eebdb5d9b3a3eeabed06b403aeea81,a2bb7dae4616a91d968162be998339f7a66ad799,R02,15067.361224,1834.738222,854.0,323.0,15494.361224,1996.238222,image/png,854,323,reviewed,closed
S-015,U-015,image-eeef344964a56632275833e9a42602bd5d702435,129df83770ad56b56427049d25c77c0726e8384c,R02,16848.535467,1935.013648,966.0,482.0,17331.535467,2176.013648,image/png,967,483,reviewed,closed
S-016,U-016,image-a0918a08806920602de3de9d5178d70e2bfaae98,0e81b52e08c083ff378accb1e97b96d977d10a36,R01,7153.337451,2103.256653,979.0,175.0,7642.837451,2190.756653,image/png,979,175,reviewed,closed
S-017,U-017,image-e022d5d971340b00cd389c7c9778248ce6eecbea,1bb76d5e0000107ed337ac5c492cc83b89bf7442,R02,13487.498285,2023.316278,859.0,482.0,13916.998285,2264.316278,image/png,1020,573,reviewed,closed
S-018,U-018,image-e6c0db633722d2736101c6c30d79d182bb51a860,604e18fb3c8b61c0911074673f0a2746527f2e9c,R02,15069.52792,2161.85724,983.0,404.0,15561.02792,2363.85724,image/png,983,404,reviewed,closed
S-019,U-019,image-9ccc29d77b81d47462456840a5867f94c1e6eb15,b16fe2a1e1191ed330ff99ffdb5187c02b9f6a29,R01,7159.028275,2311.081871,900.0,482.0,7609.028275,2552.081871,image/png,1008,540,reviewed,closed
S-020,U-020,image-81e85e7a8711bfbb2bafe4a5c2d53571b6e6b9b8,49aac470a8e1091b2e7a9f730ceb7853e9de7a77,R02,16813.147532,2527.520057,1067.0,205.0,17346.647532,2630.020057,image/png,1067,205,reviewed,closed
S-021,U-021,image-b7dc69502b86cf6146cd2649665f24dc8650189b,088f3650f9ba92007ac1497b29edbc11cdb50173,R01,1167.137031,2633.98464,1959.0,185.0,2146.637031,2726.48464,image/png,592,56,reviewed,closed
S-022,U-022,image-6d7524c5099ba77bf4a3dad464df501668959427,75bd2c47e081b3ccf5d769e8abc22b76e0de7173,R01,3352.087032,2796.629374,859.0,140.0,3781.587032,2866.629374,image/png,399,65,reviewed,closed
S-023,U-023,image-b0898fb1174d166dc0c130cc07996af3e070e11e,1170690bda46f3336701d2225e1750fd1d660a2d,R01,5831.397346,2670.328147,1001.0,445.0,6331.897346,2892.828147,image/png,1001,445,reviewed,closed
S-024,U-024,image-0945995da062f28049b8e39535e66c8c5733aad6,4107e6874db17dedcb1b67e39c2e902166f2bfc5,R03,16807.335388,2748.814227,950.0,332.0,17282.335388,2914.814227,image/png,950,332,reviewed,closed
S-025,U-025,image-538181241b2b986b99cdb4956c7ec4bad3687c1a,a209ad55bb1b8d229f2b499380d8ff47b3a46ed9,R01,3348.010837,2973.082056,1043.0,224.0,3869.510837,3085.082056,image/png,1043,224,reviewed,closed
