label_id,text,x,y,font_size,candidate_region
T-001,PROBLEM DETAILS,6605.785750689485,1251.11078898112,111.99999999999997px,R01
T-002,PROBLEM DETAILS Factory,10045.785750689485,1354.4440714518232,111.99999999999997px,R02
T-003,PROBLEM DETAILS SERVICE,12380.091587868803,1242.1525781484988,111.99999999999997px,R02
T-004,WHAT ISSUES WITHOUT IT,12380.091587868803,1242.1525781484988,111.99999999999997px,R02
T-005,WHEN TO USE,12380.091587868803,1242.1525781484988,111.99999999999997px,R02
T-006,"ADDITON TO PD SERVICE,",16605.786971392612,10.0,229.33333333333346px,R03
T-007,TRYWRITEASYNC,16605.786971392612,10.0,229.33333333333346px,R03
T-008,PROBLEMDETAILS WRITERS,16605.786971392612,10.0,229.33333333333346px,R03
T-009,PROBLEM DETAILS config,481.096352484843,674.443766276042,277.33349609374983px,R01
T-010,ALL TITLE AND DETAILS,5801.496161952378,2323.412412661296,20px,R01
T-011,AND REFERENCES TO,5801.496161952378,2323.412412661296,20px,R01
T-012,A DOCUMENTATION,5801.496161952378,2323.412412661296,20px,R01
T-013,CAN RELATE,5801.496161952378,2323.412412661296,20px,R01
T-014,TO YOUR API AND YOUR API'S DOCUMENTATION,5801.496161952378,2323.412412661296,20px,R01
T-015,NOT JUST SOME DOCS WITH EXPL,5801.496161952378,2323.412412661296,20px,R01
T-016,WHAT IS THIS STATUS CODE,5801.496161952378,2323.412412661296,20px,R01
T-017,!!!!,5607.556620048968,2300.988207228057,126.66663707386334px,R01
T-018,TRACE ID,6094.834267934202,2658.585081635763,56.4444986979168px,R01
T-019,!!!,6039.278737809962,4274.6961842697665,172.88889567057285px,R01
T-020,whats wrong with this implementation?,12911.134350071716,2822.410445209748,20px,R02
T-021,problemdetailsservice will do everything can being done in controller,13882.657859088527,4080.438900147654,20px,R02
T-022,"automatically, so you need to use it everywhere in middlewares,",13882.657859088527,4080.438900147654,20px,R02
T-023,non mvc land,13882.657859088527,4080.438900147654,20px,R02
T-024,BUT WHY PROBLEMDETAILS FACTORY,10118.917966548725,1743.263362944882,20px,R02
T-025,configuring problem details,3945.217074437028,1829.2180317618531,20px,R01
T-026,like that you force xml,4465.973248357509,1750.1020487560077,20px,R01
T-027,on all pd that is produced via,4465.973248357509,1750.1020487560077,20px,R01
T-028,problemdetails frwrks pipeline,4465.973248357509,1750.1020487560077,20px,R01
T-029,auto in controllers or via iproblemdetailsservice,4465.973248357509,1750.1020487560077,20px,R01
T-030,last action (callback) in pipeline,3469.084332341883,2085.213132740382,20px,R01
T-031,before response,3469.084332341883,2085.213132740382,20px,R01
T-032,cookies auth ON REDIRECT,9701.422668134206,3006.116014899444,60.888834635416785px,R02
T-033,probmem details returning,9701.422668134206,3006.116014899444,60.888834635416785px,R02
T-034,using Microsoft.AspNetCore.Mvc;,10861.284111991792,3287.4004429551123,20px,R02
T-035,options.Events.OnRedirectToLogin = async ctx =>,10861.284111991792,3287.4004429551123,20px,R02
T-036,{,10861.284111991792,3287.4004429551123,20px,R02
T-037,"if (!ctx.Request.Path.StartsWithSegments(""/api""))",10861.284111991792,3287.4004429551123,20px,R02
T-038,{,10861.284111991792,3287.4004429551123,20px,R02
T-039,ctx.Response.Redirect(ctx.RedirectUri);,10861.284111991792,3287.4004429551123,20px,R02
T-040,return;,10861.284111991792,3287.4004429551123,20px,R02
T-041,},10861.284111991792,3287.4004429551123,20px,R02
T-042,ctx.Response.StatusCode = StatusCodes.Status401Unauthorized;,10861.284111991792,3287.4004429551123,20px,R02
T-043,var http = ctx.HttpContext;,10861.284111991792,3287.4004429551123,20px,R02
T-044,var factory = http.RequestServices.GetRequiredService<ProblemDetailsFactory>();,10861.284111991792,3287.4004429551123,20px,R02
T-045,var pds = http.RequestServices.GetRequiredService<IProblemDetailsService>();,10861.284111991792,3287.4004429551123,20px,R02
T-046,var pd = factory.CreateProblemDetails(,10861.284111991792,3287.4004429551123,20px,R02
T-047,"httpContext: http,",10861.284111991792,3287.4004429551123,20px,R02
T-048,"statusCode: StatusCodes.Status401Unauthorized,",10861.284111991792,3287.4004429551123,20px,R02
T-049,"title: ""Unauthorized"",",10861.284111991792,3287.4004429551123,20px,R02
T-050,"type: ""https://httpstatuses.com/401"",",10861.284111991792,3287.4004429551123,20px,R02
T-051,"detail: ""Authentication is required to access this resource."",",10861.284111991792,3287.4004429551123,20px,R02
T-052,instance: http.Request.Path);,10861.284111991792,3287.4004429551123,20px,R02
T-053,"await pds.WriteAsync(new ProblemDetailsContext { HttpContext = http, ProblemDetails = pd });",10861.284111991792,3287.4004429551123,20px,R02
T-054,};,10861.284111991792,3287.4004429551123,20px,R02
T-055,options.Events.OnRedirectToAccessDenied = async ctx =>,10861.284111991792,3287.4004429551123,20px,R02
T-056,{,10861.284111991792,3287.4004429551123,20px,R02
T-057,"if (!ctx.Request.Path.StartsWithSegments(""/api""))",10861.284111991792,3287.4004429551123,20px,R02
T-058,{,10861.284111991792,3287.4004429551123,20px,R02
T-059,ctx.Response.Redirect(ctx.RedirectUri);,10861.284111991792,3287.4004429551123,20px,R02
T-060,return;,10861.284111991792,3287.4004429551123,20px,R02
T-061,},10861.284111991792,3287.4004429551123,20px,R02
T-062,ctx.Response.StatusCode = StatusCodes.Status403Forbidden;,10861.284111991792,3287.4004429551123,20px,R02
T-063,var http = ctx.HttpContext;,10861.284111991792,3287.4004429551123,20px,R02
T-064,var factory = http.RequestServices.GetRequiredService<ProblemDetailsFactory>();,10861.284111991792,3287.4004429551123,20px,R02
T-065,var pds = http.RequestServices.GetRequiredService<IProblemDetailsService>();,10861.284111991792,3287.4004429551123,20px,R02
T-066,var pd = factory.CreateProblemDetails(,10861.284111991792,3287.4004429551123,20px,R02
T-067,"httpContext: http,",10861.284111991792,3287.4004429551123,20px,R02
