text_id,region,normalized_text,status
T-001,R03,PROBLEM DETAILS,preserved-from-legacy-baseline
T-002,R03,PROBLEM DETAILS Factory,preserved-from-legacy-baseline
T-003,R03,PROBLEM DETAILS SERVICE,preserved-from-legacy-baseline
T-004,R01,WHAT ISSUES WITHOUT IT,preserved-from-legacy-baseline
T-005,R02,WHEN TO USE,preserved-from-legacy-baseline
T-006,R01,"ADDITON TO PD SERVICE,",preserved-from-legacy-baseline
T-007,R04,TRYWRITEASYNC,preserved-from-legacy-baseline
T-008,R02,PROBLEMDETAILS WRITERS,preserved-from-legacy-baseline
T-009,R02,PROBLEM DETAILS config,preserved-from-legacy-baseline
T-010,R03,ALL TITLE AND DETAILS,preserved-from-legacy-baseline
T-011,R01,AND REFERENCES TO,preserved-from-legacy-baseline
T-012,R01,A DOCUMENTATION,preserved-from-legacy-baseline
T-013,R04,CAN RELATE,preserved-from-legacy-baseline
T-014,R03,TO YOUR API AND YOUR API'S DOCUMENTATION,preserved-from-legacy-baseline
T-015,R02,NOT JUST SOME DOCS WITH EXPL,preserved-from-legacy-baseline
T-016,R04,WHAT IS THIS STATUS CODE,preserved-from-legacy-baseline
T-017,R02,!!!!,preserved-from-legacy-baseline
T-018,R01,TRACE ID,preserved-from-legacy-baseline
T-019,R01,!!!,preserved-from-legacy-baseline
T-020,R01,whats wrong with this implementation?,preserved-from-legacy-baseline
T-021,R01,problemdetailsservice will do everything can being done in controller,preserved-from-legacy-baseline
T-022,R01,"automatically, so you need to use it everywhere in middlewares,",preserved-from-legacy-baseline
T-023,R01,non mvc land,preserved-from-legacy-baseline
T-024,R02,BUT WHY PROBLEMDETAILS FACTORY,preserved-from-legacy-baseline
T-025,R01,configuring problem details,preserved-from-legacy-baseline
T-026,R02,like that you force xml,preserved-from-legacy-baseline
T-027,R01,on all pd that is produced via,preserved-from-legacy-baseline
T-028,R01,problemdetails frwrks pipeline,preserved-from-legacy-baseline
T-029,R01,auto in controllers or via iproblemdetailsservice,preserved-from-legacy-baseline
T-030,R01,last action (callback) in pipeline,preserved-from-legacy-baseline
T-031,R01,before response,preserved-from-legacy-baseline
T-032,R04,cookies auth ON REDIRECT,preserved-from-legacy-baseline
T-033,R01,probmem details returning,preserved-from-legacy-baseline
T-034,R01,using Microsoft.AspNetCore.Mvc;,preserved-from-legacy-baseline
T-035,R01,options.Events.OnRedirectToLogin = async ctx =>,preserved-from-legacy-baseline
T-036,R04,{,preserved-from-legacy-baseline
T-037,R04,"if (!ctx.Request.Path.StartsWithSegments(""/api""))",preserved-from-legacy-baseline
T-038,R04,{,preserved-from-legacy-baseline
T-039,R01,ctx.Response.Redirect(ctx.RedirectUri);,preserved-from-legacy-baseline
T-040,R04,return;,preserved-from-legacy-baseline
T-041,R04,},preserved-from-legacy-baseline
T-042,R03,ctx.Response.StatusCode = StatusCodes.Status401Unauthorized;,preserved-from-legacy-baseline
T-043,R03,var http = ctx.HttpContext;,preserved-from-legacy-baseline
T-044,R03,var factory = http.RequestServices.GetRequiredService<ProblemDetailsFactory>();,preserved-from-legacy-baseline
T-045,R03,var pds = http.RequestServices.GetRequiredService<IProblemDetailsService>();,preserved-from-legacy-baseline
T-046,R03,var pd = factory.CreateProblemDetails(,preserved-from-legacy-baseline
T-047,R03,"httpContext: http,",preserved-from-legacy-baseline
T-048,R01,"statusCode: StatusCodes.Status401Unauthorized,",preserved-from-legacy-baseline
T-049,R01,"title: ""Unauthorized"",",preserved-from-legacy-baseline
T-050,R03,"type: ""https://httpstatuses.com/401"",",preserved-from-legacy-baseline
T-051,R03,"detail: ""Authentication is required to access this resource."",",preserved-from-legacy-baseline
T-052,R03,instance: http.Request.Path);,preserved-from-legacy-baseline
T-053,R03,"await pds.WriteAsync(new ProblemDetailsContext { HttpContext = http, ProblemDetails = pd });",preserved-from-legacy-baseline
T-054,R03,};,preserved-from-legacy-baseline
T-055,R03,options.Events.OnRedirectToAccessDenied = async ctx =>,preserved-from-legacy-baseline
T-056,R03,{,preserved-from-legacy-baseline
T-057,R03,"if (!ctx.Request.Path.StartsWithSegments(""/api""))",preserved-from-legacy-baseline
T-058,R03,{,preserved-from-legacy-baseline
T-059,R03,ctx.Response.Redirect(ctx.RedirectUri);,preserved-from-legacy-baseline
T-060,R03,return;,preserved-from-legacy-baseline
T-061,R03,},preserved-from-legacy-baseline
T-062,R03,ctx.Response.StatusCode = StatusCodes.Status403Forbidden;,preserved-from-legacy-baseline
T-063,R03,var http = ctx.HttpContext;,preserved-from-legacy-baseline
T-064,R03,var factory = http.RequestServices.GetRequiredService<ProblemDetailsFactory>();,preserved-from-legacy-baseline
T-065,R03,var pds = http.RequestServices.GetRequiredService<IProblemDetailsService>();,preserved-from-legacy-baseline
T-066,R03,var pd = factory.CreateProblemDetails(,preserved-from-legacy-baseline
T-067,R03,"httpContext: http,",preserved-from-legacy-baseline
T-068,R03,"statusCode: StatusCodes.Status403Forbidden,",preserved-from-legacy-baseline
T-069,R03,"title: ""Forbidden"",",preserved-from-legacy-baseline
T-070,R03,"type: ""https://httpstatuses.com/403"",",preserved-from-legacy-baseline
T-071,R04,"detail: ""You do not have permission to access this resource."",",preserved-from-legacy-baseline
T-072,R03,instance: http.Request.Path);,preserved-from-legacy-baseline
T-073,R03,"await pds.WriteAsync(new ProblemDetailsContext { HttpContext = http, ProblemDetails = pd });",preserved-from-legacy-baseline
T-074,R04,};,preserved-from-legacy-baseline
T-075,R04,a,preserved-from-legacy-baseline
T-076,R03,EXAMPLE WITH EXPL,preserved-from-legacy-baseline
T-077,R01,PROBLEMDETAILS,preserved-from-legacy-baseline
T-078,R03,"WRITERS CHAIN,CONTENT NEG",preserved-from-legacy-baseline
T-079,R03,WHAT IS PROBLEMDETAILSCONTEXT,preserved-from-legacy-baseline
T-080,R01,USING PROBLEMDETAILSCONTEXT.EXCEPTION,preserved-from-legacy-baseline
T-081,R03,FOR CUSTOM WRITER TO ACCESS,preserved-from-legacy-baseline
T-082,R03,TRYWRITEASYNC CHECKS IF THERE IS A SUITABLE WRITER,preserved-from-legacy-baseline
T-083,R03,"FOR CLIENTS ACCEPT HEADER, IF NO THEN WE CANT WRITE",preserved-from-legacy-baseline
T-084,R03,AND MUST HAVE CALLBACK,preserved-from-legacy-baseline
