source_id,region,asset_sha1,pixel_width,pixel_height,pass1_status,duplicate_of,literal_transcript_status,integrated_study_coverage
S-001,R01,ff4e72df8746e149c93a6e4b0890f89bf668b039,955,440,exact-source-transcribed,,complete,covered-by-v003
S-002,R02,19bf66e29613163413e0bafeb3e1c032c6f47d66,1023,492,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-003,R01,0eb8e0b938c56ea15e6e6f73a32781cd9c850556,996,378,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-004,R01,30a4581780369cbf469ed997540df4ef1220d6dc,958,566,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-005,R02,531da24a58446f8d8873d4c368ff29e1fda2cd59,601,569,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-006,R03,194816b6ac35907fbf90113e63e8ae6ffb990976,912,312,exact-source-transcribed,,complete,covered-by-v003
S-007,R03,5f3eef241526feda5e82fe0a67237d46c6a40b56,820,455,exact-source-transcribed,,complete,covered-by-v003
S-008,R02,e6f86f2d7fe863b798fe128825b2bfcfb5a7279e,577,490,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-009,R02,c691c1c4fce5178db45461b7f1b05a3d91814670,917,187,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-010,R01,179929c8b5e2a14ba6cd5c9b6f78a3ada9ab9edd,762,439,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-011,R01,b520b96738a006ed312ce6f6065d02f392fa1074,972,398,exact-source-transcribed,,complete,covered-by-v003
S-012,R01,d63f97b1115b0f36a1698f493b25b551d03cff63,878,640,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-013,R01,6de445ebe02ae57359f460b4fc77c537d2cc6f9c,928,346,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-014,R03,2e65a770cd86a853d404f2d51e9747ab3b0aa5c4,949,609,exact-source-transcribed,,complete,covered-by-v003
S-015,R02,073e77e0b45e06a965d53eaeaf6b0055ea79f0d9,817,475,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-016,R04,e4b00a985f537a303d245a2024413478355ef97b,588,401,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-017,R04,41d467160cff2118230d8946e6165df2e44718c9,836,304,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-018,R03,d6a2bce7f09fd8435333b9ba1a2b6e90c24565f4,816,458,exact-source-transcribed,,complete,covered-by-v003
S-019,R02,9c87074c354215f9bcda956d2899db4f2360baef,754,376,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-020,R01,66fd7bf3d695b79f01b2d3b431a1fd403c7c8247,838,560,exact-source-transcribed,,complete,covered-by-v003
S-021,R01,934902f87743d5225f6a932199e8ae0529b0702e,777,498,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-022,R01,48e3ffc511766a728f71887afc10a363583a4124,949,628,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-023,R01,86c8eb2729ae567099281c828dc9eaaba24e0beb,955,334,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-024,R04,c0ed40db6d1f362a4e9b5be0cbd11b87c56b2059,1010,609,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-025,R03,b3c50131691a687aac70c25db1d670d50fb87fc6,877,248,exact-source-transcribed,,complete,covered-by-v003
S-026,R04,99c3c7b34df86efa3a29f13e88416429e9fc18d7,880,411,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-027,R01,d499a5ddadd0801278423ea33c4968a718a8f37c,555,89,exact-source-transcribed,,complete,covered-by-v003
S-028,R03,82b95afb9e532d3bfe56dfdf4d037047b59cb0f5,750,294,exact-source-transcribed,,complete,covered-by-v003
S-029,R03,c8faa5aae9c969ac5db211f220ac1d21115a9038,949,529,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-030,R03,04869138a4033cfe3f700183d43795c029e0f168,673,605,exact-source-transcribed,,complete,covered-by-v003
S-031,R04,b3c50131691a687aac70c25db1d670d50fb87fc6,877,248,exact-duplicate-reference,S-025,complete,covered-by-v003
S-032,R03,29ee2062a83aefb5690dd549e5c886afdfa71d29,858,195,exact-source-transcribed,,complete,covered-by-v003
S-033,R04,27020d08875b6d660e584d4d2f390a4bc0bd7c89,755,179,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-034,R01,9dd0a82e6b19aa8afb7ed98410df0fece1c282c7,984,524,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-035,R01,550cb2c6d836315a3f7ac8491f4e4c23b9cd3cc2,846,481,exact-source-transcribed,,complete,covered-by-v003
S-036,R04,d5684d80d3d7c66fd15d3d229783afb52ee49e85,809,444,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-037,R03,ce656c1133fa0fecf718267e67132eb373cca593,786,519,exact-source-transcribed,,complete,covered-by-v003
S-038,R03,0f3649aa3f5a14ba18320c185d14622a7650ed67,745,193,exact-source-transcribed,,complete,covered-by-v003
S-039,R04,bf318c8140cbf0ca7abacedf86b097ecdaddbe06,930,516,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-040,R01,b81fb2d854a0c6c2f394b299e3317caf91707b34,1041,392,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-041,R01,af1dda8abe70ad71a703380f3d11865bb2a7e24e,1008,164,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-042,R03,33ad26d3dd36ee6ed10f37d8dc1dfe908c9ed919,911,462,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-043,R01,c489f005dfc1cf8596c22b195e9404d34e7abe3d,1010,533,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-044,R01,b5f992121db3d3aed20ad7b0b1c44f472eaf5ece,782,344,exact-source-transcribed,,complete,covered-by-v003
S-045,R03,3d1ce85f0c01e2f26522765b8b2f433c71a8e4cc,782,550,exact-source-transcribed,,complete,covered-by-v003
S-046,R03,8c8fc54aca59cb0254ccd5f052601d7799c8f7b5,829,369,exact-source-transcribed,,complete,covered-by-v003
S-047,R01,97bb2f41160af96b9e6df033dd6e273b4652c63e,901,217,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-048,R04,82b95afb9e532d3bfe56dfdf4d037047b59cb0f5,750,294,exact-duplicate-reference,S-028,complete,covered-by-v003
S-049,R01,89371a538d2da4657140ee1bec11b524287830fe,883,312,exact-source-transcribed,,complete,covered-by-v003
S-050,R03,7d1ec1df1fbfb4aadea630a6e24278095f757a36,791,509,exact-source-transcribed,,complete,covered-by-v003
S-051,R03,1db8bf38ab992f78a7f7f1a60ec9c29f4482216e,884,543,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-052,R03,820271d3e85904901d7990f568ca567f58668fe3,782,506,exact-source-transcribed,,complete,covered-by-v003
S-053,R03,9866670fb08cbca9f797e8508966ebd6006f053e,766,583,exact-source-transcribed,,complete,covered-by-v003
S-054,R01,648a21c4c53ed3c123d53a5b2990d8936be8394c,948,411,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-055,R04,d6ff8c3b0c378ebaf841c79375d2d4b0f6ea5e49,933,664,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-056,R04,29ee2062a83aefb5690dd549e5c886afdfa71d29,858,195,exact-duplicate-reference,S-032,complete,covered-by-v003
S-057,R03,5d033da8483c29bf4f7a534e0f538bc1f46a0626,825,352,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-058,R01,54498052019121bcff2c26d73195b39281437a25,799,336,exact-source-transcribed,,complete,covered-by-v003
S-059,R03,82a2e1f1bf1924c4499f05b6cdf6e52b62fd1a2e,603,253,exact-source-transcribed,,complete,covered-by-v003
S-060,R04,0f3649aa3f5a14ba18320c185d14622a7650ed67,745,193,exact-duplicate-reference,S-038,complete,covered-by-v003
S-061,R03,14204ade23a8585cbea9f0ed33460ad6b80d8583,880,195,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-062,R03,6c1009201bbe456648117993b4bd2bf7b3e8b25b,712,144,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-063,R01,0c84e504fc0fa1fcefa8bef00f73606f84e8ad82,633,164,exact-source-transcribed,,complete,covered-by-v003
S-064,R03,90f95ed56bffb38bae969f7fe7bb13fff5075e98,821,473,exact-source-transcribed,,complete,covered-by-v003
S-065,R03,4482c8caf4bd637446e4a5443d3e565c3bcf67b6,805,190,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-066,R04,2caf582a01f5494979aadd3b01a162a60113cf98,888,541,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-067,R04,8c8fc54aca59cb0254ccd5f052601d7799c8f7b5,829,369,exact-duplicate-reference,S-046,complete,covered-by-v003
S-068,R01,2924c394fb3cc7d95c7f0fbb810f998278e8e255,723,379,exact-source-transcribed,,complete,covered-by-v003
S-069,R01,f6d0eb5277f6bde3d75827b35c93f61b18920c5d,1022,534,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-070,R04,820271d3e85904901d7990f568ca567f58668fe3,782,506,exact-duplicate-reference,S-052,complete,covered-by-v003
S-071,R02,863a475f9fec30e100734f15f978980e96e1390f,958,694,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-072,R01,9146ba526e87f0abbebcad8076261650604d1dcc,949,416,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-073,R01,a33318065cc22bc0a274f5fa47d7fd6f4775d076,1015,300,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-074,R02,0231c69db182e3c73e573940bc78a73d09e2a8d2,738,564,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-075,R04,90f95ed56bffb38bae969f7fe7bb13fff5075e98,821,473,exact-duplicate-reference,S-064,complete,covered-by-v003
S-076,R01,0929d93e4833a684273e8350fc58bd796b988fb3,954,363,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-077,R01,47d4546f7236dc64b3b494e32b2b4ae6a56b6b5d,866,578,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-078,R02,30e0c6b1cef9bf8bd5550ab056bf41de936f76c8,746,262,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-079,R04,15c0551ecbf34e01465895d80e1b8d81152c0a84,780,141,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-080,R02,bfdb2478953b225a57db2ff31d94542e87d03f3c,756,381,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-081,R04,04869138a4033cfe3f700183d43795c029e0f168,673,605,exact-duplicate-reference,S-030,complete,covered-by-v003
S-082,R02,55d17c0ec0a5a38b96787b8d34c11081b94ed779,777,444,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-083,R01,787638aa9c6eae6767fc5ff513135685085ee001,855,553,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-084,R02,e585918a6f4f532035a9342162466fa7c3e867f4,726,453,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-085,R01,7c4f34de4797089651a2267e4b86c8121bcd2e7f,894,499,pending-canonical-pixels,,pending-canonical-image,covered-by-v003
S-086,R01,179929c8b5e2a14ba6cd5c9b6f78a3ada9ab9edd,762,439,pending-canonical-pixels,S-010,pending-canonical-image,covered-by-v003
