source_id,region,status,duplicate_of,transcript_ref
S-001,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-002,R02,pending-canonical-pixels,,
S-003,R01,pending-canonical-pixels,,
S-004,R01,pending-canonical-pixels,,
S-005,R02,pending-canonical-pixels,,
S-006,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-007,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-008,R02,pending-canonical-pixels,,
S-009,R02,pending-canonical-pixels,,
S-010,R01,pending-canonical-pixels,,
S-011,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-012,R01,pending-canonical-pixels,,
S-013,R01,pending-canonical-pixels,,
S-014,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-015,R02,pending-canonical-pixels,,
S-016,R04,pending-canonical-pixels,,
S-017,R04,pending-canonical-pixels,,
S-018,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-019,R02,pending-canonical-pixels,,
S-020,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-021,R01,pending-canonical-pixels,,
S-022,R01,pending-canonical-pixels,,
S-023,R01,pending-canonical-pixels,,
S-024,R04,pending-canonical-pixels,,
S-025,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-026,R04,pending-canonical-pixels,,
S-027,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-028,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-029,R03,pending-canonical-pixels,,
S-030,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-031,R04,exact-duplicate-reference,S-025,06-stage6-source-preserving-transcript-pass1-v002.md
S-032,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-033,R04,pending-canonical-pixels,,
S-034,R01,pending-canonical-pixels,,
S-035,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-036,R04,pending-canonical-pixels,,
S-037,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-038,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-039,R04,pending-canonical-pixels,,
S-040,R01,pending-canonical-pixels,,
S-041,R01,pending-canonical-pixels,,
S-042,R03,pending-canonical-pixels,,
S-043,R01,pending-canonical-pixels,,
S-044,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-045,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-046,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-047,R01,pending-canonical-pixels,,
S-048,R04,exact-duplicate-reference,S-028,06-stage6-source-preserving-transcript-pass1-v002.md
S-049,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-050,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-051,R03,pending-canonical-pixels,,
S-052,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-053,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-054,R01,pending-canonical-pixels,,
S-055,R04,pending-canonical-pixels,,
S-056,R04,exact-duplicate-reference,S-032,06-stage6-source-preserving-transcript-pass1-v002.md
S-057,R03,pending-canonical-pixels,,
S-058,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-059,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-060,R04,exact-duplicate-reference,S-038,06-stage6-source-preserving-transcript-pass1-v002.md
S-061,R03,pending-canonical-pixels,,
S-062,R03,pending-canonical-pixels,,
S-063,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-064,R03,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-065,R03,pending-canonical-pixels,,
S-066,R04,pending-canonical-pixels,,
S-067,R04,exact-duplicate-reference,S-046,06-stage6-source-preserving-transcript-pass1-v002.md
S-068,R01,exact-source-transcribed,,06-stage6-source-preserving-transcript-pass1-v002.md
S-069,R01,pending-canonical-pixels,,
S-070,R04,exact-duplicate-reference,S-052,06-stage6-source-preserving-transcript-pass1-v002.md
S-071,R02,pending-canonical-pixels,,
S-072,R01,pending-canonical-pixels,,
S-073,R01,pending-canonical-pixels,,
S-074,R02,pending-canonical-pixels,,
S-075,R04,exact-duplicate-reference,S-064,06-stage6-source-preserving-transcript-pass1-v002.md
S-076,R01,pending-canonical-pixels,,
S-077,R01,pending-canonical-pixels,,
S-078,R02,pending-canonical-pixels,,
S-079,R04,pending-canonical-pixels,,
S-080,R02,pending-canonical-pixels,,
S-081,R04,exact-duplicate-reference,S-030,06-stage6-source-preserving-transcript-pass1-v002.md
S-082,R02,pending-canonical-pixels,,
S-083,R01,pending-canonical-pixels,,
S-084,R02,pending-canonical-pixels,,
S-085,R01,pending-canonical-pixels,,
S-086,R01,pending-canonical-pixels,S-010,
