source_id,region,decision,reason
S-001,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-002,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-003,R01,included-in-r01-v001,Column mappings and destination column behavior
S-004,R01,included-in-r01-v001,Column mappings and destination column behavior
S-005,R01,included-in-r01-v001,Error behavior and all-or-nothing caveats
S-006,R01,included-in-r01-v001,KeepIdentity / identity-column behavior
S-007,R01,included-in-r01-v001,KeepIdentity / identity-column behavior
S-008,R01,included-in-r01-v001,Column mappings and destination column behavior
S-009,R01,included-in-r01-v001,Column mappings and destination column behavior
S-010,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-012,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-013,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-014,R01,included-in-r01-v001,SqlBulkCopy internal optimization / bulk loading path
S-015,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-016,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-018,R01,included-in-r01-v001,Column mappings and destination column behavior
S-019,R01,included-in-r01-v001,KeepIdentity / identity-column behavior
S-020,R01,included-in-r01-v001,KeepIdentity / identity-column behavior
S-021,R01,included-in-r01-v001,Column mappings and destination column behavior
S-022,R01,included-in-r01-v001,Error behavior and all-or-nothing caveats
S-023,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-025,R01,included-in-r01-v001,Column mappings and destination column behavior
S-026,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-027,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-028,R01,included-in-r01-v001,SqlBulkCopyOptions.TableLock and locking behavior
S-029,R01,included-in-r01-v001,SqlBulkCopy internal optimization / bulk loading path
S-030,R01,included-in-r01-v001,SqlBulkCopyOptions.TableLock and locking behavior
S-031,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-032,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-033,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-034,R01,included-in-r01-v001,Column mappings and destination column behavior
S-036,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-037,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-038,R01,included-in-r01-v001,KeepIdentity / identity-column behavior
S-039,R01,included-in-r01-v001,"Core SqlBulkCopy API: constructors, source data, WriteToServer"
S-040,R01,included-in-r01-v001,SqlBulkCopyOptions.TableLock and locking behavior
S-041,R01,included-in-r01-v001,SqlBulkCopyOptions.TableLock and locking behavior
S-042,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-043,R01,included-in-r01-v001,KeepIdentity / identity-column behavior
S-044,R01,included-in-r01-v001,SqlBulkCopyOptions.TableLock and locking behavior
S-045,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-046,R01,included-in-r01-v001,SqlBulkCopyOptions.TableLock and locking behavior
S-048,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-049,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-050,R01,included-in-r01-v001,Null/default handling and type mapping
S-051,R01,included-in-r01-v001,SqlBulkCopyOptions.TableLock and locking behavior
S-052,R01,included-in-r01-v001,Null/default handling and type mapping
S-054,R01,included-in-r01-v001,SqlBulkCopyOptions.TableLock and locking behavior
S-058,R01,included-in-r01-v001,Null/default handling and type mapping
S-059,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-060,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-061,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-062,R01,included-in-r01-v001,Null/default handling and type mapping
S-066,R01,included-in-r01-v001,Null/default handling and type mapping
S-067,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-068,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-069,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-070,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-072,R01,included-in-r01-v001,Null/default handling and type mapping
S-073,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-074,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-075,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-077,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-078,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-079,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-080,R01,included-in-r01-v001,Constraints/triggers bulk-copy options
S-081,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-082,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
S-083,R01,included-in-r01-v001,Constraints/triggers bulk-copy options
S-084,R01,included-in-r01-v001,Constraints/triggers bulk-copy options
S-085,R01,included-in-r01-v001,Transactions and internal transaction option
S-086,R01,included-in-r01-v001,Transactions and internal transaction option
S-087,R01,included-in-r01-v001,Transactions and internal transaction option
S-089,R01,included-in-r01-v001,Core SqlBulkCopy option/source-data note
