source_id,region_candidate,status,fileId_short,x,y,width,height,nearest_labels,notes
S-001,R01,processed-in-r01-v001,f6bbb9a7d8,8288.562834387802,510.43619839797066,1432.0,568.0,bulk strats | no app | can hold invariants,R01 transcript v001 closed this image use.
S-002,R01,processed-in-r01-v001,ed36908804,8276.213296327373,1090.1271215655652,1492.0,321.0,source data for sqlbulkcopy,R01 transcript v001 closed this image use.
S-003,R01,processed-in-r01-v001,89d09af921,13515.562893044635,1308.3340561985624,923.0,268.0,if mapped the part,R01 transcript v001 closed this image use.
S-004,R01,processed-in-r01-v001,2ceeaccd40,13513.173936338906,1591.8340561985624,1030.0,261.0,if mapped the part | if didnt mapped,R01 transcript v001 closed this image use.
S-005,R01,processed-in-r01-v001,e483aaf144,18232.67151787349,2011.4529238363739,718.0,482.0,"error behavior,can fail everything | when there are some",R01 transcript v001 closed this image use.
S-006,R01,processed-in-r01-v001,dd8e58de1d,16914.804845375384,2055.479453784288,966.0,455.0,"preseve previous identity | including identity columns | error behavior,can fail everything",R01 transcript v001 closed this image use.
S-007,R01,processed-in-r01-v001,3328ecbb59,15637.153363719019,2107.0802953763723,913.0,477.0,preseve previous identity | including identity columns | c# -> sql server type | nullable values handling,R01 transcript v001 closed this image use.
S-008,R01,processed-in-r01-v001,b57dc1f47b,14244.421267104019,2148.534240643412,1002.0,278.0,if didnt mapped | if mapped the part | !!! | c# -> sql server type,R01 transcript v001 closed this image use.
S-009,R01,processed-in-r01-v001,e006c65b55,12967.018782319341,2228.407113320942,932.0,362.0,table lock | default | if didnt mapped | options | !!!,R01 transcript v001 closed this image use.
S-010,R01,processed-in-r01-v001,21d4883a98,11921.883405422464,2300.49168697584,834.0,482.0,column mappings | destination colname | table lock | properties | default,R01 transcript v001 closed this image use.
S-011,R02,pending-transcript,8defa316f7,4710.16499140069,2337.000978299775,461.0,69.0,use staging tables | use tablelock,Pending after R01; boundary must be rechecked before final transcript.
S-012,R01,processed-in-r01-v001,cc8fcc373c,11068.301143062305,2344.481121728646,682.0,405.0,close/dispose | column mappings | writetoserver | destination colname | methods,R01 transcript v001 closed this image use.
S-013,R01,processed-in-r01-v001,d2c18b0b6d,10157.682869704253,2381.1613548113764,828.0,482.0,close/dispose | writetoserver | prod style | write from,R01 transcript v001 closed this image use.
S-014,R01,processed-in-r01-v001,9ee8dbcaa7,6100.728860311725,2413.7028272075277,940.0,424.0,internal optimization | internal optimization flow,R01 transcript v001 closed this image use.
S-015,R01,processed-in-r01-v001,22d1f6fea0,8970.287382628094,2444.737887260877,785.0,482.0,datatable,R01 transcript v001 closed this image use.
S-016,R01,processed-in-r01-v001,856c5e4f6f,7621.66389623853,2451.3198678681456,752.0,482.0,"for loading, cant update directly | sqlbulkcopy constructors",R01 transcript v001 closed this image use.
S-017,R02,pending-transcript,269a5767c3,4706.823229738282,2497.998632386718,867.0,223.0,use tablelock | use staging tables,Pending after R01; boundary must be rechecked before final transcript.
S-018,R01,processed-in-r01-v001,b1edeb219a,14242.874731970722,2523.4150389832594,878.0,482.0,how tablelock actually | !!! | if didnt mapped | nullable values handling,R01 transcript v001 closed this image use.
S-019,R01,processed-in-r01-v001,f096444ba9,16917.119773218266,2608.8311926080733,951.0,412.0,"preseve previous identity | error behavior,can fail everything",R01 transcript v001 closed this image use.
S-020,R01,processed-in-r01-v001,6814cdd85c,15608.249222002989,2635.3684104900185,988.0,233.0,nullable values handling | preseve previous identity,R01 transcript v001 closed this image use.
S-021,R01,processed-in-r01-v001,68ac7b5c21,12973.670935697784,2694.5709106967206,1031.0,403.0,table lock | !!! | how tablelock actually | if didnt mapped | keepidentity,R01 transcript v001 closed this image use.
S-022,R01,processed-in-r01-v001,b0b0622250,18224.654595995624,2823.3047169136316,838.0,482.0,"error behavior,can fail everything",R01 transcript v001 closed this image use.
S-023,R01,processed-in-r01-v001,306ad40dd7,10163.254897771178,2861.6374072318595,764.0,482.0,write from | close/dispose,R01 transcript v001 closed this image use.
S-024,R02,pending-transcript,d61b6202b2,4677.494589691692,2863.8087302732474,940.0,463.0,tune batchsize | use tablelock | use staging tables,Pending after R01; boundary must be rechecked before final transcript.
