source_id,image_use_id,fileId_short,symbol_id,region,x,y,width,height,source_width,source_height,sha256_12,nearest_labels,path
S-001,IU-001,f6bbb9a7d8,image-f6bbb9a7d84c579972e4b9e72c1bf898f9089fc5,R01,8288.562834387802,510.43619839797066,1432.0,568.0,1244,494,21187e2cb59e,bulk strats | no app | can hold invariants,source/images/f6bbb9a7d8.png
S-002,IU-002,ed36908804,image-ed3690880459966905a71536ed9e327501ce5601,R01,8276.213296327373,1090.1271215655652,1492.0,321.0,1266,272,72a38d07713b,source data for sqlbulkcopy,source/images/ed36908804.png
S-003,IU-003,89d09af921,image-89d09af92132f896a5569a66c73f7b8dc156c3ce,R01,13515.562893044635,1308.3340561985624,923.0,268.0,923,268,9e02cdab3a88,if mapped the part,source/images/89d09af921.png
S-004,IU-004,2ceeaccd40,image-2ceeaccd4073147aeed62e3bf394306d511553fa,R01,13513.173936338906,1591.8340561985624,1030.0,261.0,1030,261,02ada97ad007,if mapped the part | if didnt mapped,source/images/2ceeaccd40.png
S-005,IU-005,e483aaf144,image-e483aaf144f1e6f428443824367e2b9d46d0aa43,R01,18232.67151787349,2011.4529238363739,718.0,482.0,995,668,a543fbefbd5f,"error behavior,can fail everything | when there are some",source/images/e483aaf144.png
S-006,IU-006,dd8e58de1d,image-dd8e58de1de6d9a2e03a944d4cf6bc64addc1ede,R01,16914.804845375384,2055.479453784288,966.0,455.0,966,455,66184a792c62,"preseve previous identity | including identity columns | error behavior,can fail everything",source/images/dd8e58de1d.png
S-007,IU-007,3328ecbb59,image-3328ecbb5909524dddf611cc72023996e2d2fb65,R01,15637.153363719019,2107.0802953763723,913.0,477.0,913,477,b97139a27403,preseve previous identity | including identity columns | c# -> sql server type | nullable values handling,source/images/3328ecbb59.png
S-008,IU-008,b57dc1f47b,image-b57dc1f47bec01ab6c6b4b967c65983498a19b3f,R01,14244.421267104019,2148.534240643412,1002.0,278.0,1002,278,8734372a3eef,if didnt mapped | if mapped the part | !!! | c# -> sql server type,source/images/b57dc1f47b.png
S-009,IU-009,e006c65b55,image-e006c65b557877cbab4d0e680ff266af720a33cb,R01,12967.018782319341,2228.407113320942,932.0,362.0,932,362,b2ed70e77936,table lock | default | if didnt mapped | options | !!!,source/images/e006c65b55.png
S-010,IU-010,21d4883a98,image-21d4883a98ef4ed3ec4ec85721ea5cd025678bd2,R01,11921.883405422464,2300.49168697584,834.0,482.0,956,553,65581e2c8bd1,column mappings | destination colname | table lock | properties | default,source/images/21d4883a98.png
