item_type,item_id,secondary_id,sha256,region_id,status,restored,assignment_count,evidence
image_use,S-001,IU-001,0ff2cb717435230e0aedb2031adb4b105eff1a9196b0bf7e3d7c239430e35691,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-002,IU-002,5c753d5e01bbeec01e59e9516fb6ff6f73031f4d94aba0cbc9d9cf49ee6d1007,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-003,IU-003,0faafa75c41dd5786c9b3067b7676f5abe679258b2de49d6c9cab25347de170e,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-004,IU-004,2112a002e8d37fd0b673023bfda83eb0d29f521b84776705a35f584a4347bd56,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-005,IU-005,46a8a76080935545dfe13dfb9fe5ddbf7f6271a12b3e5d957d1345c1d042915a,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-006,IU-006,311cc0c2a5337962fbf1bfe5a6fe6c8b28ef3c5c7fc69f068f7629ea2442d579,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-007,IU-007,2ea7724fc56697fa765b2bd299a0da935e7febe983b6a1d0dc74b03ce6e93120,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-008,IU-008,67b6fa42294d5ee788938c331b9901e2662b7ed9492efed9171285731586ad15,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-009,IU-009,b50eb1e9cfcd1fc144488f9742e4c4284e0680f148d7cef4e08850dc9a84f209,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-010,IU-010,7f9d090a1820fc617394cf22752dca85c5ca7e58a444d6748109bd63d719c3ad,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-011,IU-011,99ae2ab677ffeff4df897181799de7324818cd122c9e740ad38ee4e7393258d9,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-012,IU-012,9d0fd454d35f9e953e84b4f95359356088af0534d84beacb71707c16e41cc240,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-013,IU-013,38372784034c9199c36e1eda325860fea73f2a43bc9b0986b7cc95035ac3300b,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-014,IU-014,6c2be8bf58b7a1984d1de1f3140c75c5e821c27d72b5a7345e417640e06218ef,R02,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R02: PATCH representations: JSON Patch, JSON Merge Patch, and format selection"
image_use,S-015,IU-015,9be60ed4405204ffa3ce1efbdfd0c735d52026886bdd4182915ae9210dfff589,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-016,IU-016,c9861ab3c43e2768883ae62f1897963a99603ce60ff6934813361cfd90a13a66,R02,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R02: PATCH representations: JSON Patch, JSON Merge Patch, and format selection"
image_use,S-017,IU-017,09522899503f3b66d8a93b428b4199dbe357afc78db3ec82e13234a56de9523d,R01,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests"
image_use,S-018,IU-018,f138e3870500986591ec09c99d1236d9951a03d1c6c3c2b3ccd3daee8117ab35,R02,processed-semantic-transcript,True,1,"Visually reviewed screenshot assigned to R02: PATCH representations: JSON Patch, JSON Merge Patch, and format selection"
