source_id,image_use_id,symbol_id,sha256,sha1,x,y,width,height,pixel_width,pixel_height,region_id,restored,coverage_status,assignment_count,asset_path,evidence,nearest_text_nodes_hint_only
S-001,IU-001,image-5b8378ffe98a98a507a242115db38cf541710911,0ff2cb717435230e0aedb2031adb4b105eff1a9196b0bf7e3d7c239430e35691,34eed3b8d1f1bbf7d51f55173fb5330c3bbc3e79,3059.6761970228854,300.34138307842295,948.0,369.0,1465,571,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-001__0ff2cb7174.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-001"", ""text"": ""put/patch""}, {""text_id"": ""T-002"", ""text"": ""put and patch idempotency""}, {""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-005"", ""text"": ""put""}]"
S-002,IU-002,image-a64ea94749eff022c0cbb7844e2a0d496bc6b132,5c753d5e01bbeec01e59e9516fb6ff6f73031f4d94aba0cbc9d9cf49ee6d1007,8917e5c2a265a409cc6212a0332e79251d098d58,3051.0728253066354,749.2302451584656,958.0,369.0,1432,552,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-002__5c753d5e01.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-002"", ""text"": ""put and patch idempotency""}, {""text_id"": ""T-001"", ""text"": ""put/patch""}, {""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-005"", ""text"": ""put""}]"
S-003,IU-003,image-e5d8d1ef2fb4bdc72c32e2af316167c29180ccac,0faafa75c41dd5786c9b3067b7676f5abe679258b2de49d6c9cab25347de170e,2c8be1eb917b55ea6db5824235f6e364e6be508f,2896.5240123752073,1388.780879131311,1473.0,315.0,1473,315,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-003__0faafa75c4.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-002"", ""text"": ""put and patch idempotency""}, {""text_id"": ""T-001"", ""text"": ""put/patch""}, {""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-005"", ""text"": ""put""}]"
S-004,IU-004,image-f551efb434788e3b5faadc54f0e88fcbd1739717,2112a002e8d37fd0b673023bfda83eb0d29f521b84776705a35f584a4347bd56,e32e67fdd51b40afea7d60d94270240285ce39c3,2887.50020866427,1734.733289148051,1464.0,465.0,1464,465,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-004__2112a002e8.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-002"", ""text"": ""put and patch idempotency""}, {""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-001"", ""text"": ""put/patch""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-005"", ""text"": ""put""}]"
S-005,IU-005,image-72801e20421ab0b299a56073fb3ee999060e8fec,46a8a76080935545dfe13dfb9fe5ddbf7f6271a12b3e5d957d1345c1d042915a,70fd728388a2297529abcb74c6eb7bc214e70943,2954.528754806849,2249.3363910903245,1103.0,482.0,1463,640,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-005__46a8a76080.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-002"", ""text"": ""put and patch idempotency""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-005"", ""text"": ""put""}, {""text_id"": ""T-001"", ""text"": ""put/patch""}]"
S-006,IU-006,image-2dedc44225e884c05bd922a62eacdc86d901a714,311cc0c2a5337962fbf1bfe5a6fe6c8b28ef3c5c7fc69f068f7629ea2442d579,073df117cf84a7c19d10e42a01bce6e6f51f6fee,2846.630152511927,2756.9926410903245,1465.0,337.0,1465,337,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-006__311cc0c2a5.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-005"", ""text"": ""put""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-002"", ""text"": ""put and patch idempotency""}, {""text_id"": ""T-006"", ""text"": ""upsert""}]"
S-007,IU-007,image-2c349ed972f897c844e21d72d4ac586ff14526d7,2ea7724fc56697fa765b2bd299a0da935e7febe983b6a1d0dc74b03ce6e93120,4fcc6c34004465c646f68ebe155253c85bc9e902,2854.630152511927,3128.6593586196213,1489.0,277.0,1489,277,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-007__2ea7724fc5.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-005"", ""text"": ""put""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-006"", ""text"": ""upsert""}, {""text_id"": ""T-002"", ""text"": ""put and patch idempotency""}]"
S-008,IU-008,image-521494aa333eb42c36b637315e6eaaab850915d6,67b6fa42294d5ee788938c331b9901e2662b7ed9492efed9171285731586ad15,fe88253df29a0a88c28510a5cfe3b3b23b6fc609,2919.9946566702865,3636.9518839967022,1507.0,332.0,1507,332,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-008__67b6fa4229.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-005"", ""text"": ""put""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-006"", ""text"": ""upsert""}, {""text_id"": ""T-008"", ""text"": ""client cant know what id will be assigned to resource, then it cant do put request with id of resource""}]"
S-009,IU-009,image-a98e93d4a73c6f82e1c647c59acbed7736e9ff82,b50eb1e9cfcd1fc144488f9742e4c4284e0680f148d7cef4e08850dc9a84f209,8f6bba0885d1cde7bb234c0b59c338d87434ffd7,2951.3534140526344,4023.4097257680405,1283.0,279.0,1283,279,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-009__b50eb1e9cf.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-005"", ""text"": ""put""}, {""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-006"", ""text"": ""upsert""}, {""text_id"": ""T-008"", ""text"": ""client cant know what id will be assigned to resource, then it cant do put request with id of resource""}]"
S-010,IU-010,image-b7c2346856543bfc31a0268db494cba87dfaf493,7f9d090a1820fc617394cf22752dca85c5ca7e58a444d6748109bd63d719c3ad,c33f1b156d780b4fae7b265d4c0e3f256ce3fa88,2946.038022841195,4487.045060953718,996.0,482.0,1363,660,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-010__7f9d090a18.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-005"", ""text"": ""put""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-003"", ""text"": ""status codes for put and patch""}, {""text_id"": ""T-006"", ""text"": ""upsert""}, {""text_id"": ""T-007"", ""text"": ""about formats and theory in general""}]"
S-011,IU-011,image-6550452cb0fbfa42ff8507031a5dbd714417058d,99ae2ab677ffeff4df897181799de7324818cd122c9e740ad38ee4e7393258d9,0008fda20582014f0a6aaaf81db8711e49467d4b,4804.124867663353,4709.563476206527,724.0,369.0,1520,776,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-011__99ae2ab677.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-006"", ""text"": ""upsert""}, {""text_id"": ""T-008"", ""text"": ""client cant know what id will be assigned to resource, then it cant do put request with id of resource""}, {""text_id"": ""T-009"", ""text"": ""that doesnt exist and create resource with the id the client provided , because the client doesnt provide id here""}, {""text_id"": ""T-010"", ""text"": ""some additional notes""}, {""text_id"": ""T-005"", ""text"": ""put""}]"
S-012,IU-012,image-b5d945fd1a4ec3c21f9b3eadaa5fc12b6e6626a4,9d0fd454d35f9e953e84b4f95359356088af0534d84beacb71707c16e41cc240,b40e75ebe78e036d1e108e4a147e0eae96dd12d6,2918.071248465023,5007.045088696974,1207.0,482.0,1339,535,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-012__9d0fd454d3.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-005"", ""text"": ""put""}, {""text_id"": ""T-004"", ""text"": ""!!!""}, {""text_id"": ""T-006"", ""text"": ""upsert""}, {""text_id"": ""T-008"", ""text"": ""client cant know what id will be assigned to resource, then it cant do put request with id of resource""}, {""text_id"": ""T-009"", ""text"": ""that doesnt exist and create resource with the id the client provided , because the client doesnt provide id here""}]"
S-013,IU-013,image-a4e8c2d7c67a52cfeafa6bac6ccf8d978f81ae55,38372784034c9199c36e1eda325860fea73f2a43bc9b0986b7cc95035ac3300b,57d37abc2d3436a69d834bd6780da28803152ced,4699.404851927427,5245.477193831455,1160.0,533.0,1483,682,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-013__3837278403.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-008"", ""text"": ""client cant know what id will be assigned to resource, then it cant do put request with id of resource""}, {""text_id"": ""T-009"", ""text"": ""that doesnt exist and create resource with the id the client provided , because the client doesnt provide id here""}, {""text_id"": ""T-006"", ""text"": ""upsert""}, {""text_id"": ""T-010"", ""text"": ""some additional notes""}, {""text_id"": ""T-011"", ""text"": ""IF CLIENT CREATES IDS AND API ALLOWS UPSERT""}]"
S-014,IU-014,image-ef4270d54682ad87b4800ef764c713b47b42668d,6c2be8bf58b7a1984d1de1f3140c75c5e821c27d72b5a7345e417640e06218ef,3296cb5238b71fe2337692cc70524289ac2a8b78,2860.989185333893,5889.644808556019,1258.0,302.0,1258,302,R02,True,processed-semantic-transcript,1,assets/source-images-v001/S-014__6c2be8bf58.png,"Visually reviewed screenshot assigned to R02: PATCH representations: JSON Patch, JSON Merge Patch, and format selection","[{""text_id"": ""T-009"", ""text"": ""that doesnt exist and create resource with the id the client provided , because the client doesnt provide id here""}, {""text_id"": ""T-008"", ""text"": ""client cant know what id will be assigned to resource, then it cant do put request with id of resource""}, {""text_id"": ""T-007"", ""text"": ""about formats and theory in general""}, {""text_id"": ""T-010"", ""text"": ""some additional notes""}, {""text_id"": ""T-005"", ""text"": ""put""}]"
S-015,IU-015,image-84c71939fc17824ae17f87daca1cdae297cad05c,9be60ed4405204ffa3ce1efbdfd0c735d52026886bdd4182915ae9210dfff589,285085ac8a5891c45c3a10b472f0fb2447ad978b,4766.950605996775,5970.8105475098455,751.0,482.0,832,534,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-015__9be60ed440.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-009"", ""text"": ""that doesnt exist and create resource with the id the client provided , because the client doesnt provide id here""}, {""text_id"": ""T-008"", ""text"": ""client cant know what id will be assigned to resource, then it cant do put request with id of resource""}, {""text_id"": ""T-010"", ""text"": ""some additional notes""}, {""text_id"": ""T-011"", ""text"": ""IF CLIENT CREATES IDS AND API ALLOWS UPSERT""}, {""text_id"": ""T-012"", ""text"": ""THERE IS A POSSIBLE SITUATION WHEN  CLIENT SEND PUT REQUEST""}]"
S-016,IU-016,image-2722964887c144c1068429e1530ad2798cf14ff0,c9861ab3c43e2768883ae62f1897963a99603ce60ff6934813361cfd90a13a66,e66014935ad7c26ecc902beff32280368de01646,2848.859600915491,6269.626225046366,1523.0,405.0,1523,405,R02,True,processed-semantic-transcript,1,assets/source-images-v001/S-016__c9861ab3c4.png,"Visually reviewed screenshot assigned to R02: PATCH representations: JSON Patch, JSON Merge Patch, and format selection","[{""text_id"": ""T-010"", ""text"": ""some additional notes""}, {""text_id"": ""T-009"", ""text"": ""that doesnt exist and create resource with the id the client provided , because the client doesnt provide id here""}, {""text_id"": ""T-008"", ""text"": ""client cant know what id will be assigned to resource, then it cant do put request with id of resource""}, {""text_id"": ""T-007"", ""text"": ""about formats and theory in general""}, {""text_id"": ""T-011"", ""text"": ""IF CLIENT CREATES IDS AND API ALLOWS UPSERT""}]"
S-017,IU-017,image-41a1ced5a66959aab05cf66727e070076856003a,09522899503f3b66d8a93b428b4199dbe357afc78db3ec82e13234a56de9523d,973679421bf10628acf5fd403c36cef40cae0e80,4737.785341971198,6749.059008924254,986.0,583.0,1084,641,R01,True,processed-semantic-transcript,1,assets/source-images-v001/S-017__0952289950.png,"Visually reviewed screenshot assigned to R01: PUT versus PATCH semantics, idempotency, status codes, upsert, and conditional requests","[{""text_id"": ""T-010"", ""text"": ""some additional notes""}, {""text_id"": ""T-011"", ""text"": ""IF CLIENT CREATES IDS AND API ALLOWS UPSERT""}, {""text_id"": ""T-012"", ""text"": ""THERE IS A POSSIBLE SITUATION WHEN  CLIENT SEND PUT REQUEST""}, {""text_id"": ""T-013"", ""text"": ""BUT HE DOESNT WANT TO  OVERWRITE EXISTING ID, SO HE SENDS WITH""}, {""text_id"": ""T-014"", ""text"": ""IF-NONE-MATCH:* SO IF THE RESOURCE EXISTS IN ANY VERSION - THERE WOULD BE""}]"
S-018,IU-018,image-b78ff7682759f5ca908687be89960a6733f5d041,f138e3870500986591ec09c99d1236d9951a03d1c6c3c2b3ccd3daee8117ab35,997fcb65faaa05fdc74623dca111a1311bc8b095,2835.6880451636107,6799.488558556022,1350.0,482.0,1380,493,R02,True,processed-semantic-transcript,1,assets/source-images-v001/S-018__f138e38705.png,"Visually reviewed screenshot assigned to R02: PATCH representations: JSON Patch, JSON Merge Patch, and format selection","[{""text_id"": ""T-010"", ""text"": ""some additional notes""}, {""text_id"": ""T-011"", ""text"": ""IF CLIENT CREATES IDS AND API ALLOWS UPSERT""}, {""text_id"": ""T-012"", ""text"": ""THERE IS A POSSIBLE SITUATION WHEN  CLIENT SEND PUT REQUEST""}, {""text_id"": ""T-013"", ""text"": ""BUT HE DOESNT WANT TO  OVERWRITE EXISTING ID, SO HE SENDS WITH""}, {""text_id"": ""T-014"", ""text"": ""IF-NONE-MATCH:* SO IF THE RESOURCE EXISTS IN ANY VERSION - THERE WOULD BE""}]"
