use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-433f867b1d67dd4b6f5aa4b4d1d1e0abbcbe8e1a,62c5ebd09de7.png,62c5ebd09de7,R06,573.8727875515007,4810.444529215496,833.0,301.0,1.0,,,,closed,06-transcript-R06-linq-materialization-casting-and-typing.md,07-full-combined-final-transcript.md
IU-002,image-3355aaccd8d6ca42e3bc9499343962533322f4df,74d7c5c11570.png,74d7c5c11570,R06,545.0211999666597,4328.500040690105,908.0,401.0,1.0,,,,closed,06-transcript-R06-linq-materialization-casting-and-typing.md,07-full-combined-final-transcript.md
IU-003,image-b9b1464304e3390337e7ec253b9249d48cac7468,5206a31809ee.png,5206a31809ee,R05,571.4975408196017,3877.8333740234384,743.0,401.0,1.0,,,,closed,05-transcript-R05-linq-partitioning-and-sequence-construction.md,07-full-combined-final-transcript.md
IU-004,image-923664936a04de0197315d64726ceba47af4aa79,39bb20b405c9.png,39bb20b405c9,R05,347.5556640625001,3435.833374023439,1258.0,400.0,1.0,,,,closed,05-transcript-R05-linq-partitioning-and-sequence-construction.md,07-full-combined-final-transcript.md
IU-005,image-7da0ca6f431a222ffda215baf9959618f2399d21,b594827cdbdf.png,b594827cdbdf,R04,488.05373376522897,3069.833414713543,796.0,401.0,1.0,,,,closed,04-transcript-R04-linq-element-selection-and-set-operations.md,07-full-combined-final-transcript.md
IU-006,image-de9785e023c54d2984c3e9b0202b21cd55dc9c2f,e26d6f6e5f53.png,e26d6f6e5f53,R04,469.48921181499117,2633.388916015626,831.0,401.0,1.0,,,,closed,04-transcript-R04-linq-element-selection-and-set-operations.md,07-full-combined-final-transcript.md
IU-007,image-5ba095184a84981270fd86ee782e1627fc916903,6409081e6b86.png,6409081e6b86,R03,371.0763590308569,2143.61112467448,1033.0,401.0,1.0,,,,closed,03-transcript-R03-linq-aggregation-and-quantifiers.md,07-full-combined-final-transcript.md
IU-008,image-87ad0a35d0264cbb90ac87499f585c5bba5e6fb5,c894afb124e7.png,c894afb124e7,R03,491.0906771458412,1689.3889160156255,713.0,401.0,1.0,,,,closed,03-transcript-R03-linq-aggregation-and-quantifiers.md,07-full-combined-final-transcript.md
IU-009,image-fff859333d20bf07e7dc817dacfa6a1fbc84c714,c47e3e959e9d.png,c47e3e959e9d,R02,309.8973905918963,1256.5000406901045,1253.0,401.0,1.0,,,,closed,02-transcript-R02-linq-grouping-and-joining.md,07-full-combined-final-transcript.md
IU-010,image-bc13b39b8dc319b1e232f3c9e83934b26ad1f241,4bdef7d60929.png,4bdef7d60929,R02,248.9438717067585,832.5000406901031,1027.0,401.0,1.0,,,,closed,02-transcript-R02-linq-grouping-and-joining.md,07-full-combined-final-transcript.md
IU-011,image-bb0688d4e3ba9c60763d7049a6afa8cd426bdef5,8634dcc61610.png,8634dcc61610,R01,10.0,10.0,1558.0,361.0,1.0,,,,closed,01-transcript-R01-linq-flattening-and-ordering.md,07-full-combined-final-transcript.md
IU-012,image-26b53c40ee9f631bc5ea4c6eb18455983d9a15f6,b5271d4d65f0.png,b5271d4d65f0,R01,190.60726432072477,384.50004069010447,962.0,401.0,1.0,,,,closed,01-transcript-R01-linq-flattening-and-ordering.md,07-full-combined-final-transcript.md
