source_id,image_use_id,fileId_short,image_file,status,stage0_group,theme,visible_text,notes
S-027,IU-027,7c889d55b7,S-027__7c889d55b7.png,verified-visible-ocr-assisted,MFA-R03,A) Razor Views (MVC),"A) Razor Views (MVC)
1) Views/Mfa/Enroll.cshtm1
Client-side QR generation using ‘grcode.js (same idea as the course).
> cshtml ia’)
@model MfaEnrollViewModel
@
ViewData[""Title""] = ""Enable MFA"";
}
<h2>Enable MFA</h2>
<p>Scan the QR code using an authenticator app (Google/Microsoft Authenticator, Authy).</p>
<div style=""display:flex; gap:24px; align-items:flex-start; flex-wrap:wrap;"">
<div>
<div id=""qrCode"" style=""padding:12px; border:1px solid #ccc; display: inline-block;""></div
<input type=""hidden"" id=""qrCodeUri"" value=""@Model.QrCodeUri"" />
</div>
,","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-028,IU-028,b13f3b8c33,S-028__b13f3b8c33.png,verified-visible-ocr-assisted,MFA-R03,Why we need to rewrite it (the core problem),"Why we need to rewrite it (the core problem)
In the “simple” enrollment flow, the server generates a TOTP secret on GET and then the browser sends that
secret back on POST (usually via hidden inputs or JSON). That's risky because:
* The browser is not trusted. A user can edit hidden inputs / JSON in DevTools.
* If the secret can be changed client-side, an attacker could:
* enroll MFA using a secret they control
* then generate valid codes forever
* Even if it's “their own account’, you still don’t want enrollment to be tamperable (it breaks security
guarantees and can create weird audit/recovery issues).
Fix: generate secret on the server, store it server-side as “pending enrollment”, and during POST only
accept the code (and device name). The server uses the stored secret to verify the code and then persists it.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-029,IU-029,1db6e01e3e,S-029__1db6e01e3e.png,verified-visible-ocr-assisted,MFA-R03,Controller-based implementation examples (MVC),"Controller-based implementation examples (MVC)
Below are clean, “controller style” examples that mirror the course flow:
+ Enrollment controller: generate secret > show OR ~ verify > store secret
* Login controller: password sign-in — if MFA required — verify code — sign in
I'll show this using Otp.NET (a common .NET TOTP library). If you prefer not to use a library, tell me and I'll
show the raw RFC approach—but library is the normal approach.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-030,IU-030,9d63f2a2a9,S-030__9d63f2a2a9.png,verified-visible-ocr-assisted,MFA-R03,Packages,"Packages

For TOTP verification I'll assume Otp.NET (common):
© OtpNet.Totp

© OtpNet.Base32Encoding","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-031,IU-031,e57dcd60a0,S-031__e57dcd60a0.png,verified-visible-ocr-assisted,MFA-R03,an,"an

<div style=""max-width:520px;"">
<h4>Manual setup key</h4>
<p>If you can’t scan, enter this key manually:</p>
<pre style=""padding:12px; background:#f5f5*5; border:1px solid #ddd;"">@Model .Secret</pre>
<p><strong>Issuer:</strong> @Model .Issuer</p>
<p><strong>Account:</strong> @Model . AccountName</p>

</div>

</div>","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-032,IU-032,1ca4326572,S-032__1ca4326572.png,verified-visible-ocr-assisted,MFA-R03,A) Database entities,"A) Database entities
PendingMfaEnrollment (one pending record per user)
” cH (a)
public class PendingMfaEnrollment
{
public Guid Id { get; set; } = Guid.NewGuid();
// enforce one pending enrollment per user
public Guid UserId { get; set; }
public AppUser User { get; set; } = default!;
// store protected secret (encrypt/protect)
public string ProtectedSecret { get; set; } = default!;
public DateTime CreatedUtc { get; set; } = DateTime.UtcNow;
public DateTime ExpiresUtc { get; set; }
// for concurrency / update safety (optior ~\
public string ConcurrencyStamp { get; set; V = Guid.NewGuid().ToString();
}","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-033,IU-033,dc530357ea,S-033__dc530357ea.png,verified-visible-ocr-assisted,MFA-R03,UserSecret (active authenticator devices),"UserSecret (active authenticator devices)
” cH (a)
public class UserSecret
{
public Guid Id { get; set; } = Guid.NewGuid();
public Guid UserId { get; set; }
public AppUser User { get; set; } = default!;
public string Name { get; set; } = default!;
public string ProtectedSecret { get; set; } = default!;
public bool IsActive { get; set; } = true;
public DateTime CreatedUtc { get; set; } = DateTime.UtcNow;
public string ConcurrencyStamp { get; set; } = Guid-NewGuid().ToString();
+","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-034,IU-034,0d51dc1dc2,S-034__0d51dc1dc2.png,verified-visible-ocr-assisted,MFA-R03,DbContext,"DbContext
” cH G
public class AppDbContext : DbContext
{
public DbSet<UserSecret> UserSecrets => Set<UserSecret>();
public DbSet<PendingMfaEnrollment> PendingMfaEnrollments => Set<PendingMfaEnrollment>();
protected override void OnModelCreating(ModelBuilder modelBuilder)
{
base.OnModelCreating(modelBuilder) ;
mode1Builder. Entity<PendingMfaEnrollment>()
-HasIndex(x => x-UserId)
-IsUnique();
+
+","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-035,IU-035,e372e25659,S-035__e372e25659.png,verified-visible-ocr-assisted,MFA-R03,2) Helpers: secret generation + otpauth URI,2) Helpers: secret generation + otpauth URI,"Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-036,IU-036,af235edcff,S-036__af235edcff.png,verified-visible-ocr-assisted,MFA-R03,Option 1 (recommended): random bytes — Base32 string,"Option 1 (recommended): random bytes — Base32 string
Code
o cH oO
using System. Security.Cryptography;
using OtpNet;
public static class TotpSecret
{
// 2@ bytes = 160 bits (common standard; plenty for TOTP)
public static string CreateBase32Secret(int byteLength = 20)
{
byte[] secretBytes = RandomNumberGenerator.GetBytes(byteLength) ;
return Base32Encoding.ToString(secretBytes); // Base32 text for QR/manual entry
}
}","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
