source_id,from_stage0,final_decision,ledger_region,ledger_status,correction_ok,reason
S-001,MFA-R02,MFA-R00,MFA-R00,processed-in-mfa-r00-foreign-stray-v001,yes,Non-MFA stray cards embedded in mfa.svg: Zod union/discriminated-union error examples. Accounted for so no source image is lost.
S-004,MFA-R02,MFA-R00,MFA-R00,processed-in-mfa-r00-foreign-stray-v001,yes,Non-MFA stray cards embedded in mfa.svg: Zod union/discriminated-union error examples. Accounted for so no source image is lost.
S-054,MFA-R05,MFA-R03,MFA-R03,processed-in-mfa-r03-v002-tail,yes,"Secret-generation tail: little-endian byte grouping, alphabet indexing with modulo, and why cryptographic random bytes are random enough."
S-057,MFA-R05,MFA-R03,MFA-R03,processed-in-mfa-r03-v002-tail,yes,"Secret-generation tail: little-endian byte grouping, alphabet indexing with modulo, and why cryptographic random bytes are random enough."
S-060,MFA-R05,MFA-R03,MFA-R03,processed-in-mfa-r03-v002-tail,yes,"Secret-generation tail: little-endian byte grouping, alphabet indexing with modulo, and why cryptographic random bytes are random enough."
S-077,MFA-R06,MFA-R05,MFA-R05,processed-in-mfa-r05-v001,yes,"ASP.NET MVC/API backend enrollment flow: view models, controller fields, pending secret upsert, protected storage, verification, active UserSecret persistence, and TOTP time-window tolerance."
S-079,MFA-R06,MFA-R05,MFA-R05,processed-in-mfa-r05-v001,yes,"ASP.NET MVC/API backend enrollment flow: view models, controller fields, pending secret upsert, protected storage, verification, active UserSecret persistence, and TOTP time-window tolerance."
S-056,MFA-R05,MFA-R06,MFA-R06,processed-in-mfa-r06-v001,yes,"React implementation: enrollment fetch, QRCodeCanvas rendering, manual key/account display, device/code form, submit handler, and completed state."
S-073,MFA-R05,MFA-R06,MFA-R06,processed-in-mfa-r06-v001,yes,"React implementation: enrollment fetch, QRCodeCanvas rendering, manual key/account display, device/code form, submit handler, and completed state."
S-081,MFA-R06,MFA-R07,MFA-R07,processed-in-mfa-r07-v001,yes,"Razor view implementation: Enroll.cshtml, antiforgery/form fields, manual key display, QR JavaScript rendering, validation scripts, and EnrollSuccess view."
S-083,MFA-R06,MFA-R07,MFA-R07,processed-in-mfa-r07-v001,yes,"Razor view implementation: Enroll.cshtml, antiforgery/form fields, manual key display, QR JavaScript rendering, validation scripts, and EnrollSuccess view."
