source_id,expected_stage,expected_region,expected_status,ledger_region,ledger_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,MFA Stage1,MFA-R00,processed-in-mfa-r00-foreign-stray-v001,MFA-R00,processed-in-mfa-r00-foreign-stray-v001,yes-for-mfa-r00-stage1,no-for-stage1-transcript,no,yes
S-002,MFA Stage1,MFA-R02,processed-in-mfa-r02-v001,MFA-R02,processed-in-mfa-r02-v001,yes-for-mfa-r02-stage1,no-for-stage1-transcript,no,yes
S-003,MFA Stage1,MFA-R01,processed-in-mfa-r01-v001,MFA-R01,processed-in-mfa-r01-v001,yes-for-mfa-r01-stage1,no-for-stage1-transcript,no,yes
S-004,MFA Stage1,MFA-R00,processed-in-mfa-r00-foreign-stray-v001,MFA-R00,processed-in-mfa-r00-foreign-stray-v001,yes-for-mfa-r00-stage1,no-for-stage1-transcript,no,yes
S-005,MFA Stage1,MFA-R01,processed-in-mfa-r01-v001,MFA-R01,processed-in-mfa-r01-v001,yes-for-mfa-r01-stage1,no-for-stage1-transcript,no,yes
S-006,MFA Stage1,MFA-R02,processed-in-mfa-r02-v001,MFA-R02,processed-in-mfa-r02-v001,yes-for-mfa-r02-stage1,no-for-stage1-transcript,no,yes
S-007,MFA Stage1,MFA-R01,processed-in-mfa-r01-v001,MFA-R01,processed-in-mfa-r01-v001,yes-for-mfa-r01-stage1,no-for-stage1-transcript,no,yes
S-008,MFA Stage1,MFA-R02,processed-in-mfa-r02-v001,MFA-R02,processed-in-mfa-r02-v001,yes-for-mfa-r02-stage1,no-for-stage1-transcript,no,yes
S-009,MFA Stage1,MFA-R02,processed-in-mfa-r02-v001,MFA-R02,processed-in-mfa-r02-v001,yes-for-mfa-r02-stage1,no-for-stage1-transcript,no,yes
S-010,MFA Stage1,MFA-R01,processed-in-mfa-r01-v001,MFA-R01,processed-in-mfa-r01-v001,yes-for-mfa-r01-stage1,no-for-stage1-transcript,no,yes
S-011,MFA Stage1,MFA-R02,processed-in-mfa-r02-v001,MFA-R02,processed-in-mfa-r02-v001,yes-for-mfa-r02-stage1,no-for-stage1-transcript,no,yes
S-012,MFA Stage1,MFA-R01,processed-in-mfa-r01-v001,MFA-R01,processed-in-mfa-r01-v001,yes-for-mfa-r01-stage1,no-for-stage1-transcript,no,yes
S-013,MFA Stage1,MFA-R02,processed-in-mfa-r02-v001,MFA-R02,processed-in-mfa-r02-v001,yes-for-mfa-r02-stage1,no-for-stage1-transcript,no,yes
S-014,MFA Stage1,MFA-R01,processed-in-mfa-r01-v001,MFA-R01,processed-in-mfa-r01-v001,yes-for-mfa-r01-stage1,no-for-stage1-transcript,no,yes
S-015,MFA Stage1,MFA-R02,processed-in-mfa-r02-v001,MFA-R02,processed-in-mfa-r02-v001,yes-for-mfa-r02-stage1,no-for-stage1-transcript,no,yes
