source_id,image_use_id,fileId_short,image_file,status,stage0_group,theme,visible_text,notes
S-003,IU-003,7af8538b22,S-003__7af8538b22.png,verified-visible-ocr-assisted,MFA-R01,What MFA is,"What MFA is

Multi-Factor Authentication (MFA) strengthens login by requiring at least two different factor types:
¢ Knowledge: something you know (password, PIN)
¢ Possession: something you have (phone/app, hardware key)
e Inherence: something you are (biometrics)

Goal: if the password is stolen, the attacker still can’t sign in.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-005,IU-005,ef967f0ae1,S-005__ef967f0ae1.png,verified-visible-ocr-assisted,MFA-R01,Common MFA approaches,"Common MFA approaches
1) Email OTP (one-time password via email)
How it works
¢ After password, server sends a short code to the user's email.
¢ User enters it to complete sign-in.
Pros
e Easy to implement
© No extra apps required
Cons / security notes
© Email access isn’t strongly tied to one device (email is accessible on many devices, can be forwarded,
phished, compromised).
¢ If. an attacker compromises email, OTP is useless.
¢ Delays / deliverability issues.
Use when
¢ Low/medium security apps, or as a fallback recovery mechanism.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-007,IU-007,38392ce371,S-007__38392ce371.png,verified-visible-ocr-assisted,MFA-R01,2) Authenticator app (TOTP) — most common software MFA,"2) Authenticator app (TOTP) — most common software MFA
This is the classic “Google Authenticator / Microsoft Authenticator / Authy” style code.
Key idea
© Server and authenticator share a secret key.
¢ App generates a 6-digit code based on:
e the secret key
© current time window (typically 30 seconds)
That code is a TOTP (Time-based One-Time Password).
Why it’s stronger than email OTP
¢ It proves possession of a device where the secret was provisioned.
¢ No dependency on email delivery.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-010,IU-010,36fc8b8491,S-010__36fc8b8491.png,verified-visible-ocr-assisted,MFA-R01,3) Push MFA (approve/deny),"3) Push MFA (approve/deny)

¢ Server sends a push notification; user taps approve.

© Convenient but requires provider/app ecosystem and robust anti-fatigue protections.
4) FIDO2 / WebAuthn (Passkeys, security keys)

¢ Strongest modern “possession” factor.

¢ Resistant to phishing (domain-bound cryptography).

* Best choice today when you can support it.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-012,IU-012,7290f2febf,S-012__7290f2febf.png,verified-visible-ocr-assisted,MFA-R01,TOTP MFA in detail (Authenticator App),"TOTP MFA in detail (Authenticator App)
A) Enrollment / registration flow (provisioning)
This is the step where the user adds your app to their authenticator.
1. Generate a secret
e You create a random secret for the user (high entropy).
¢ Avoid formats that include awkward URL characters for manual entry / QR payloads (Base64 often
includes + / =).
e Use a restricted alphabet (commonly Base32) so it’s easy to encode and type.
2. Create an “otpauth” URI
Authenticators expect a URI shaped like:
otpauth: //totp/{issuer}: {account} ?secret={secret }&issuer={issuer} fe’)","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-014,IU-014,3053a8b107,S-014__3053a8b107.png,verified-visible-ocr-assisted,MFA-R01,¢ issuer: your app/company name (“MyApp’”),"¢ issuer: your app/company name (“MyApp’”)

© account: user label (often email)

* secret: shared key (Base32)

¢ URL-encode label/issuer.

3. Show QR code

* You render the QR code containing that URI.

¢ Users scan it in the authenticator app.

© Often you also show the manual key as a backup.

4. User confirms by typing a generated code

¢ The user reads the 6-digit code from their app and submits it.

¢ Server verifies it against the secret.

¢ If valid - enrollment completed.

5. Store secret

* Store the user's secret in the database (preferably protected/encrypted).
* Optionally store metadata like device name (“My phone’) and allow multiple devices.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-016,IU-016,4cfae66955,S-016__4cfae66955.png,verified-visible-ocr-assisted,MFA-R01,B) Sign-in flow with TOTP MFA,"B) Sign-in flow with TOTP MFA
1. User signs in with username/password.
2. If MFA is enabled for that user -> show MFA challenge page.
3. User enters 6-digit code.
4. Server verifies code; if valid + completes sign-in.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-018,IU-018,9046a505aa,S-018__9046a505aa.png,verified-visible-ocr-assisted,MFA-R01,Data model patterns (two common designs),"Data model patterns (two common designs)
1) “Single secret per user” (simpler)
* One authenticator device per user (or same secret copied).
* Stored on the user table or a single MFA table.
2) “Multiple secrets per user” (more flexible)
Store secrets in a separate table like:
©  UserSecret :
. Id
¢  UserId
© Name (device label)
* Secret (protected value)
©  ConcurrencyStamp or version field","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-021,IU-021,d2414331b9,S-021__d2414331b9.png,verified-visible-ocr-assisted,MFA-R01,eee ee OE EEE,"eee ee OE EEE
Advantages:
* Multiple authenticators per user (phone + backup device)
* Ability to revoke one device without disabling MFA entirely","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-022,IU-022,b99c6cbc45,S-022__b99c6cbc45.png,verified-visible-ocr-assisted,MFA-R01,Implementation building blocks in ASP.NET Core,"Implementation building blocks in ASP.NET Core
1) Generating a safe secret
* Use RandomNumberGenerator .
* Use Base32 or a restricted alphabet so it’s compatible with authenticator tooling and manual entry.
2) QR rendering
Two options:
* Client-side: include a JS lib like grcode.js and render QR from a model field (easy).
* Server-side: generate QR image as PNG (more control, no JS dependency).
3) Verifying the TOTP code
Use a TOTP library (typical) or implement RFC logic.
Key points:
* Allow clock drift (+1 time step is common).
+ Rate-limit attempts to prevent brute force.
* Consider replay protection (optional but useful in high-security contexts).
|","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
