source_id,image_use_id,fileId_short,image_file,status,stage0_group,theme,visible_text,notes
S-055,IU-055,34226d57c3,S-055__34226d57c3.png,verified-visible-manual-read,MFA-R05,B) MVC (Razor) implementation,"B) MVC (Razor) implementation

ViewModels

Enroll GET VM includes manual key for display only:
public class MfaEnrollGetVm
{
    public string Issuer { get; set; } = default!;
    public string AccountName { get; set; } = default!;
    public string QrCodeUri { get; set; } = default!;
    // optional: show manual key to the user, but do NOT accept it back on POST
    public string ManualKey { get; set; } = default!;
}

Enroll POST VM has no secret:
public class MfaEnrollPostVm
{
    public string DeviceName { get; set; } = ""My phone"";
    public string Code { get; set; } = """";
}",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
S-058,IU-058,b8668b0b1e,S-058__b8668b0b1e.png,verified-visible-manual-read,MFA-R05,API Controller uses same DB pending table.,"API Controller uses same DB pending table.

Visible code:
using Microsoft.AspNetCore.Authorization;
using Microsoft.AspNetCore.Mvc;
using Microsoft.EntityFrameworkCore;
using OtpNet;

[Authorize]
[ApiController]
[Route(""api/mfa"")]
public class MfaApiController : ControllerBase
{
    private readonly AppDbContext _db;
    private readonly IUserContext _userContext;
    private readonly IDataProtector _protector;

    constructor receives AppDbContext, IUserContext, and IDataProtectionProvider.
}",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
S-059,IU-059,62c1c29259,S-059__62c1c29259.png,verified-visible-manual-read,MFA-R05,MfaController (DB-pending secret),"MfaController (DB-pending secret)

Visible code:
using Microsoft.AspNetCore.Authorization;
using Microsoft.AspNetCore.Mvc;
using Microsoft.EntityFrameworkCore;
using OtpNet;

[Authorize]
public class MfaController : Controller
{
    private readonly AppDbContext _db;
    private readonly IUserContext _userContext;
    private readonly IDataProtector _protector;
}",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
S-061,IU-061,008af801e9,S-061__008af801e9.png,verified-visible-manual-read,MFA-R05,API GET enrollment endpoint.,"API GET enrollment endpoint.

[HttpGet(""enroll"")]
public async Task<IActionResult> GetEnroll()
{
    var user = _userContext.GetCurrentUser();
    var issuer = ""MyApp"";
    var secret = CreateSecret();
    var now = DateTime.UtcNow;

    pending = await _db.PendingMfaEnrollments.SingleOrDefaultAsync(...);

    if pending is null:
        create PendingMfaEnrollment with UserId, protected secret, CreatedUtc, ExpiresUtc.
    otherwise update the pending record.
}",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
S-062,IU-062,573d9aa313,S-062__573d9aa313.png,verified-visible-manual-read,MFA-R05,MVC controller constructor and Enroll GET.,"MVC controller constructor and Enroll GET.

Constructor stores:
_db = db;
_userContext = userContext;
_protector = dp.CreateProtector(""mfa-secret-v1"");

[HttpGet]
public async Task<IActionResult> Enroll()

The GET flow:
- get current user;
- set issuer;
- create secret;
- store pending secret in DB with upsert/single-per-user behavior;
- protect the secret before storing.",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
S-063,IU-063,3d84fbb1d7,S-063__3d84fbb1d7.png,verified-visible-manual-read,MFA-R05,Continuation of pending enrollment update.,"Continuation of pending enrollment update.

If pending already exists:
- update ProtectedSecret;
- update CreatedUtc;
- update ExpiresUtc = now.AddMinutes(10);
- update ConcurrencyStamp.

Then SaveChangesAsync.

Return QR/manual data:
return Ok(new {
    issuer,
    accountName = user.Email,
    qrCodeUri = BuildOtpAuthUri(issuer, user.Email, secret),
    manualKey = secret
});",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
S-064,IU-064,6131621df4,S-064__6131621df4.png,verified-visible-manual-read,MFA-R05,MVC Enroll GET pending-secret upsert.,"MVC Enroll GET pending-secret upsert.

If pending is null:
- create PendingMfaEnrollment;
- set UserId, ProtectedSecret, CreatedUtc, ExpiresUtc;
- add to PendingMfaEnrollments.

Else:
- refresh protected secret, timestamps, concurrency stamp.

Then save changes and build otpauth URI.",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
S-065,IU-065,148627d551,S-065__148627d551.png,verified-visible-manual-read,MFA-R05,API request DTO:,"API request DTO:

public sealed class CompleteEnrollRequest
{
    public string DeviceName { get; set; } = ""My phone"";
    public string Code { get; set; } = default!;
}",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
S-066,IU-066,da1f07450d,S-066__da1f07450d.png,verified-visible-manual-read,MFA-R05,MVC Enroll GET returns view model.,"MVC Enroll GET returns view model.

Visible logic:
var vm = new MfaEnrollGetVm
{
    Issuer = issuer,
    AccountName = user.Email,
    QrCodeUri = uri,
    ManualKey = secret
};

return View(vm);",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
S-067,IU-067,9b11a7a41d,S-067__9b11a7a41d.png,verified-visible-manual-read,MFA-R05,API complete enrollment endpoint.,"API complete enrollment endpoint.

[HttpPost(""enroll"")]
public async Task<IActionResult> CompleteEnroll([FromBody] CompleteEnrollRequest req)

Flow:
- get current user and current time;
- load pending enrollment;
- reject if pending is missing or expired;
- unprotect pending secret;
- create Totp from Base32 decoded secret;
- verify submitted code;
- if invalid, return BadRequest;
- save active UserSecret;
- remove pending enrollment;
- save changes;
- return success.",Visible text manually read from source image/contact sheet; not an OCR-timeout/error placeholder.
