image_use_id,symbol_id,sha256,x,y,width,height,region,asset_file,status
IU-001,image-e7b594143894c0714d43c3627cd0a5f673b00109,6ff390f124e8d90a77d46d565240644590c41f5778ac244df4bab0a5418b85c7,2420.527072,612.241044,994.0,377.0,R01,source/images/image-e7b594143894c0714d43c3627cd0a5f673b00109.png,verified
IU-002,image-ec4e99074793631fb0cafce3bf2b664e4bb91628,eb17aa139cc19878b23c4cfb05667bb064298913b60b01ab1a958c2037fdb2e7,2423.609151,1075.559403,975.0,438.0,R01,source/images/image-ec4e99074793631fb0cafce3bf2b664e4bb91628.png,verified
IU-003,image-ebcc4666c471eaa0b50c6c9e491d7bb30b4bf583,83592e117e957784391fcacd58f838b9a49c8b3972608a243a7d712190821667,2424.942434,1523.150181,969.0,481.0,R01,source/images/image-ebcc4666c471eaa0b50c6c9e491d7bb30b4bf583.png,verified
IU-004,image-03ee8f9973b09d3a131b7aaab6aff68a4335f581,ff11f4e24eaa71cfc173b4495dce0b28f675c2c2a8b53a3ab6c62818d07f1e71,3668.290956,595.347252,882.0,456.0,R01,source/images/image-03ee8f9973b09d3a131b7aaab6aff68a4335f581.png,verified
IU-005,image-e55979c98da6505ef2a1085d5de125b4d48522f0,df2835c50d36f8ba88c7b93a0a1b5530bec52ccf905865ae9cd261fe61efad05,3678.457521,1103.847252,915.0,439.0,R01,source/images/image-e55979c98da6505ef2a1085d5de125b4d48522f0.png,verified
IU-006,image-eca1eeb00efa1538df21ec02cf0b16e3ed9a03b9,41cdcb66a669fe8470b9d46d0284083067a130c8a9371346d239badece2375cc,3681.457673,1575.847252,969.0,405.0,R01,source/images/image-eca1eeb00efa1538df21ec02cf0b16e3ed9a03b9.png,verified
IU-007,image-84f88958759f28dde1090bef515a848733ec63e1,97f07900e02696cd424099326c041da56cc4f8cb4ad0b2e1d7b5f08efefe7310,4863.258296,563.91447,879.0,462.0,R01,source/images/image-84f88958759f28dde1090bef515a848733ec63e1.png,verified
IU-008,image-bcb61bddf5c576dcd13fe8e0b652d934691a06ad,77304ee34dce7a8c8df2f876d3d66fa3ade0b7ca5dbe947c846c6c73775fa9bc,4882.712855,1086.490272,901.0,412.0,R01,source/images/image-bcb61bddf5c576dcd13fe8e0b652d934691a06ad.png,verified
IU-009,image-91146e729e5763c56efede2b9a879c3f591aa521,ea7ddc8135a875de5bd491a87f3b0ae3ae4ba3eb8942563c8c10e17ee60e92f3,4910.85933,1559.970385,855.0,482.0,R01,source/images/image-91146e729e5763c56efede2b9a879c3f591aa521.png,verified
IU-010,image-2fc30b67be959293c745b432a98890367ffce0c2,c469f841150e0e2e1103ed0850e6a632225d323634e68c20dde17cc289ddffa7,6068.912408,529.044482,880.0,482.0,R01,source/images/image-2fc30b67be959293c745b432a98890367ffce0c2.png,verified
IU-011,image-76629871a2461be0cf3091b8dcf68f66d24c4e06,634f3bec0182e2a5238c2cdef43d5ac689eb37e4d8407913d34995b8e2141173,6040.1678,1029.996908,961.0,409.0,R01,source/images/image-76629871a2461be0cf3091b8dcf68f66d24c4e06.png,verified
IU-012,image-4019495c018f7307a48a84c2d7cc7e2db03161c2,6d5388c323f2ea1ec1d6c4dc8a3219dac81c0fad7d52fbe5cb703edf4085bcfe,1553.303063,2922.354313,900.0,258.0,R02,source/images/image-4019495c018f7307a48a84c2d7cc7e2db03161c2.png,verified
IU-013,image-d9dd152abaa489194e66962f7cb3613bd9ccc81c,90c1082db16900c9e2a79ec3fae201ac1663d729b300f36f178eb75be179f8ec,1555.757756,2350.340704,894.0,482.0,R02,source/images/image-d9dd152abaa489194e66962f7cb3613bd9ccc81c.png,verified
IU-014,image-d6b8be0b7b2efd8c68d36e8ed9ceae68e1557dc4,c672ae1e6bd70df5aad6aef45fa8ecc515329064b1f0e6f9e9d9262dd91bc017,1553.527011,3370.00434,990.0,331.0,R02,source/images/image-d6b8be0b7b2efd8c68d36e8ed9ceae68e1557dc4.png,verified
IU-015,image-2488e1746df455f67e04fb090f8572c3dbd3db66,01c648e0e28e9533a39daa379fb3402822beb95bab5beb1214c26488f6788579,3734.257408,2364.167745,949.0,436.0,R02,source/images/image-2488e1746df455f67e04fb090f8572c3dbd3db66.png,verified
IU-016,image-a78c376278f4a6762c08975484c676a03d3a3630,36d3749db8e20f5d0d0e456ea7a392f9f24b2c86c8f5da34057776d4457cca1a,3753.201988,2832.445557,960.0,415.0,R02,source/images/image-a78c376278f4a6762c08975484c676a03d3a3630.png,verified
IU-017,image-1e94be7da6cad943bdce19cfdee8675a5f9d3aff,b3ecfc7874442bac5badf54a6544999229ecb5c13eaced90cde6f805d060d68b,4914.60593,2361.113566,998.0,441.0,R02,source/images/image-1e94be7da6cad943bdce19cfdee8675a5f9d3aff.png,verified
IU-018,image-0d9adbe8085ab8fd0e8bb427ab2b1fbc622a34f2,c510114ebe1d234aa085eab8e02d83db590babcdd55b8d8813157fa146b2fb9f,5968.283382,2393.908731,909.0,339.0,R02,source/images/image-0d9adbe8085ab8fd0e8bb427ab2b1fbc622a34f2.png,verified
IU-019,image-84600dbffc7c27346706f31c3e1221833df146ef,bae5a328193bd73b0c085b5b89ba0b8b2bb94fba99352b370cb1e08a93a441f5,5974.259631,2758.599178,878.0,322.0,R02,source/images/image-84600dbffc7c27346706f31c3e1221833df146ef.png,verified
IU-020,image-41b0cdbbbe2bedd2f25bd27148325a0548db3238,452b025c14bb58b3f2722ff802e62a892b1776a028a7c811901b767add81f07a,2646.848935,2459.207492,967.0,370.0,R02,source/images/image-41b0cdbbbe2bedd2f25bd27148325a0548db3238.png,verified
