source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,region_id,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close,final_audit_problem,final_audit_problem_reasons
S-001,1,6f24d1b51e05ca8011875494fcdc0e2399f3534f,6f24d1b51e,7974.254,547.627,691.0,368.0,0.0,1,R01,lock-monitor-mutual-exclusion-and-critical-section,P01-R01-R02,"lock/Monitor mental model: mutual exclusion, critical section, monitor enter/exit, object gate and why only one thread enters.","L-018: blocking | L-017: bad,fine | L-020: lock multistep oper | L-019: lock principle",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,no,
S-002,2,b98bb77387b66bb70feec593d40a379c268c8cb0,b98bb77387,7968.791,938.471,691.0,482.0,0.0,1,R01,lock-monitor-mutual-exclusion-and-critical-section,P01-R01-R02,"lock/Monitor mental model: mutual exclusion, critical section, monitor enter/exit, object gate and why only one thread enters.","L-018: blocking | L-020: lock multistep oper | L-017: bad,fine | L-019: lock principle",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,no,
S-003,3,60c0e654ca3e52216cd1db3092913a6e476d32b7,60c0e654ca,6829.622,2292.443,798.0,482.0,0.0,1,R01,lock-monitor-mutual-exclusion-and-critical-section,P01-R01-R02,"lock/Monitor mental model: mutual exclusion, critical section, monitor enter/exit, object gate and why only one thread enters.",L-021: object to hold(gate) | L-016: async semaphore | L-015: synch lock | L-018: blocking,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,no,
S-004,4,35161226fea14f60a86352f54393d2c8a2830645,35161226fe,6873.411,2807.11,700.0,482.0,0.0,1,R01,lock-monitor-mutual-exclusion-and-critical-section,P01-R01-R02,"lock/Monitor mental model: mutual exclusion, critical section, monitor enter/exit, object gate and why only one thread enters.",L-021: object to hold(gate) | L-016: async semaphore | L-015: synch lock | L-018: blocking,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,no,
S-005,5,6275f8250cbc983a65f27585cab27024f56eb67a,6275f8250c,8987.24,532.35,729.0,482.0,0.0,1,R01,lock-monitor-mutual-exclusion-and-critical-section,P01-R01-R02,"lock/Monitor mental model: mutual exclusion, critical section, monitor enter/exit, object gate and why only one thread enters.","L-020: lock multistep oper | L-019: lock principle | L-018: blocking | L-017: bad,fine",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,no,
S-006,6,5136bb304ad5a6fa5fb8105ddee29ea44ad90b71,5136bb304a,8982.394,1021.684,674.0,482.0,0.0,1,R01,lock-monitor-mutual-exclusion-and-critical-section,P01-R01-R02,"lock/Monitor mental model: mutual exclusion, critical section, monitor enter/exit, object gate and why only one thread enters.","L-020: lock multistep oper | L-019: lock principle | L-018: blocking | L-017: bad,fine",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,no,
S-007,7,57683a58d348137a105ca3d972b5e37cbee93138,57683a58d3,3680.875,424.009,638.0,482.0,0.0,1,R01,lock-monitor-mutual-exclusion-and-critical-section,P01-R01-R02,"lock/Monitor mental model: mutual exclusion, critical section, monitor enter/exit, object gate and why only one thread enters.","L-009: enter,exit,tryenter | L-001: monitor | L-010: tryenter with timeout | L-011: same thread can reenter",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,no,
S-008,8,fb9f2b622faa0dd5e35303282e462f93d011af7e,fb9f2b622f,3680.472,930.675,617.0,482.0,0.0,1,R01,lock-monitor-mutual-exclusion-and-critical-section,P01-R01-R02,"lock/Monitor mental model: mutual exclusion, critical section, monitor enter/exit, object gate and why only one thread enters.","L-009: enter,exit,tryenter | L-010: tryenter with timeout | L-001: monitor | L-011: same thread can reenter",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,no,
S-009,9,2e64f081ef4325ffa44efd6e19d01b5e0c886d8f,2e64f081ef,3615.559,1456.165,793.0,358.0,0.0,1,R02,monitor-wait-pulse-pulseall-and-condition-signaling,P01-R01-R02,"Monitor.Wait/Pulse/PulseAll condition signaling, releasing/reacquiring lock and producer-consumer style coordination.","L-011: same thread can reenter | L-012: when it holds the gate | L-009: enter,exit,tryenter | L-010: tryenter with timeout",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,no,
S-010,10,085c75eada60bbd9f4d2e2f71d2404a92a360755,085c75eada,4739.808,523.983,649.0,482.0,0.0,1,R02,monitor-wait-pulse-pulseall-and-condition-signaling,P01-R01-R02,"Monitor.Wait/Pulse/PulseAll condition signaling, releasing/reacquiring lock and producer-consumer style coordination.","L-010: tryenter with timeout | L-009: enter,exit,tryenter | L-001: monitor | L-016: async semaphore",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,no,
S-011,11,5c843c9b0113dc02a0aadc32b2ea00260e20f86a,5c843c9b01,4747.344,1034.75,767.0,443.0,0.0,1,R02,monitor-wait-pulse-pulseall-and-condition-signaling,P01-R01-R02,"Monitor.Wait/Pulse/PulseAll condition signaling, releasing/reacquiring lock and producer-consumer style coordination.","L-010: tryenter with timeout | L-009: enter,exit,tryenter | L-016: async semaphore | L-001: monitor",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,no,
