source_id,symbol_id,sha256,pixel_width,pixel_height,x,y,display_width,display_height,duplicate_of,image_file,transcript_status,question_status
S-001,image-b2c94f477333b23b141484f1695c706e6ff9e894,a4dc5e49f40f50bffd936f71c1144a8a0b34c1b5a88363da31c9737beb01d5b8,1148,287,0.0,0.0,1148.0,287.0,,source/images/S-001.png,complete-v002,complete-v002
S-002,image-37f14472e00a28115cffbdfa9278ce15222c18a3,5f3d951be9d70559543347c783d9ac9f529de267a4397a2cd8d5c2e4442d4a67,1348,241,0.0,0.0,1348.0,241.0,,source/images/S-002.png,complete-v002,complete-v002
S-003,image-0b9124d432aa7cc924b8a4493b74c453c7090160,600f17318678c30dbd0cf88636674335a8209d36b83f236b0594612b69fd0eca,1015,459,0.0,0.0,1015.0,459.0,,source/images/S-003.png,complete-v002,complete-v002
S-004,image-b1c1a39b5255da6bf3e956c7a17d013cb0f48d5f,977214372299dcb975717fb85e452947530b7dc673770e13182c65256d218a50,1397,174,0.0,0.0,1397.0,174.0,,source/images/S-004.png,complete-v002,complete-v002
S-005,image-fc0834627e81924ecd25c8196d32761a603504c5,59036bafb64907bcda825d42caa9bdf62af60b71b609ae4f5bd1e0043d40f93b,806,333,0.0,0.0,806.0,333.0,,source/images/S-005.png,complete-v002,complete-v002
S-006,image-913f05e502ab84ce79fd2c796bf1a1cc64efd5df,0d3062d04d2b85846db426838288740f29fe5fd9232cbff25adece4c9ccd0065,849,212,0.0,0.0,849.0,212.0,,source/images/S-006.png,complete-v002,complete-v002
S-007,image-3ace22f02b3db52346998013ec855c7b99127be0,7e98e0e310563342774b868686adc18b73cb8e907a80f36e3fa58b344f39dbfc,984,245,0.0,0.0,984.0,245.0,,source/images/S-007.png,complete-v002,complete-v002
S-008,image-c3a054fc7240e24565c3bfa230d1f341f3b1fb57,c656bf34d012c970d400309a44894d11b54cff7a4bad86a95d2d1fcc3211b23c,1279,484,0.0,0.0,1275.0,482.0,,source/images/S-008.png,complete-v002,complete-v002
S-009,image-303a03bed93bc67cc11ef25945491384b522a69c,309b6c543c9aa84f8c5dadde290f09f55f0f2178280e6c39304c8d8da4a4e117,1294,718,0.0,0.0,1304.0,724.0,,source/images/S-009.png,complete-v002,complete-v002
S-010,image-997c8c46c6db95192739b57bfefe82726e7aa2a9,ef7062c025062bf0c085bd14d8103d9aae653ac72083005cf69207a442016cd6,1010,243,0.0,0.0,1010.0,243.0,,source/images/S-010.png,complete-v002,complete-v002
S-011,image-759954f948336248bb10ca48663777c1e30cb33d,1b5081316873ba4904866149913d755eda3c5fa589e99b3a7c264a5b821d86f1,985,330,0.0,0.0,985.0,330.0,,source/images/S-011.png,complete-v002,complete-v002
