use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-b2c94f477333b23b141484f1695c706e6ff9e894,a4dc5e49f40f.png,a4dc5e49f40f,R01,52.105145961834296,10.0,1148.0,287.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-002,image-37f14472e00a28115cffbdfa9278ce15222c18a3,5f3d951be9d7.png,5f3d951be9d7,R01,10.0,923.6899941713737,1348.0,241.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-003,image-0b9124d432aa7cc924b8a4493b74c453c7090160,600f17318678.png,600f17318678,R01,41.41209784995772,421.3019740048976,1015.0,459.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-004,image-b1c1a39b5255da6bf3e956c7a17d013cb0f48d5f,977214372299.png,977214372299,R01,37.45701089634076,1191.7384678034687,1397.0,174.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-005,image-fc0834627e81924ecd25c8196d32761a603504c5,59036bafb649.png,59036bafb649,R01,77.62581445082014,1421.0110000222676,806.0,333.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-006,image-913f05e502ab84ce79fd2c796bf1a1cc64efd5df,0d3062d04d2b.png,0d3062d04d2b,R01,96.2068672464743,1824.4266399635053,849.0,212.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-007,image-3ace22f02b3db52346998013ec855c7b99127be0,7e98e0e31056.png,7e98e0e31056,R01,95.50889372293159,2045.444137097902,984.0,245.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-008,image-c3a054fc7240e24565c3bfa230d1f341f3b1fb57,c656bf34d012.png,c656bf34d012,R01,71.96597070612552,2312.7534674285776,1275.0,482.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-009,image-303a03bed93bc67cc11ef25945491384b522a69c,309b6c543c9a.png,309b6c543c9a,R01,47.01269130492983,2953.599686720785,1304.0,724.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-010,image-997c8c46c6db95192739b57bfefe82726e7aa2a9,ef7062c02506.png,ef7062c02506,R01,88.90246436295729,3761.2559977559413,1010.0,243.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
IU-011,image-759954f948336248bb10ca48663777c1e30cb33d,1b5081316873.png,1b5081316873,R01,80.06909033951979,4017.756119826254,985.0,330.0,1.0,,,,closed,01-transcript-R01-nested-resources-canonical-uris-and-tradeoffs.md,02-full-combined-final-transcript.md
