source_id,region,coverage_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-003,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-005,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-007,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-008,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-011,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-012,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-014,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-016,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-017,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-018,B32SEC-R01,processed-in-b32sec-r01-v001,yes-for-b32sec-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-019,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-020,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-021,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-022,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-023,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-024,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-025,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-026,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-027,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-028,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-029,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-030,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-031,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-032,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-033,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-034,B32SEC-R02,processed-in-b32sec-r02-v001,yes-for-b32sec-r02-stage1,no-for-stage1-semantic-transcript,no,yes
