idx,text,x,y,font_size
1,ADD STATUSCODEPAGES FOR 406/415 ETC,909.7994733914811,179.56056022566145,50.35899939903904px
2,OR,2294.8136418944196,189.36108481500514,53.185167100695274px
3,CREATE SOME ENDPOINTS FOR STATUS CODES,2652.183594574586,194.8311181182903,46.074110243056204px
4,can add check for status code and add more info about,2645.0926892507846,1172.1878041782352,20px
5,the initial path and what client does need to do,2645.0926892507846,1172.1878041782352,20px
6,(406 check accept 415 check content tyep),2645.0926892507846,1172.1878041782352,20px
7,cant add the exact,2033.376205247956,1250.940465207174,20px
8,reason to problem,2033.376205247956,1250.940465207174,20px
9,but can add useful details,2033.376205247956,1250.940465207174,20px
10,using Microsoft.AspNetCore.Mvc;,10.0,156.78062822910442,15.309236947791158px
11,using Microsoft.AspNetCore.WebUtilities;,10.0,156.78062822910442,15.309236947791158px
12,var builder = WebApplication.CreateBuilder(args);,10.0,156.78062822910442,15.309236947791158px
13,// MVC (or minimal APIs + services),10.0,156.78062822910442,15.309236947791158px
14,builder.Services.AddControllers();,10.0,156.78062822910442,15.309236947791158px
15,// ProblemDetails infrastructure,10.0,156.78062822910442,15.309236947791158px
16,builder.Services.AddProblemDetails();,10.0,156.78062822910442,15.309236947791158px
17,var app = builder.Build();,10.0,156.78062822910442,15.309236947791158px
18,app.UseRouting();,10.0,156.78062822910442,15.309236947791158px
19,app.UseWhen(,10.0,156.78062822910442,15.309236947791158px
20,"ctx => ctx.Request.Path.StartsWithSegments(""/api""),",10.0,156.78062822910442,15.309236947791158px
21,apiApp =>,10.0,156.78062822910442,15.309236947791158px
22,{,10.0,156.78062822910442,15.309236947791158px
23,apiApp.UseStatusCodePages(async statusCodeContext =>,10.0,156.78062822910442,15.309236947791158px
24,{,10.0,156.78062822910442,15.309236947791158px
25,var http = statusCodeContext.HttpContext;,10.0,156.78062822910442,15.309236947791158px
26,"// If headers/body already started, can't write a body safely",10.0,156.78062822910442,15.309236947791158px
27,if (http.Response.HasStarted),10.0,156.78062822910442,15.309236947791158px
28,return;,10.0,156.78062822910442,15.309236947791158px
29,var code = http.Response.StatusCode;,10.0,156.78062822910442,15.309236947791158px
30,// Only handle selected status codes,10.0,156.78062822910442,15.309236947791158px
31,if (code is not (,10.0,156.78062822910442,15.309236947791158px
32,StatusCodes.Status404NotFound or,10.0,156.78062822910442,15.309236947791158px
33,StatusCodes.Status405MethodNotAllowed or,10.0,156.78062822910442,15.309236947791158px
34,StatusCodes.Status406NotAcceptable or,10.0,156.78062822910442,15.309236947791158px
35,StatusCodes.Status415UnsupportedMediaType)),10.0,156.78062822910442,15.309236947791158px
36,{,10.0,156.78062822910442,15.309236947791158px
37,return;,10.0,156.78062822910442,15.309236947791158px
38,},10.0,156.78062822910442,15.309236947791158px
39,var factory = http.RequestServices.GetRequiredService<ProblemDetailsFactory>();,10.0,156.78062822910442,15.309236947791158px
40,var pdService = http.RequestServices.GetRequiredService<IProblemDetailsService>();,10.0,156.78062822910442,15.309236947791158px
41,var detail = code switch,10.0,156.78062822910442,15.309236947791158px
42,{,10.0,156.78062822910442,15.309236947791158px
43,StatusCodes.Status404NotFound =>,10.0,156.78062822910442,15.309236947791158px
44,"""Endpoint not found."",",10.0,156.78062822910442,15.309236947791158px
45,StatusCodes.Status405MethodNotAllowed =>,10.0,156.78062822910442,15.309236947791158px
46,"""HTTP method not allowed for this endpoint."",",10.0,156.78062822910442,15.309236947791158px
47,StatusCodes.Status406NotAcceptable =>,10.0,156.78062822910442,15.309236947791158px
48,"""The requested response media type is not acceptable. Check the Accept header."",",10.0,156.78062822910442,15.309236947791158px
49,StatusCodes.Status415UnsupportedMediaType =>,10.0,156.78062822910442,15.309236947791158px
50,"""The request media type is unsupported. Check the Content-Type header."",",10.0,156.78062822910442,15.309236947791158px
51,_ => null,10.0,156.78062822910442,15.309236947791158px
52,};,10.0,156.78062822910442,15.309236947791158px
53,var pd = factory.CreateProblemDetails(,10.0,156.78062822910442,15.309236947791158px
54,"httpContext: http,",10.0,156.78062822910442,15.309236947791158px
55,"statusCode: code,",10.0,156.78062822910442,15.309236947791158px
56,"title: ReasonPhrases.GetReasonPhrase(code),",10.0,156.78062822910442,15.309236947791158px
57,"type: $""https://httpstatuses.com/{code}"",",10.0,156.78062822910442,15.309236947791158px
58,"detail: detail,",10.0,156.78062822910442,15.309236947791158px
59,instance: http.Request.Path,10.0,156.78062822910442,15.309236947791158px
60,);,10.0,156.78062822910442,15.309236947791158px
61,// Safe writer (content-negotiates across registered ProblemDetails writers),10.0,156.78062822910442,15.309236947791158px
62,var written = await pdService.TryWriteAsync(new ProblemDetailsContext,10.0,156.78062822910442,15.309236947791158px
63,{,10.0,156.78062822910442,15.309236947791158px
64,"HttpContext = http,",10.0,156.78062822910442,15.309236947791158px
65,ProblemDetails = pd,10.0,156.78062822910442,15.309236947791158px
66,});,10.0,156.78062822910442,15.309236947791158px
67,if (!written),10.0,156.78062822910442,15.309236947791158px
68,{,10.0,156.78062822910442,15.309236947791158px
69,// Fallback if no ProblemDetails writer is registered for the request,10.0,156.78062822910442,15.309236947791158px
70,"http.Response.ContentType = ""application/problem+json; charset=utf-8"";",10.0,156.78062822910442,15.309236947791158px
71,await http.Response.WriteAsJsonAsync(pd);,10.0,156.78062822910442,15.309236947791158px
72,},10.0,156.78062822910442,15.309236947791158px
73,});,10.0,156.78062822910442,15.309236947791158px
74,});,10.0,156.78062822910442,15.309236947791158px
75,app.MapControllers();,10.0,156.78062822910442,15.309236947791158px
76,app.Run();,10.0,156.78062822910442,15.309236947791158px
77,STATUSCODEPAGES WITH ADDPROBLEMDETAILS,4476.216176993755,10.0,63.010389422892686px
