idx,text,x,y,font_size,region,status
1,ADD STATUSCODEPAGES FOR 406/415 ETC,909.7994733914811,179.56056022566145,50.35899939903904px,R01,closed-by-stage1-final-coverage
2,OR,2294.8136418944196,189.36108481500514,53.185167100695274px,R01,closed-by-stage1-final-coverage
3,CREATE SOME ENDPOINTS FOR STATUS CODES,2652.183594574586,194.8311181182903,46.074110243056204px,R02,closed-by-stage1-final-coverage
4,can add check for status code and add more info about,2645.0926892507846,1172.1878041782352,20px,R02,closed-by-stage1-final-coverage
5,the initial path and what client does need to do,2645.0926892507846,1172.1878041782352,20px,R02,closed-by-stage1-final-coverage
6,(406 check accept 415 check content tyep),2645.0926892507846,1172.1878041782352,20px,R02,closed-by-stage1-final-coverage
7,cant add the exact,2033.376205247956,1250.940465207174,20px,R01,closed-by-stage1-final-coverage
8,reason to problem,2033.376205247956,1250.940465207174,20px,R01,closed-by-stage1-final-coverage
9,but can add useful details,2033.376205247956,1250.940465207174,20px,R01,closed-by-stage1-final-coverage
10,using Microsoft.AspNetCore.Mvc;,10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
11,using Microsoft.AspNetCore.WebUtilities;,10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
12,var builder = WebApplication.CreateBuilder(args);,10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
13,// MVC (or minimal APIs + services),10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
14,builder.Services.AddControllers();,10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
15,// ProblemDetails infrastructure,10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
16,builder.Services.AddProblemDetails();,10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
17,var app = builder.Build();,10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
18,app.UseRouting();,10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
19,app.UseWhen(,10.0,156.78062822910442,15.309236947791158px,R01,closed-by-stage1-final-coverage
