idx,symbol_id,file_sha,x,y,w,h,rot
1,image-8c9a4b85739447b16e2477d615bfd60bd0941b84,c9ff75b542,2471.1894179463616,315.5537414099758,932.0,222.0,0.0
2,image-9707c7063c22afe3a6072620abbe4a96139702e2,dbda223685,2477.0226698994866,583.8870543982571,835.0,72.0,0.0
3,image-da1af6111d2779a2d214d15332242f100832d165,ae3e1ac2e8,2554.406125289867,1267.4040176039125,778.0,406.0,0.0
4,image-f99cb5397f5f4877c7266eb5a1417f59ca0cb81b,18b3622b47,2475.689295876049,757.8870543982571,771.0,340.0,0.0
5,image-2687fdf21df9c3f1aed479639f4c44327df80582,5b98d5266d,1321.7246618422778,319.0967903945749,760.0,482.0,0.0
6,image-40a2068aa4c84aab2e6b250166aad53c5bc49486,082329db10,1279.7744383923728,1265.4897823324966,801.0,413.0,0.0
7,image-276f35e5d5dce3e92e3581d217a9540b929abfa1,bad30f660f,1348.7529037264753,807.2557201333614,705.0,428.0,0.0
8,image-5d3cba0972992fa338176fae6d2d82b48bb3df9e,c037ba6d0d,4598.60733144514,1587.3993898739245,854.0,177.0,0.0
9,image-e987bea020a29086366921d3a7bdd6dbb52fa9dd,ee58acd815,4659.77795725463,1057.4162505588918,806.0,482.0,0.0
10,image-62b27c92c7a3cc03023084ac4c921cd1083ff786,67f77d96e2,4567.068365980562,582.239065500298,849.0,446.0,0.0
11,image-bfc47f7a4cbf7618d35eee9c5fe0738f67638532,fd92dde4e1,4468.512946058687,331.35021051982926,895.0,210.0,0.0
12,image-299a3da8f33aedf6d684d528a07f5d0b35b682df,1b97662abb,4541.082337053017,1892.6483776944594,1019.0,443.0,0.0
