region,source_id,image_use_id,file_id,image_file,x,y,width,height,theme,stage1_status,region_description
R01,S-001,IU-001,aa8b150f3a,source/images/aa8b150f3a.png,3419.483,182.796,1093.0,177.0,alternate key concept / readonly key,verified-semantic-transcript,"alternate key concept, alternate key vs primary key, readonly key notes"
R01,S-002,IU-002,b28b2967b0,source/images/b28b2967b0.png,4798.835,198.574,994.0,445.0,alternate key concept / readonly key,verified-semantic-transcript,"alternate key concept, alternate key vs primary key, readonly key notes"
R01,S-003,IU-003,a62399fe79,source/images/a62399fe79.png,3428.335,392.407,1043.0,220.0,alternate key concept / readonly key,verified-semantic-transcript,"alternate key concept, alternate key vs primary key, readonly key notes"
R01,S-004,IU-004,5c9b02a38e,source/images/5c9b02a38e.png,3407.669,638.907,1103.0,471.0,alternate key concept / readonly key,verified-semantic-transcript,"alternate key concept, alternate key vs primary key, readonly key notes"
R01,S-005,IU-005,7afb669a65,source/images/7afb669a65.png,4757.669,663.574,1087.0,435.0,alternate key concept / readonly key,verified-semantic-transcript,"alternate key concept, alternate key vs primary key, readonly key notes"
R01,S-006,IU-006,ad4804dd8f,source/images/ad4804dd8f.png,1529.457,965.479,1019.0,482.0,alternate key concept / readonly key,verified-semantic-transcript,"alternate key concept, alternate key vs primary key, readonly key notes"
R01,S-007,IU-007,2752b7bc7c,source/images/2752b7bc7c.png,3359.011,1215.288,1111.0,303.0,alternate key concept / readonly key,verified-semantic-transcript,"alternate key concept, alternate key vs primary key, readonly key notes"
R01,S-008,IU-008,f777190ccd,source/images/f777190ccd.png,1501.299,1456.301,1121.0,394.0,alternate key concept / readonly key,verified-semantic-transcript,"alternate key concept, alternate key vs primary key, readonly key notes"
R02,S-009,IU-009,8f6d6125ad,source/images/8f6d6125ad.png,3355.011,1533.288,1135.0,387.0,relationship target / foreign key to non-PK,verified-semantic-transcript,"foreign key target on non-primary-key property, relationship target semantics"
R02,S-010,IU-010,381d080948,source/images/381d080948.png,5116.21,1690.633,1163.0,244.0,relationship target / foreign key to non-PK,verified-semantic-transcript,"foreign key target on non-primary-key property, relationship target semantics"
R02,S-011,IU-011,6379d1fee6,source/images/6379d1fee6.png,1470.132,1847.968,1186.0,168.0,relationship target / foreign key to non-PK,verified-semantic-transcript,"foreign key target on non-primary-key property, relationship target semantics"
R02,S-012,IU-012,441b2874ab,source/images/441b2874ab.png,3335.844,1929.621,1096.0,181.0,relationship target / foreign key to non-PK,verified-semantic-transcript,"foreign key target on non-primary-key property, relationship target semantics"
R02,S-013,IU-013,67e7bd8250,source/images/67e7bd8250.png,5129.877,1956.3,1077.0,470.0,relationship target / foreign key to non-PK,verified-semantic-transcript,"foreign key target on non-primary-key property, relationship target semantics"
R02,S-014,IU-014,9977567412,source/images/9977567412.png,1472.465,2010.635,1096.0,416.0,relationship target / foreign key to non-PK,verified-semantic-transcript,"foreign key target on non-primary-key property, relationship target semantics"
R02,S-015,IU-015,93eec5cb8b,source/images/93eec5cb8b.png,3322.844,2122.788,1194.0,384.0,relationship target / foreign key to non-PK,verified-semantic-transcript,"foreign key target on non-primary-key property, relationship target semantics"
R02,S-016,IU-016,6a7e261de6,source/images/6a7e261de6.png,5107.59,2428.81,983.0,482.0,relationship target / foreign key to non-PK,verified-semantic-transcript,"foreign key target on non-primary-key property, relationship target semantics"
R03,S-017,IU-017,98c82c30a4,source/images/98c82c30a4.png,1471.632,2431.135,1087.0,407.0,HasPrincipalKey configuration examples,verified-semantic-transcript,"HasPrincipalKey configuration, relationship examples, constraints/caveats"
R03,S-018,IU-018,1ada81e80a,source/images/1ada81e80a.png,3281.011,2548.954,1115.0,281.0,HasPrincipalKey configuration examples,verified-semantic-transcript,"HasPrincipalKey configuration, relationship examples, constraints/caveats"
R03,S-019,IU-019,1fde869463,source/images/1fde869463.png,1453.465,2847.802,1062.0,467.0,HasPrincipalKey configuration examples,verified-semantic-transcript,"HasPrincipalKey configuration, relationship examples, constraints/caveats"
R03,S-020,IU-020,e9ad9bf099,source/images/e9ad9bf099.png,5092.535,2930.143,1024.0,482.0,HasPrincipalKey configuration examples,verified-semantic-transcript,"HasPrincipalKey configuration, relationship examples, constraints/caveats"
R03,S-021,IU-021,004232f3af,source/images/004232f3af.png,1451.965,3321.135,793.0,379.0,HasPrincipalKey configuration examples,verified-semantic-transcript,"HasPrincipalKey configuration, relationship examples, constraints/caveats"
R03,S-022,IU-022,9c0f57c1f2,source/images/9c0f57c1f2.png,5105.043,3482.633,1124.0,156.0,HasPrincipalKey configuration examples,verified-semantic-transcript,"HasPrincipalKey configuration, relationship examples, constraints/caveats"
R03,S-023,IU-023,6cd448abd0,source/images/6cd448abd0.png,1430.465,3711.968,1116.0,440.0,HasPrincipalKey configuration examples,verified-semantic-transcript,"HasPrincipalKey configuration, relationship examples, constraints/caveats"
R03,S-024,IU-024,935daf5a20,source/images/935daf5a20.png,10.0,3815.057,1061.0,256.0,HasPrincipalKey configuration examples,verified-semantic-transcript,"HasPrincipalKey configuration, relationship examples, constraints/caveats"
