check,passed
canonical_svg_present,True
asset_count_matches_symbols,True
image_use_count_matches_svg,True
every_image_use_has_asset,True
every_image_use_has_sha,True
every_image_use_assigned_once,True
physical_text_count_matches_svg,True
nonempty_text_count_matches_coverage,True
every_nonempty_text_assigned_once,True
all_region_transcripts_present,True
full_preview_present,True
contact_sheets_present,True
missing_images_zero,True
unreviewed_images_zero,True
missing_text_zero,True
unreviewed_text_zero,True
