text_node_id,text,x,y,font_size,region,is_empty,status
T-001,positional / nonpositional props,486.862848,5903.475957,113.3333129882812,R02,False,verified
T-002,record class,2580.361861,4791.214769,88.75771859877909,R02,False,verified
T-003,record struct vs record class,3353.980357,4628.092474,52.29630194769967,R02,False,verified
T-004,large structs copying cost,3353.980357,4693.462851,52.29630194769967,R02,False,verified
T-005,large structs copying inside objects of heap vs /,3353.980357,4758.833229,52.29630194769967,R02,False,verified
T-006,same reference for complex typex that are immutable,3353.980357,4824.203606,52.29630194769967,R02,False,verified
T-007,passing struct into method,4855.58548,4579.109738,87.46663818359374,R03,False,verified
T-008,ref in out,4855.58548,4688.443035,87.46663818359374,R03,False,verified
T-009,when prefer ref type with,3693.161274,5740.321896,87.46663818359374,R03,False,verified
T-010,value equality?,3693.161274,5849.655194,87.46663818359374,R03,False,verified
T-011,copying cost,3704.070365,6811.837066,87.46663818359374,R03,False,verified
T-012,structs may be bigger than refs,3495.58548,7314.86735,87.46663818359374,R02,False,verified
T-013,when structs are good,3503.312752,8640.624963,87.46663818359374,R02,False,verified
T-014,copying structs with additional changes with,2304.107962,6710.611099,44.296278211805564,R02,False,verified
T-015,WITH,2304.107962,6765.981447,44.296278211805564,R02,False,verified
T-016,are structs stack only,5048.672782,7086.695345,103.55550130208336,R03,False,verified
T-017,when using for value objects as complex types,6332.005912,4735.457142,100.88887532552071,R04,False,verified
T-018,!= ==,317.113288,1006.010637,91.46669921875002,R01,False,verified
T-019,what is built in in records,630.869086,168.58,180.00000000000006,R01,False,verified
T-020,can records have methods,948.887652,2418.948841,48.266674804687504,R01,False,verified
T-021,and private props,948.887652,2479.282185,48.266674804687504,R01,False,verified
T-022,record vs class decision,839.116582,3998.701139,116.60445811669439,R01,False,verified
