label_id,text,candidate_region,final_region,status,transcript_file,open_issue
T-001,positional / nonpositional props,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-018,!= ==,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-019,what is built in in records,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-020,can records have methods,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-021,and private props,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-022,record vs class decision,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-002,record class,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-003,record struct vs record class,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-004,large structs copying cost,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-005,large structs copying inside objects of heap vs /,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-006,same reference for complex typex that are immutable,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-009,when prefer ref type with,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-010,value equality?,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-011,copying cost,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-012,structs may be bigger than refs,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-013,when structs are good,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-014,copying structs with additional changes with,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-015,WITH,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-007,passing struct into method,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-008,ref in out,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-016,are structs stack only,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-017,when using for value objects as complex types,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
