use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-001,image-a7fd1a966a1d8c01ebc092d2e04b0e76cd96a46e,5e7de048eb81.png,5e7de048eb81,R01,77.43745391845187,10.0,1086.0,134.0,1.0,,T-001,!!!,closed,01-transcript-R01-case-insensitive-comparison-methods-and-collations.md,05-full-combined-final-transcript.md
IU-002,image-fc5bf8b540c4c5b5a5a0a60d4a8adb242de801a3,7921c89a8e9f.png,7921c89a8e9f,R01,10.0,409.01566660875324,1095.0,295.0,1.0,,T-001,!!!,closed,01-transcript-R01-case-insensitive-comparison-methods-and-collations.md,05-full-combined-final-transcript.md
IU-003,image-c95f71f69129d5a052024013aa1a4fdb2679f665,83f51d113adf.png,83f51d113adf,R01,36.16108602690383,890.9739875652049,1018.0,262.0,1.0,,T-001,!!!,closed,01-transcript-R01-case-insensitive-comparison-methods-and-collations.md,05-full-combined-final-transcript.md
IU-004,image-9b214d85f5f218e659e761c0caf9728696d7c8f9,51b61d9cef88.png,51b61d9cef88,R02,55.28405556166035,1297.4325295425297,1014.0,299.0,1.0,,T-001,!!!,closed,02-transcript-R02-charindex-wildcard-escaping-and-practical-notes.md,05-full-combined-final-transcript.md
IU-005,image-e949cc40300cbace24f401c6dd1c02cd1028b577,c2230b0e2602.png,c2230b0e2602,R02,29.520186548189486,1685.6476652125602,1061.0,362.0,1.0,,T-001,!!!,closed,02-transcript-R02-charindex-wildcard-escaping-and-practical-notes.md,05-full-combined-final-transcript.md
IU-006,image-dce80ee02a4c47011ffe96ddbffb576e80416179,0bf8a103f267.png,0bf8a103f267,R02,49.39591179253898,2158.65521090708,1021.0,328.0,1.0,,T-001,!!!,closed,02-transcript-R02-charindex-wildcard-escaping-and-practical-notes.md,05-full-combined-final-transcript.md
IU-007,image-1bc7a5d004cac683f491efe0d29913f33df94092,5023f0f8f6bc.png,5023f0f8f6bc,R04,48.033803830253646,4297.850069368992,1047.0,267.0,1.0,,T-001,!!!,closed,04-transcript-R04-sargability-and-applying-collate-without-losing-indexes.md,05-full-combined-final-transcript.md
IU-008,image-5ea83fccd9986cefd53e51525193d6653620b634,5da10782853f.png,5da10782853f,R04,47.20046032439518,3807.961183870945,1040.0,427.0,1.0,,T-001,!!!,closed,04-transcript-R04-sargability-and-applying-collate-without-losing-indexes.md,05-full-combined-final-transcript.md
IU-009,image-8a2f2f66c1b41e3323127f1d45583e2b4559abe5,c1b1dc1b6267.png,c1b1dc1b6267,R04,34.533803830254556,3533.461092318211,972.0,206.0,1.0,,T-001,!!!,closed,04-transcript-R04-sargability-and-applying-collate-without-losing-indexes.md,05-full-combined-final-transcript.md
IU-010,image-e0e68fec7e988f667dc76284bda0c20f24f552c0,1ffee6d29c61.png,1ffee6d29c61,R03,33.2666330907025,2496.05383184729,1023.0,316.0,1.0,,T-001,!!!,closed,03-transcript-R03-predicate-fundamentals-and-optimizer-properties.md,05-full-combined-final-transcript.md
IU-011,image-01aaef22ae5254dd630f13344aa6a82217f63abc,2cc44d101c38.png,2cc44d101c38,R03,37.38296948935681,2856.339509318149,939.0,374.0,1.0,,T-001,!!!,closed,03-transcript-R03-predicate-fundamentals-and-optimizer-properties.md,05-full-combined-final-transcript.md
