source_id,image_use,file_sha,x,y,width,height,region,status,notes
S-001,IU-001,4e4cd8f341,2881.1758831683132,487.0154815797896,520.0,430.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-002,IU-002,e6f2d0a770,2851.7239780496134,915.5869537477583,661.0,430.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-003,IU-003,8a544c69d4,2829.288591130266,1373.6821337142928,687.0,430.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-004,IU-004,bae7f20d0a,2823.6594087037324,1840.1821337142928,675.0,177.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-005,IU-005,18aabf1e75,3822.461413716265,1067.0154815798041,529.0,430.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-006,IU-006,6424de8d4a,3837.3933249030065,1546.0630715630714,579.0,430.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-007,IU-007,1a30bbb616,3808.2785144515015,2023.110748739421,761.0,394.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-008,IU-008,469f9e9b4d,3766.8261044347596,2473.6583387226738,882.0,291.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-009,IU-009,1e384c2c20,2843.872459247072,3489.434669994781,891.0,99.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-010,IU-010,ebecf904ab,5920.355263528855,1733.1744220078663,989.0,482.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-011,IU-011,dca51e02d7,5962.690661478977,354.84113953716314,1048.0,482.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-012,IU-012,63a0099b87,5917.666487339225,826.9973132432178,948.0,458.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-013,IU-013,96be957fa9,5902.499769809928,1319.3306720078663,995.0,400.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-014,IU-014,7f747520bb,5083.210699011763,389.5288012911833,795.0,482.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-015,IU-015,595a411c90,38.03979649351368,934.4214565393077,914.0,300.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-016,IU-016,b942facbcd,10.0,408.1137838652967,769.0,482.0,R01,closed-by-final-v001,Covered by final transcript v001.
S-017,IU-017,b455801b26,68.50956744521864,1746.3306029348778,567.0,218.0,R02,closed-by-final-v001,Covered by final transcript v001.
S-018,IU-018,1365e832de,36.46411289976368,1336.6336147424327,922.0,378.0,R01,closed-by-final-v001,Covered by final transcript v001.
