label_id,text,x,y,font_size,candidate_region,status,notes
T-001,methods,6967.400815402711,235.19130782259617,138.04482615755376px,R02,pending-transcript,
T-002,!!!,1272.700336242453,7941.119210212831,83.99999999999999px,R01,pending-transcript,
T-003,caveat in stampede protection with semaphoreslim,966.0634918231563,10.0,70.66668701171874px,R01,pending-transcript,
T-004,stampede protection impelmentation with lazy,966.0634918231563,10.0,70.66668701171874px,R01,pending-transcript,
T-005,basic theo,8636.632768162666,61.297249485111024,144.44449869791714px,R02,pending-transcript,
T-006,getor add with stampede protection simaphoreslim,3745.0388891446983,62.248543411648825,94.66666666666639px,R01,pending-transcript,
T-007,remove from cache,9647.142781581508,1006.4136764783348,145.06076695040463px,R02,pending-transcript,
T-008,setup,8690.323134410872,1139.5881016361832,87.52840413498924px,R02,pending-transcript,
T-009,lazy strampede protection,1208.1050804369743,3834.606273454999,115.00295346459168px,R01,pending-transcript,
T-010,in sem slim implementation,235.67316317686436,1170.0676227798695,45.45821472341342px,R01,pending-transcript,
T-011,how we can end up with 2 sem slims,235.67316317686436,1170.0676227798695,45.45821472341342px,R01,pending-transcript,
T-012,and 2 factory calls,235.67316317686436,1170.0676227798695,45.45821472341342px,R01,pending-transcript,
T-013,"after the first factory call,",278.5877198818407,1396.9927911304958,20px,R01,pending-transcript,
T-014,after someone acquired the gate,278.5877198818407,1396.9927911304958,20px,R01,pending-transcript,
T-015,we will check for cache,278.5877198818407,1396.9927911304958,20px,R01,pending-transcript,
T-016,but there will be a cache only if there was no error,278.5877198818407,1396.9927911304958,20px,R01,pending-transcript,
T-017,can run in parallel,2804.0174975194705,1782.489916729528,44.674879495729414px,R01,pending-transcript,
T-018,2 factories,2804.0174975194705,1782.489916729528,44.674879495729414px,R01,pending-transcript,
T-019,but only in case of error because,2804.0174975194705,1782.489916729528,44.674879495729414px,R01,pending-transcript,
T-020,when one frees the shit and,2804.0174975194705,1782.489916729528,44.674879495729414px,R01,pending-transcript,
T-021,removes it means that it,2804.0174975194705,1782.489916729528,44.674879495729414px,R01,pending-transcript,
T-022,has ran the factory once,2804.0174975194705,1782.489916729528,44.674879495729414px,R01,pending-transcript,
T-023,!!!!,3147.7456237194174,1524.9790378979578,130.69741584663626px,R01,pending-transcript,
