label_id,text,candidate_region,final_region,status,transcript_file,open_issue
T-002,!!!,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-003,caveat in stampede protection with semaphoreslim,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-004,stampede protection impelmentation with lazy,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-006,getor add with stampede protection simaphoreslim,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-009,lazy strampede protection,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-010,in sem slim implementation,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-011,how we can end up with 2 sem slims,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-012,and 2 factory calls,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-013,"after the first factory call,",R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-014,after someone acquired the gate,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-015,we will check for cache,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-016,but there will be a cache only if there was no error,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-017,can run in parallel,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-018,2 factories,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-019,but only in case of error because,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-020,when one frees the shit and,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-021,removes it means that it,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-022,has ran the factory once,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-023,!!!!,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-001,methods,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-005,basic theo,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-007,remove from cache,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-008,setup,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
