source_id,image_use_id,region,symbol_id,file_sha256,file_id,image_file,x,y,width,height,theme
S-001,IU-001,R01,image-9f9db2945b6560d69c038e438041282b3acab1a9,ec574fa8b8b0d65d883eb340e7aae1d74bb1aacb0868d5bf38029e4d277fe13d,ec574fa8b8,source/images/ec574fa8b8.png,2237.252,214.845,780.0,512.0,middleware basics / request pipeline / order
S-002,IU-002,R01,image-a6ebe19d90884e73c505c649942de86b29a0877f,c88a50fa73bb6f09a37305e0b520f624bf7ad318d4fd484ef57c683c9c57d720,c88a50fa73,source/images/c88a50fa73.png,2243.908,728.837,750.0,172.0,middleware basics / request pipeline / order
S-003,IU-003,R01,image-323c4f376925deeedbc38fabfb56952f37824316,9c466b821fa4626311b5864af613ec985fd7ff08f7002d6e309c57f63f128cbf,9c466b821f,source/images/9c466b821f.png,1085.598,886.272,956.0,420.0,middleware basics / request pipeline / order
S-004,IU-004,R01,image-00e565607bcedd1486118f2254c84f695afebfa2,25c0cda4bda6fd96e8e8257ab7676c114429b0d419e78279af453cf4d8d0cd82,25c0cda4bd,source/images/25c0cda4bd.png,3164.013,995.032,925.0,77.0,middleware basics / request pipeline / order
S-005,IU-005,R01,image-6ea0edff511a1202fa7bbad91ebbec75404aa697,0521cca84f5017c9ce771d080aa12edbe67e8b4cfdce8ec9c04ce1f72fd5528d,0521cca84f,source/images/0521cca84f.png,4066.595,1290.942,740.0,200.0,middleware basics / request pipeline / order
S-006,IU-006,R01,image-bdd64db1cbe11b7e8b6fb2ae06ff0f287ea5c856,9fe5d1e1bc5351751899d381f99705cc24dae5d23ed7b1a17060aca6b41513e3,9fe5d1e1bc,source/images/9fe5d1e1bc.png,1036.073,1397.339,985.0,482.0,middleware basics / request pipeline / order
S-007,IU-007,R01,image-053cfbe1a6283467d9da8bd06dd4d25f7ce04add,6c98045cdba54bbf5557e5a202f97879bdd0e7e3db12b233ee4916c20145741e,6c98045cdb,source/images/6c98045cdb.png,2213.906,1481.409,917.0,525.0,middleware basics / request pipeline / order
S-008,IU-008,R01,image-5866c671538b095786d5d97a6d5ae74cf0b91122,44e65518c82af114f499a5255950434a9a3395088c4322a297a9b617b1043ba0,44e65518c8,source/images/44e65518c8.png,3315.035,1519.07,559.0,329.0,middleware basics / request pipeline / order
S-009,IU-009,R01,image-2d1f44303662d6486c6d7359d4ede8fe4172a809,c7ab75af827b4b585bf4c3a082fa1f377fa03bce01268d8048e5615c23fa994f,c7ab75af82,source/images/c7ab75af82.png,4002.281,1646.099,1199.0,159.0,middleware basics / request pipeline / order
S-010,IU-010,R01,image-0ba30be22f2e8e6f088d4621c56be736b7b06a57,01786d4c10ab1c67e1a431ff22646ae7a3db33937c58261593eb315e21feab75,01786d4c10,source/images/01786d4c10.png,1072.708,1942.478,894.0,482.0,middleware basics / request pipeline / order
