region_source_id,source_id,image_use_id,fileId_short,region,x,y,width,height,status,readability,confidence,topic,summary,nearest_labels,notes
R01-S001,S-001,IU-001,f6bbb9a7d8,R01,8288.562834387802,510.43619839797066,1432.0,568.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Core SqlBulkCopy option/source-data note,Part of the main SqlBulkCopy API/options/type-mapping road; preserved PNG is the source of truth for exact code/details.,bulk strats | no app | can hold invariants,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S002,S-002,IU-002,ed36908804,R01,8276.213296327373,1090.1271215655652,1492.0,321.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",source data for sqlbulkcopy,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S003,S-003,IU-003,89d09af921,R01,13515.562893044635,1308.3340561985624,923.0,268.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code punctuation,Column mappings and destination column behavior,"Explains explicit ColumnMappings, destination column names/ordinals, and what happens when only part of the source/destination shape is mapped.",if mapped the part,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S004,S-004,IU-004,2ceeaccd40,R01,13513.173936338906,1591.8340561985624,1030.0,261.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code punctuation,Column mappings and destination column behavior,"Explains explicit ColumnMappings, destination column names/ordinals, and what happens when only part of the source/destination shape is mapped.",if mapped the part | if didnt mapped,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S005,S-005,IU-005,e483aaf144,R01,18232.67151787349,2011.4529238363739,718.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Error behavior and all-or-nothing caveats,Notes that row/type/mapping errors can fail the bulk operation and that failed-row isolation belongs to staging/validation strategy in R02/R03.,"error behavior,can fail everything | when there are some",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S006,S-006,IU-006,dd8e58de1d,R01,16914.804845375384,2055.479453784288,966.0,455.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,KeepIdentity / identity-column behavior,Explains whether incoming identity values are preserved or SQL Server generates identity values during bulk insert.,"preseve previous identity | including identity columns | error behavior,can fail everything",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S007,S-007,IU-007,3328ecbb59,R01,15637.153363719019,2107.0802953763723,913.0,477.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,KeepIdentity / identity-column behavior,Explains whether incoming identity values are preserved or SQL Server generates identity values during bulk insert.,preseve previous identity | including identity columns | c# -> sql server type | nullable values handling,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S008,S-008,IU-008,b57dc1f47b,R01,14244.421267104019,2148.534240643412,1002.0,278.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code punctuation,Column mappings and destination column behavior,"Explains explicit ColumnMappings, destination column names/ordinals, and what happens when only part of the source/destination shape is mapped.",if didnt mapped | if mapped the part | !!! | c# -> sql server type,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S009,S-009,IU-009,e006c65b55,R01,12967.018782319341,2228.407113320942,932.0,362.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Column mappings and destination column behavior,"Explains explicit ColumnMappings, destination column names/ordinals, and what happens when only part of the source/destination shape is mapped.",table lock | default | if didnt mapped | options | !!!,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S010,S-010,IU-010,21d4883a98,R01,11921.883405422464,2300.49168697584,834.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",column mappings | destination colname | table lock | properties | default,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S011,S-012,IU-012,cc8fcc373c,R01,11068.301143062305,2344.481121728646,682.0,405.0,processed-in-r01-v001,medium-high,high for boundary; medium for exact code punctuation,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",close/dispose | column mappings | writetoserver | destination colname | methods,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S012,S-013,IU-013,d2c18b0b6d,R01,10157.682869704253,2381.1613548113764,828.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",close/dispose | writetoserver | prod style | write from,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S013,S-014,IU-014,9ee8dbcaa7,R01,6100.728860311725,2413.7028272075277,940.0,424.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,SqlBulkCopy internal optimization / bulk loading path,"Notes that SqlBulkCopy is a dedicated high-throughput insert path, not ordinary EF row-by-row change tracking.",internal optimization | internal optimization flow,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S014,S-015,IU-015,22d1f6fea0,R01,8970.287382628094,2444.737887260877,785.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",datatable,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S015,S-016,IU-016,856c5e4f6f,R01,7621.66389623853,2451.3198678681456,752.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.","for loading, cant update directly | sqlbulkcopy constructors",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S016,S-018,IU-018,b1edeb219a,R01,14242.874731970722,2523.4150389832594,878.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Column mappings and destination column behavior,"Explains explicit ColumnMappings, destination column names/ordinals, and what happens when only part of the source/destination shape is mapped.",how tablelock actually | !!! | if didnt mapped | nullable values handling,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S017,S-019,IU-019,f096444ba9,R01,16917.119773218266,2608.8311926080733,951.0,412.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,KeepIdentity / identity-column behavior,Explains whether incoming identity values are preserved or SQL Server generates identity values during bulk insert.,"preseve previous identity | error behavior,can fail everything",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S018,S-020,IU-020,6814cdd85c,R01,15608.249222002989,2635.3684104900185,988.0,233.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code punctuation,KeepIdentity / identity-column behavior,Explains whether incoming identity values are preserved or SQL Server generates identity values during bulk insert.,nullable values handling | preseve previous identity,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S019,S-021,IU-021,68ac7b5c21,R01,12973.670935697784,2694.5709106967206,1031.0,403.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Column mappings and destination column behavior,"Explains explicit ColumnMappings, destination column names/ordinals, and what happens when only part of the source/destination shape is mapped.",table lock | !!! | how tablelock actually | if didnt mapped | keepidentity,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S020,S-022,IU-022,b0b0622250,R01,18224.654595995624,2823.3047169136316,838.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Error behavior and all-or-nothing caveats,Notes that row/type/mapping errors can fail the bulk operation and that failed-row isolation belongs to staging/validation strategy in R02/R03.,"error behavior,can fail everything",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S021,S-023,IU-023,306ad40dd7,R01,10163.254897771178,2861.6374072318595,764.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",write from | close/dispose,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S022,S-025,IU-025,03449dda81,R01,11834.80655114706,2912.577170719529,1010.0,428.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Column mappings and destination column behavior,"Explains explicit ColumnMappings, destination column names/ordinals, and what happens when only part of the source/destination shape is mapped.",column mappings | keepidentity | table lock | batchsize,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S023,S-026,IU-026,d1b869bf7d,R01,11062.981934689567,2936.295333956312,712.0,298.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code punctuation,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",write from | close/dispose | column mappings | batchsize,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S024,S-027,IU-027,8873927098,R01,8935.40829994829,2940.5051803787155,944.0,413.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",datatable,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S025,S-028,IU-028,e8cd5e7cc6,R01,15597.860265297259,3019.9795555095498,991.0,406.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,SqlBulkCopyOptions.TableLock and locking behavior,Explains table-lock behavior as a performance/locking tradeoff and separates the option from broader staging-table and logging concerns left for R02.,nullable values handling | tablelock example flows,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S026,S-029,IU-029,f80b7bb0ba,R01,6114.167248052263,3066.524653681221,800.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,SqlBulkCopy internal optimization / bulk loading path,"Notes that SqlBulkCopy is a dedicated high-throughput insert path, not ordinary EF row-by-row change tracking.",less ef core overhead | internal optimization,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S027,S-030,IU-030,a27d51a9ab,R01,12969.896195029654,3088.248019461369,945.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,SqlBulkCopyOptions.TableLock and locking behavior,Explains table-lock behavior as a performance/locking tradeoff and separates the option from broader staging-table and logging concerns left for R02.,keepidentity | how tablelock actually | !!! | table lock,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S028,S-031,IU-031,29fe7fd23a,R01,7599.614482430903,3184.7427534271374,747.0,105.0,processed-in-r01-v001,medium-high,high for boundary; medium for exact code punctuation,Core SqlBulkCopy option/source-data note,Part of the main SqlBulkCopy API/options/type-mapping road; preserved PNG is the source of truth for exact code/details.,"for loading, cant update directly",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S029,S-032,IU-032,ea89e14a59,R01,7608.441813118412,3314.7531294037,821.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Core SqlBulkCopy option/source-data note,Part of the main SqlBulkCopy API/options/type-mapping road; preserved PNG is the source of truth for exact code/details.,"for loading, cant update directly",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S030,S-033,IU-033,e8214541cf,R01,10166.178584273477,3344.6552057175522,745.0,220.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code punctuation,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",write from | close/dispose,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S031,S-034,IU-034,ecf04f716c,R01,11812.897404751462,3353.8347834681063,1032.0,217.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code punctuation,Column mappings and destination column behavior,"Explains explicit ColumnMappings, destination column names/ordinals, and what happens when only part of the source/destination shape is mapped.",batchsize | keepidentity | column mappings,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S032,S-036,IU-036,6d80b8ab42,R01,9009.522491950427,3539.3957654880523,735.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",idatareader | datatable,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S033,S-037,IU-037,f501841688,R01,10162.784718861545,3550.5014890728653,843.0,349.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",write from,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S034,S-038,IU-038,ffdf411f8e,R01,11806.139902975894,3578.258988901349,934.0,253.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code punctuation,KeepIdentity / identity-column behavior,Explains whether incoming identity values are preserved or SQL Server generates identity values during bulk insert.,batchsize | keepidentity,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S035,S-039,IU-039,b4e865fca3,R01,11053.778052749298,3589.229802625043,668.0,414.0,processed-in-r01-v001,medium-high,high for boundary; medium for exact code punctuation,"Core SqlBulkCopy API: constructors, source data, WriteToServer","Shows how SqlBulkCopy is created and fed from DataTable/IDataReader/DataRow sources, then executed through WriteToServer and disposed/closed correctly.",batchsize | write from,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S036,S-040,IU-040,110a45cd04,R01,14287.166323410795,3592.7133866019376,971.0,385.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,SqlBulkCopyOptions.TableLock and locking behavior,Explains table-lock behavior as a performance/locking tradeoff and separates the option from broader staging-table and logging concerns left for R02.,tablelock example flows | how tablelock actually,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S037,S-041,IU-041,2a01b1e546,R01,15327.706032592807,3611.657712366914,805.0,246.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code punctuation,SqlBulkCopyOptions.TableLock and locking behavior,Explains table-lock behavior as a performance/locking tradeoff and separates the option from broader staging-table and logging concerns left for R02.,tablelock example flows | nullable values handling,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S038,S-042,IU-042,b573dfa343,R01,6129.844938820075,3685.402527419834,969.0,388.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Core SqlBulkCopy option/source-data note,Part of the main SqlBulkCopy API/options/type-mapping road; preserved PNG is the source of truth for exact code/details.,less ef core overhead | can stream,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S039,S-043,IU-043,11299593cf,R01,12996.004370756378,3697.0709106967206,943.0,458.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,KeepIdentity / identity-column behavior,Explains whether incoming identity values are preserved or SQL Server generates identity values during bulk insert.,keepidentity,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S040,S-044,IU-044,57c83befb1,R01,15333.069273360172,3890.370111473947,932.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,SqlBulkCopyOptions.TableLock and locking behavior,Explains table-lock behavior as a performance/locking tradeoff and separates the option from broader staging-table and logging concerns left for R02.,tablelock example flows,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
R01-S041,S-045,IU-045,ebfd2e8cdf,R01,11806.001854713264,3943.6027943878526,820.0,482.0,processed-in-r01-v001,medium-high,high for boundary; medium-high for exact code/details,Core SqlBulkCopy option/source-data note,Part of the main SqlBulkCopy API/options/type-mapping road; preserved PNG is the source of truth for exact code/details.,batchsize | bulkcopytimeout,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code punctuation.
